cliente_id,idade,tipo_contrato,forma_pagamento,estado_civil,mensalidade_reais,uso_dados_gb,tempo_contrato_meses,chamadas_suporte_12m,reclamacoes_anatel,ruido_sinal_db,codigo_sorteio_promocional,ip_ultimo_acesso_hash,cancelou_plano
CLI-10039,42.4,Anual,Cartao_Credito,Casado,174.44,50.2,48,0,0,8.01,9313,IP-D5894,0
CLI-10040,48.9, Mensal ,Debito_Automatico,Solteiro,115.91,53.8,28,1,0,-21.94,3804,IP-A23DD,1
CLI-10041,42.1,MENSAL,Boleto,Casado,59.9,5.1,31,3,0,-22.12,1303,IP-AA5BD,1
CLI-10042,38.6, Mensal ,Boleto,Solteiro,44.73,9.2,57,4,0,-16.07,2802,IP-DBA28,1
CLI-10043,36.4,mensal,Boleto,Casado,203.33,6.6,43,0,0,-31.03,1269,IP-8C5EE,1
CLI-10044,22.3,mensal,Cartao_Credito,Solteiro,178.7,95.0,65,2,1,-17.8,2391,IP-ED229,0
CLI-10045,31.4,MENSAL,Pix,Casado,120.6,21.9,9,2,1,45.46,2123,IP-AC922,1
CLI-10046,34.5,mensal,Cartao_Credito,Solteiro,227.17,25.6,12,1,0,-27.8,7327,IP-2059E,1
CLI-10047,52.7, Mensal ,Boleto,Casado,120.39,31.9,12,3,0,-22.58,7220,IP-A2A4B,1
CLI-10048,44.1, Mensal ,Boleto,Solteiro,186.27,90.2,42,1,0,3.24,7879,IP-AA6AF,0
CLI-10049,18.8, Mensal ,Debito_Automatico,Casado,230.01,5.6,53,1,0,-26.28,5273,IP-434C5,1
CLI-10050,43.9,MENSAL,Boleto,Divorciado,214.96,10.7,57,0,2,-22.55,9381,IP-3AF5E,1
CLI-10051,35.4,Bienal,Cartao_Credito,Solteiro,142.44,57.0,16,1,0,-30.33,2288,IP-9406E,0
CLI-10052,31.9, Mensal ,Boleto,Solteiro,179.74,154.5,50,1,1,0.37,3994,IP-CB028,0
CLI-10053,47.3,Bienal,Cartao_Credito,Casado,121.01,51.3,4,2,0,-5.84,3933,IP-984E2,1
CLI-10054,52.4,Anual,Cartao_Credito,Casado,172.38,18.6,13,2,0,11.2,6072,IP-8C316,1
CLI-10055,51.2,Anual,Cartao_Credito,Solteiro,86.66,38.0,60,1,0,5.15,6374,IP-97051,0
CLI-10056,29.9,Anual,Boleto,Solteiro,125.64,171.0,28,2,0,28.99,6836,IP-E7325,0
CLI-10057,36.3,ANUAL,Cartao_Credito,Solteiro,76.1,38.8,12,1,0,-13.32,8287,IP-EB1BA,1
CLI-10058,44.0, Mensal ,Boleto,Solteiro,38.4,26.0,24,1,0,-29.22,7557,IP-59B66,0
CLI-10059,51.7,MENSAL,Debito_Automatico,Solteiro,159.48,26.8,1,2,0,-21.29,9842,IP-876D7,1
CLI-10060,34.2,Anual,Pix,Casado,220.17,158.6,34,4,0,45.17,5994,IP-F0311,0
CLI-10061,-10.0,MENSAL,Cartao_Credito,Solteiro,35.63,62.1,3,5,0,-49.95,7837,IP-68B2E,1
CLI-10062,26.7,ANUAL,Cartao_Credito,Casado,73.13,57.3,22,4,1,27.8,6808,IP-EAA00,1
CLI-10063,25.6, Mensal ,Boleto,Casado,131.24,16.9,27,1,1,27.62,6174,IP-18CB7,1
CLI-10064,49.8,Anual,Pix,Solteiro,176.5,41.9,21,0,2,6.64,9021,IP-7D956,1
CLI-10065,56.3,MENSAL,Cartao_Credito,Casado,,24.9,13,3,0,-22.76,6950,IP-DEAB7,0
CLI-10066,39.1,mensal,Pix,Casado,42.47,17.4,44,1,0,13.13,4956,IP-AB4B2,0
CLI-10067,52.0,mensal,Boleto,Solteiro,144.19,106.7,24,1,0,-20.62,3632,IP-50EF6,0
CLI-10068,44.3,Anual,Boleto,Solteiro,210.12,26.7,46,1,0,-12.19,8768,IP-73916,1
CLI-10069,32.3,ANUAL,Debito_Automatico,Divorciado,37.75,20.0,17,2,0,5.62,6271,IP-ABA0D,0
CLI-10070,,MENSAL,Pix,Divorciado,106.86,125.8,5,2,0,-12.61,2067,IP-7D6E3,1
CLI-10071,58.5,ANUAL,Pix,Solteiro,175.97,14.9,38,4,2,-27.46,3813,IP-5C90A,1
CLI-10072,39.6,mensal,Cartao_Credito,Solteiro,,66.6,59,2,1,-4.87,6812,IP-B4CCF,0
CLI-10073,, Mensal ,Boleto,Solteiro,81.91,52.6,27,1,2,12.49,8360,IP-C5D6E,1
CLI-10074,8.6, Mensal ,Boleto,Solteiro,,118.9,54,1,0,28.61,9772,IP-90D64,0
CLI-10075,49.9, Mensal ,Cartao_Credito,Solteiro,239.71,85.3,71,3,0,16.61,5886,IP-B4117,0
CLI-10076,41.0,mensal,Boleto,Casado,93.22,60.0,55,2,2,38.72,7441,IP-91709,1
CLI-10077,36.4,mensal,Cartao_Credito,Divorciado,137.26,22.0,71,2,1,6.23,1270,IP-E3274,1
CLI-10078,41.1,Anual,Cartao_Credito,Solteiro,117.98,35.8,43,4,0,-4.58,9305,IP-9A96B,0
CLI-10079,16.1,Anual,Cartao_Credito,Casado,227.43,135.1,38,2,0,44.46,6777,IP-425D3,0
CLI-10080,37.4, Mensal ,Pix,Solteiro,,6.1,61,2,0,-9.48,3254,IP-84A6B,0
CLI-10081,44.3, Mensal ,Debito_Automatico,Solteiro,154.55,76.2,45,2,0,21.87,2866,IP-EE9E8,0
CLI-10082,57.7,mensal,Boleto,Casado,216.15,18.1,58,1,0,31.41,2086,IP-CB024,1
CLI-10083,33.8,MENSAL,Boleto,Solteiro,247.39,14.2,29,1,1,-58.78,3441,IP-B8DB1,1
CLI-10084,30.3, Mensal ,Cartao_Credito,Solteiro,183.72,16.9,54,0,0,1.14,8307,IP-E1F86,1
CLI-10085,34.0, Mensal ,Debito_Automatico,Divorciado,,7.8,34,3,1,-27.46,7870,IP-B6818,1
CLI-10086,51.0,Bienal,Boleto,Solteiro,120.6,222.2,21,2,1,-28.94,7234,IP-B9460,1
CLI-10087,43.9,ANUAL,Pix,Casado,107.37,96.8,45,3,0,-20.92,1768,IP-D5DBC,1
CLI-10088,33.6, Mensal ,Pix,Solteiro,162.79,38.1,1,0,1,-45.21,5704,IP-9649A,1
CLI-10089,46.2,mensal,Cartao_Credito,Solteiro,192.67,61.5,10,1,0,20.39,5710,IP-7A855,1
CLI-10090,41.2,mensal,Boleto,Casado,210.28,41.6,58,2,0,-6.83,8178,IP-865C7,0
CLI-10091,51.6,Anual,Debito_Automatico,Casado,121.65,80.1,28,1,0,26.99,6424,IP-3BE42,1
CLI-10092,31.6,MENSAL,Cartao_Credito,Solteiro,187.68,88.8,61,3,1,7.09,1835,IP-EF6F3,0
CLI-10093,36.1, Mensal ,Boleto,Casado,231.57,16.9,30,3,0,-1.28,7346,IP-3E9B3,1
CLI-10094,35.3,Anual,Debito_Automatico,Divorciado,232.58,32.7,28,0,1,-21.56,2455,IP-3807E,1
CLI-10095,22.4,mensal,Cartao_Credito,Casado,,50.3,29,1,1,-9.27,1904,IP-B35DA,1
CLI-10096,43.6,mensal,Pix,Solteiro,170.12,177.7,31,1,0,10.13,1782,IP-1BE75,1
CLI-10097,43.1,mensal,Debito_Automatico,Casado,146.94,56.7,68,0,0,-7.25,1616,IP-E3B98,0
CLI-10098,40.1,MENSAL,Pix,Casado,70.3,107.6,31,2,1,-15.07,6230,IP-D5907,0
CLI-10099,37.2,mensal,Cartao_Credito,Casado,57.2,89.2,41,2,0,-0.18,1761,IP-C502B,0
CLI-10100,23.0, Mensal ,Cartao_Credito,Solteiro,136.86,44.3,64,2,1,29.31,6142,IP-C8D65,0
CLI-10101,35.0,mensal,Cartao_Credito,Solteiro,,105.8,42,4,1,4.1,5616,IP-B37E2,1
CLI-10102,35.9, Mensal ,Pix,Casado,156.94,26.3,44,2,0,26.8,4717,IP-20DC5,1
CLI-10103,30.4,Anual,Pix,Solteiro,172.05,26.5,31,2,1,-54.32,2803,IP-978D5,1
CLI-10104,38.1, Mensal ,Boleto,Casado,145.64,73.3,11,4,0,2.99,9043,IP-9977E,0
CLI-10105,44.8, Mensal ,Cartao_Credito,Casado,38.01,11.5,36,2,0,-3.14,8661,IP-728C3,0
CLI-10106,62.6,Anual,Cartao_Credito,Divorciado,42.7,21.4,32,2,0,-23.09,4470,IP-71559,0
CLI-10107,42.1,Anual,Pix,Solteiro,54.94,47.2,39,0,0,4.39,9448,IP-4AC33,0
CLI-10108,43.1,ANUAL,Pix,Solteiro,63.8,29.5,67,0,0,20.32,7368,IP-92146,0
CLI-10109,39.1,MENSAL,Debito_Automatico,Casado,247.77,132.1,60,3,1,2.22,9778,IP-CE29F,1
CLI-10110,17.0, Mensal ,Pix,Casado,105.79,148.2,25,1,0,-31.08,4389,IP-23EFD,0
CLI-10111,39.7,Anual,Pix,Divorciado,94.23,36.4,28,3,0,11.57,3255,IP-46EEF,1
CLI-10112,40.7,Anual,Pix,Casado,41.5,39.9,19,2,1,28.97,8924,IP-48B01,1
CLI-10113,69.6, Mensal ,Boleto,Solteiro,169.77,63.0,29,1,0,3.83,6250,IP-7364D,0
CLI-10114,37.7,Bienal,Boleto,Casado,173.48,32.5,50,3,0,-1.48,2039,IP-DE2B8,1
CLI-10115,43.6, Mensal ,Debito_Automatico,Casado,68.6,14.5,19,3,0,-16.95,6279,IP-3EA5C,1
CLI-10116,39.6,Bienal,Boleto,Casado,,66.8,56,4,0,9.54,8641,IP-9225F,1
CLI-10117,26.0,ANUAL,Cartao_Credito,Casado,206.11,65.2,18,1,1,-9.1,2370,IP-3648E,1
CLI-10118,53.7,Anual,Cartao_Credito,Solteiro,80.67,17.6,45,3,1,92.91,8016,IP-73F62,1
CLI-10119,49.0,Bienal,Cartao_Credito,Solteiro,136.89,85.5,41,2,0,28.29,7319,IP-A6F07,0
CLI-10120,49.5,Anual,Boleto,Solteiro,130.85,47.8,13,2,2,6.47,9459,IP-CB9F0,1
CLI-10121,29.1, Mensal ,Cartao_Credito,Solteiro,106.67,17.1,68,1,0,11.91,1418,IP-EB6D7,0
CLI-10122,56.8,mensal,Cartao_Credito,Solteiro,209.88,52.5,68,4,1,-3.47,2170,IP-68889,1
CLI-10123,23.2, Mensal ,Boleto,Casado,54.04,17.0,24,3,1,11.67,5752,IP-4E713,1
CLI-10124,47.0,mensal,Cartao_Credito,Solteiro,121.37,18.9,33,2,0,14.89,7910,IP-2925F,1
CLI-10125,66.3,Anual,Pix,Divorciado,124.17,89.8,55,3,0,-19.76,5607,IP-C0F57,0
CLI-10126,28.1,mensal,Boleto,Solteiro,,124.3,3,2,0,-6.2,7028,IP-21C18,1
CLI-10127,33.2,mensal,Boleto,Solteiro,219.5,18.4,3,3,1,8.02,1738,IP-EF144,1
CLI-10128,,MENSAL,Cartao_Credito,Solteiro,78.0,123.4,30,1,0,10.4,1185,IP-515B5,0
CLI-10129,34.0,ANUAL,Cartao_Credito,Solteiro,52.64,17.3,18,1,0,-6.46,8411,IP-6D37D,1
CLI-10130,21.4, Mensal ,Boleto,Divorciado,165.92,10.6,66,1,0,-10.1,8158,IP-F1E46,1
CLI-10131,,mensal,Pix,Solteiro,68.24,7.7,43,5,0,14.54,4298,IP-6E9DD,1
CLI-10132,27.3, Mensal ,Pix,Solteiro,46.49,17.5,66,2,0,13.87,5702,IP-B70D9,0
CLI-10133,45.7,Anual,Cartao_Credito,Divorciado,123.86,26.9,27,2,0,-11.1,6182,IP-4D378,1
CLI-10134,29.0, Mensal ,Boleto,Solteiro,78.32,123.1,19,2,0,-52.04,8377,IP-98E62,1
CLI-10135,58.6,Anual,Cartao_Credito,Solteiro,109.47,17.5,16,3,1,14.7,5331,IP-EB2E7,1
CLI-10136,,mensal,Debito_Automatico,Solteiro,,25.5,26,2,1,21.89,2809,IP-8EAB1,0
CLI-10137,36.1, Mensal ,Debito_Automatico,Solteiro,50.38,64.6,14,2,0,15.14,8039,IP-DCEE9,1
CLI-10138,49.8,Bienal,Boleto,Solteiro,153.28,21.2,47,6,0,43.86,9557,IP-4D034,1
CLI-10139,25.2, Mensal ,Boleto,Solteiro,35.94,56.9,18,4,1,20.31,5431,IP-B0001,0
CLI-10140,42.7,mensal,Pix,Casado,242.6,30.5,28,3,1,6.55,8766,IP-B338C,1
CLI-10141,55.7, Mensal ,Pix,Casado,105.09,14.8,19,3,1,-22.83,6534,IP-E5EF1,1
CLI-10142,999.0,MENSAL,Boleto,Solteiro,182.93,64.6,30,3,2,-1.74,1242,IP-A0890,1
CLI-10143,42.2,MENSAL,Debito_Automatico,Solteiro,208.28,6.2,21,3,1,-5.14,5532,IP-B31C1,1
CLI-10144,43.1,mensal,Boleto,Solteiro,91.4,20.6,21,3,0,5.83,8905,IP-3050F,1
CLI-10145,49.4, Mensal ,Boleto,Casado,194.72,24.8,48,5,0,-31.26,8723,IP-D1601,1
CLI-10146,,mensal,Pix,Solteiro,213.13,32.6,55,0,0,13.96,3608,IP-C19D5,1
CLI-10147,24.2,Anual,Boleto,Casado,83.09,56.3,30,2,0,-14.92,9271,IP-A77BE,0
CLI-10148,46.3,Anual,Pix,Casado,248.35,32.7,42,1,1,8.31,4699,IP-DC3EF,1
CLI-10149,43.6,MENSAL,Cartao_Credito,Solteiro,34.55,45.6,37,2,0,-12.2,3648,IP-2C602,0
CLI-10150,43.0,MENSAL,Cartao_Credito,Casado,77.74,45.8,41,3,0,-3.26,2444,IP-DAD73,1
CLI-10151,44.2, Mensal ,Cartao_Credito,Solteiro,201.6,26.0,46,3,2,-22.69,7831,IP-E1879,1
CLI-10152,31.8,mensal,Boleto,Solteiro,72.71,127.3,60,2,0,-21.23,6458,IP-29162,0
CLI-10153,42.8, Mensal ,Boleto,Solteiro,183.62,145.4,1,2,1,12.45,6758,IP-38E90,0
CLI-10154,43.5, Mensal ,Debito_Automatico,Solteiro,218.22,44.2,54,3,0,23.17,5981,IP-20412,1
CLI-10155,31.4, Mensal ,Boleto,Casado,241.03,8.3,35,2,0,-1.33,9954,IP-E43D9,1
CLI-10156,62.4,MENSAL,Pix,Casado,134.33,35.4,16,3,1,31.22,3673,IP-31E68,1
CLI-10157,45.7,MENSAL,Cartao_Credito,Solteiro,243.64,14.2,5,2,0,25.34,6732,IP-32075,1
CLI-10158,25.7,Bienal,Pix,Divorciado,120.56,34.7,31,1,0,5.95,6818,IP-DA122,1
CLI-10159,47.9, Mensal ,Boleto,Solteiro,,14.4,37,1,2,-24.74,9806,IP-9B3EC,1
CLI-10160,,Anual,Boleto,Solteiro,143.06,59.8,25,0,1,6.2,1142,IP-27B41,0
CLI-10161,49.4,ANUAL,Cartao_Credito,Solteiro,172.96,8.8,62,1,0,8.76,8351,IP-4F5AB,1
CLI-10162,,MENSAL,Boleto,Casado,130.75,142.9,25,1,0,13.35,1590,IP-B1D5A,1
CLI-10163,,mensal,Boleto,Divorciado,154.73,14.8,67,0,1,-8.94,2595,IP-E9ACB,1
CLI-10164,51.6,mensal,Boleto,Casado,121.61,53.6,38,1,0,-17.78,9466,IP-9221A,1
CLI-10165,45.0, Mensal ,Debito_Automatico,Divorciado,145.45,117.0,48,2,2,-41.08,1668,IP-9E508,0
CLI-10166,49.9,mensal,Pix,Solteiro,239.57,17.8,64,1,0,2.9,7845,IP-4FC4B,1
CLI-10167,62.8,Anual,Debito_Automatico,Solteiro,139.96,127.5,2,0,0,-2.36,2784,IP-D0D95,0
CLI-10168,37.1, Mensal ,Boleto,Casado,85.7,27.1,64,2,0,30.31,7880,IP-62E59,1
CLI-10169,31.0, Mensal ,Debito_Automatico,Casado,196.92,150.5,69,1,0,-24.63,1893,IP-ACB1B,0
CLI-10170,29.3,Anual,Pix,Solteiro,,164.9,20,2,0,-0.89,7994,IP-E6AE8,0
CLI-10171,30.2,Anual,Cartao_Credito,Casado,209.57,14.4,11,1,0,-27.24,1291,IP-C28ED,1
CLI-10172,39.1,MENSAL,Boleto,Solteiro,42.51,85.0,31,1,0,40.81,8727,IP-AFB45,1
CLI-10173,44.1,Anual,Cartao_Credito,Solteiro,103.08,14.7,35,1,1,-9.01,3502,IP-AFEF9,1
CLI-10174,43.3,mensal,Cartao_Credito,Casado,50.76,16.6,44,3,2,-34.47,5449,IP-D6B7A,1
CLI-10175,49.9, Mensal ,Cartao_Credito,Casado,48.77,9.0,55,3,0,1.27,5793,IP-BDAC1,1
CLI-10176,40.2,mensal,Cartao_Credito,Solteiro,174.85,12.7,45,1,0,4.52,8643,IP-5D04B,1
CLI-10177,57.4,MENSAL,Pix,Solteiro,,50.0,21,1,0,-15.95,1294,IP-7A5D6,0
CLI-10178,36.8,Bienal,Boleto,Solteiro,221.73,31.8,52,3,0,-0.53,5717,IP-B41DB,1
CLI-10179,72.6, Mensal ,Cartao_Credito,Casado,143.61,75.4,20,1,0,-25.43,5437,IP-A668E,1
CLI-10180,47.5,MENSAL,Pix,Casado,94.98,23.2,9,3,0,-13.92,3472,IP-92B3F,1
CLI-10181,29.7,mensal,Pix,Casado,188.6,160.8,9,4,0,-13.95,4889,IP-2FA0A,1
CLI-10182,27.1,MENSAL,Debito_Automatico,Solteiro,167.28,7.3,58,0,1,67.25,5839,IP-DA63E,1
CLI-10183,45.8, Mensal ,Boleto,Divorciado,205.91,7.9,71,2,0,27.92,3484,IP-5D549,1
CLI-10184,,mensal,Boleto,Casado,171.59,59.4,33,2,0,0.01,2470,IP-C0699,1
CLI-10185,48.6,ANUAL,Cartao_Credito,Solteiro,66.74,103.3,1,2,0,-4.18,5924,IP-8266E,0
CLI-10186,45.7,MENSAL,Cartao_Credito,Solteiro,177.47,76.4,3,6,0,30.49,9648,IP-E4C91,1
CLI-10187,39.1,MENSAL,Cartao_Credito,Solteiro,116.14,35.3,39,1,0,28.99,3851,IP-CA186,0
CLI-10188,29.8,mensal,Boleto,Solteiro,131.89,19.1,12,3,0,-8.63,9588,IP-CA60C,1
CLI-10189,21.8,mensal,Debito_Automatico,Casado,232.74,5.6,16,5,1,58.37,6549,IP-A49C5,1
CLI-10190,34.6,mensal,Cartao_Credito,Casado,109.19,37.1,50,1,0,-8.63,4446,IP-C9186,0
CLI-10191,50.3,ANUAL,Cartao_Credito,Casado,164.63,34.1,27,3,0,-6.85,8776,IP-348FC,1
CLI-10192,42.6,Bienal,Cartao_Credito,Solteiro,109.97,24.0,29,2,0,14.08,3649,IP-6F9F5,0
CLI-10193,25.1,mensal,Pix,Casado,50.84,43.8,69,0,1,3.44,8680,IP-DA3FD,0
CLI-10194,,mensal,Cartao_Credito,Solteiro,129.78,63.7,52,1,1,-12.98,4771,IP-C958B,1
CLI-10195,44.6,ANUAL,Boleto,Solteiro,,59.3,6,4,0,-7.19,6633,IP-6913F,1
CLI-10196,29.4,mensal,Cartao_Credito,Casado,999999.0,18.7,24,4,0,-15.48,9483,IP-6BD10,1
CLI-10197,41.8,MENSAL,Boleto,Solteiro,115.95,44.6,40,1,0,1.84,6597,IP-E8463,1
CLI-10198,40.7, Mensal ,Cartao_Credito,Casado,210.48,12.2,33,2,0,-4.21,9783,IP-30AA0,1
CLI-10199,26.3,Anual,Boleto,Casado,36.53,10.8,9,1,1,11.24,6768,IP-2D585,1
CLI-10200,44.3,MENSAL,Cartao_Credito,Casado,95.03,74.3,49,0,0,6.5,9974,IP-E7484,0
CLI-10201,46.7,ANUAL,Pix,Solteiro,208.59,58.3,67,1,0,-21.9,6286,IP-4D907,0
CLI-10202,53.0,Anual,Boleto,Casado,232.52,70.7,23,1,0,-12.11,5150,IP-ABAA6,1
CLI-10203,52.6, Mensal ,Pix,Divorciado,120.71,12.4,22,2,3,27.5,5686,IP-CDB85,1
CLI-10204,23.5,Anual,Boleto,Casado,225.53,115.7,72,3,0,-2.69,1259,IP-765CB,1
CLI-10205,28.7,ANUAL,Cartao_Credito,Casado,73.76,11.4,8,3,1,-25.21,7888,IP-8FB84,1
CLI-10206,46.2,mensal,Cartao_Credito,Casado,78.71,96.8,19,0,0,-6.72,4567,IP-4B537,0
CLI-10207,46.2, Mensal ,Boleto,Solteiro,216.16,24.6,38,1,0,-0.15,1991,IP-742C0,1
CLI-10208,46.2, Mensal ,Boleto,Casado,228.72,10.0,6,0,1,54.11,2045,IP-F2BF8,1
CLI-10209,86.2,MENSAL,Boleto,Casado,79.02,20.2,52,1,0,-9.37,9384,IP-8771E,0
CLI-10210,46.9,mensal,Pix,Casado,43.05,14.0,34,2,0,-8.25,5610,IP-A40B8,1
CLI-10211,53.6,MENSAL,Pix,Casado,49.87,35.4,11,2,1,5.44,4551,IP-2086D,1
CLI-10212,51.4, Mensal ,Pix,Solteiro,87.5,139.6,43,0,1,16.53,3016,IP-A672B,0
CLI-10213,47.8,ANUAL,Cartao_Credito,Solteiro,197.52,22.9,35,0,0,49.71,5619,IP-B4507,1
CLI-10214,36.2,mensal,Boleto,Casado,142.2,47.6,11,2,0,-6.06,2659,IP-DDF6F,1
CLI-10215,49.1, Mensal ,Cartao_Credito,Solteiro,130.23,105.0,40,2,0,-4.95,1007,IP-52678,1
CLI-10216,30.7,MENSAL,Boleto,Solteiro,158.51,49.8,32,1,0,-29.58,5995,IP-A8764,1
CLI-10217,37.2,MENSAL,Cartao_Credito,Solteiro,225.85,25.2,49,1,0,-31.65,5800,IP-573ED,0
CLI-10218,34.2, Mensal ,Cartao_Credito,Solteiro,49.89,216.2,57,2,0,0.77,3949,IP-B09FC,0
CLI-10219,41.0,mensal,Pix,Casado,182.84,14.3,65,0,1,-22.04,1957,IP-7A7E1,1
CLI-10220,67.8, Mensal ,Boleto,Casado,233.89,38.3,48,1,0,-38.69,3343,IP-2FCD3,1
CLI-10221,17.6,Anual,Cartao_Credito,Solteiro,76.94,76.7,52,1,0,-18.47,9738,IP-F2D61,0
CLI-10222,48.2,Anual,Cartao_Credito,Solteiro,214.31,5.0,39,1,1,-30.68,2918,IP-F40D1,1
CLI-10223,20.6,MENSAL,Boleto,Solteiro,183.57,59.5,54,3,0,-1.59,3865,IP-546AB,0
CLI-10224,34.3,Anual,Debito_Automatico,Solteiro,33.18,18.9,25,5,0,-31.59,4495,IP-A9064,1
CLI-10225,53.1,Anual,Boleto,Solteiro,80.95,13.4,45,0,1,-9.58,8946,IP-BEC40,1
CLI-10226,40.8, Mensal ,Debito_Automatico,Divorciado,163.29,19.4,29,0,1,11.84,3369,IP-E4BD9,1
CLI-10227,27.1,Bienal,Cartao_Credito,Solteiro,140.53,158.3,32,2,1,-5.46,2041,IP-E0629,1
CLI-10228,31.4,ANUAL,Boleto,Casado,146.15,105.1,67,2,0,-2.2,7725,IP-7A4D4,0
CLI-10229,48.2, Mensal ,Pix,Casado,81.02,15.8,12,3,0,-29.51,5129,IP-88B50,1
CLI-10230,31.2, Mensal ,Boleto,Divorciado,178.5,10.6,58,1,0,15.48,1276,IP-B3342,1
CLI-10231,42.6, Mensal ,Cartao_Credito,Solteiro,88.61,25.4,20,4,0,5.96,7203,IP-8E9EC,1
CLI-10232,40.5, Mensal ,Boleto,Casado,115.68,45.4,50,2,0,-3.1,8641,IP-81F06,0
CLI-10233,32.2,Anual,Boleto,Solteiro,111.16,95.8,8,0,0,5.18,7783,IP-F0087,0
