proponente_id,idade,tipo_vinculo,estado_civil,escolaridade,renda_mensal,valor_solicitado,numero_parcelas,score_serasa,num_consultas_recentes,atrasos_ultimos_12m,ruido_estocastico,numero_da_sorte_app,ip_origem_hash,inadimplente
PROP-10016,45.0,CLT,Casado,Medio,1555.1,10268.02,12,722.5,1,2,59.44,4770,IP-B1FF7,0
PROP-10017,33.7,Autonomo,Solteiro,Superior,18772.47,13036.72,60,548.5,5,1,3.03,3310,IP-D5909,0
PROP-10018,16.7, CLT ,Solteiro,Superior,3948.55,13271.09,60,632.3,1,0,-37.14,3113,IP-B0C40,0
PROP-10019,36.4,CLT,Casado,Medio,3269.36,33657.69,24,747.5,2,2,21.43,5864,IP-3B8B4,1
PROP-10020,12.0,Autonomo,Solteiro,Superior,2854.61,28354.23,36,520.6,1,1,47.79,6748,IP-22E9F,1
PROP-10021,41.9,CLT,Solteiro,Pos_Graduacao,2204.69,17132.11,48,,3,2,15.88,5958,IP-D2886,0
PROP-10022,27.2,CLT,Casado,Pos_Graduacao,7986.32,8594.09,36,426.2,4,0,-21.36,8202,IP-26637,1
PROP-10023,39.8, CLT ,Solteiro,Medio,14463.42,28763.53,60,891.6,2,1,-39.71,4366,IP-856D6,0
PROP-10024,52.5,clt,Solteiro,Medio,3642.08,7187.02,12,760.2,2,0,-40.69,9723,IP-22F50,0
PROP-10025,27.6,PJ,Solteiro,Medio,14190.5,8945.25,36,607.4,1,1,39.74,2376,IP-B8D8B,0
PROP-10026,49.7,CLT,Divorciado,Pos_Graduacao,8691.71,14078.44,36,563.6,4,4,47.16,5310,IP-C2213,1
PROP-10027,33.2,Autonomo,Casado,Medio,4154.99,31051.49,48,549.0,1,1,-12.58,4124,IP-6A073,1
PROP-10028,57.3,Autonomo,Casado,Superior,6107.94,6348.96,48,601.0,4,0,116.75,2163,IP-B708E,0
PROP-10029,34.0,CLT,Casado,Medio,3797.79,6033.73,60,613.2,2,1,-11.91,2671,IP-CB4A8,0
PROP-10030,28.8,Autonomo,Solteiro,Superior,4835.95,18301.17,36,795.7,4,1,-3.75,1447,IP-BEDFE,0
PROP-10031,45.6,CLT,Solteiro,Medio,1651.16,11121.55,48,895.6,1,1,-19.78,6770,IP-C2A7B,0
PROP-10032,33.2,CLT,Casado,Superior,6404.7,20768.02,24,647.9,2,0,-5.86,1025,IP-DDB15,0
PROP-10033,28.7,Servidor_Publico,Solteiro,Medio,1627.94,16904.01,24,501.6,3,1,-1.93,2573,IP-79DC5,1
PROP-10034,32.7,Estudante,Solteiro,Superior,8534.68,16353.65,24,543.6,4,2,29.03,7788,IP-39424,0
PROP-10035,37.5,PJ,Solteiro,Medio,8719.2,5695.11,48,594.4,5,0,-9.73,1196,IP-8E504,1
PROP-10036,52.8,CLT,Solteiro,Superior,2536.51,6654.64,60,475.8,1,0,30.32,5207,IP-B0648,0
PROP-10037,16.7,CLT,Viuvo,Pos_Graduacao,3042.47,29095.59,24,454.9,1,0,-79.85,2678,IP-E5C41,1
PROP-10038,38.3,Autonomo,Solteiro,Medio,4157.09,31234.13,12,913.6,3,1,-31.2,6994,IP-5F769,0
PROP-10039,44.9, CLT ,Casado,Pos_Graduacao,5213.53,9744.56,48,662.4,3,0,-16.02,6590,IP-E19FF,0
PROP-10040,40.1,CLT,Solteiro,Superior,2822.83,5744.2,36,503.4,0,1,-12.75,4218,IP-D7E04,1
PROP-10041,52.4,clt,Viuvo,Medio,,3762.75,60,734.3,4,1,-91.67,8248,IP-6F25E,0
PROP-10042,37.2,CLT,Solteiro,Superior,2884.78,22073.82,24,455.0,0,0,44.75,3001,IP-46B30,1
PROP-10043,36.0,Servidor_Publico,Solteiro,Medio,1639.78,25606.66,12,466.6,3,2,-73.44,1022,IP-BAEC3,1
PROP-10044,44.5,CLT,Casado,Superior,1410.63,14302.73,24,507.6,1,2,-31.58,9147,IP-35C2C,1
PROP-10045,39.1,Autonomo,Casado,Superior,1847.89,24429.3,12,851.6,2,0,-1.4,3328,IP-6DB85,0
PROP-10046,33.7,CLT,Solteiro,Medio,7999.98,25527.64,24,584.6,1,0,102.1,7303,IP-C8B72,0
PROP-10047,43.7,Autonomo,Solteiro,Superior,15072.32,32866.3,12,278.2,4,0,-2.65,7427,IP-B3875,0
PROP-10048,30.8,Autonomo,Solteiro,Superior,3738.6,4140.83,24,789.4,1,0,22.42,3138,IP-8ADAF,0
PROP-10049,31.3,CLT,Solteiro,Pos_Graduacao,4419.14,8345.63,12,577.1,5,1,-74.2,6747,IP-B82A5,1
PROP-10050,32.2,Estudante,Solteiro,Superior,2067.03,4261.36,60,361.1,3,1,-41.75,1492,IP-7E86A,1
PROP-10051,52.9,PJ,Casado,Fundamental,4763.37,30643.8,24,575.7,1,0,-34.79,5579,IP-8AF3E,0
PROP-10052,2.6,Servidor_Publico,Solteiro,Superior,2056.25,28155.38,24,692.9,2,1,-26.68,5235,IP-B7B31,1
PROP-10053,42.4,Servidor_Publico,Solteiro,Medio,5367.85,20963.19,48,676.6,0,3,50.84,6995,IP-71FFF,1
PROP-10054,38.4,Autonomo,Casado,Pos_Graduacao,12769.11,4760.89,36,871.8,1,2,-27.43,8506,IP-1DD48,0
PROP-10055,19.5,Servidor_Publico,Divorciado,Superior,,11019.31,36,500.6,2,2,30.42,6529,IP-E12CE,0
PROP-10056,41.4,CLT,Casado,Superior,7474.52,11824.75,36,626.5,3,0,-38.53,2636,IP-DCCB7,0
PROP-10057,43.2,CLT,Solteiro,Superior,1499.89,20504.53,48,522.1,1,1,-13.98,1938,IP-A270D,1
PROP-10058,44.5,CLT,Solteiro,Pos_Graduacao,3377.36,10515.45,48,404.1,2,0,-119.95,7577,IP-ED26F,0
PROP-10059,8.8,CLT,Divorciado,Pos_Graduacao,1892.98,4407.68,36,744.0,1,1,-3.55,5120,IP-C9886,1
PROP-10060,53.0, CLT ,Solteiro,Superior,3225.31,26115.16,48,684.9,1,1,-0.69,7002,IP-1F778,1
PROP-10061,29.9,CLT,Solteiro,Medio,2200.52,11869.65,36,659.7,3,0,-9.7,2491,IP-33F07,0
PROP-10062,45.6,PJ,Casado,Superior,3362.64,16928.35,24,679.8,1,1,98.27,6326,IP-CDD78,1
PROP-10063,46.2, CLT ,Casado,Superior,3669.95,6213.0,48,524.0,1,0,-3.26,9359,IP-D9CCC,0
PROP-10064,28.4,CLT,Casado,Medio,2901.58,28484.09,36,479.2,2,0,-136.12,2366,IP-773F2,1
PROP-10065,45.3,Autonomo,Solteiro,Superior,5889.48,20662.55,60,625.3,1,0,-60.98,8234,IP-86D69,0
PROP-10066,33.8,CLT,Solteiro,Superior,11948.22,31752.33,12,782.6,3,2,-2.15,4774,IP-805A0,0
PROP-10067,15.2,PJ,Divorciado,Medio,3549.64,18350.56,24,845.1,4,1,-3.98,9331,IP-8DBBA,0
PROP-10068,50.8,CLT,Solteiro,Medio,2297.2,33067.05,60,731.4,3,1,-40.65,9697,IP-EA2BB,1
PROP-10069,29.5,Estudante,Casado,Medio,2725.95,31431.65,24,624.1,3,1,-51.06,1837,IP-8C19D,1
PROP-10070,28.6,PJ,Casado,Fundamental,9481.45,21023.18,60,657.8,3,1,69.28,1939,IP-C9A4F,0
PROP-10071,33.6,CLT,Casado,Medio,4960.72,32818.48,60,621.6,2,0,49.49,5308,IP-57CC2,0
PROP-10072,41.0,CLT,Solteiro,Medio,3949.36,12661.93,48,476.4,3,0,56.26,7488,IP-994A2,1
PROP-10073,37.4,PJ,Solteiro,Superior,2080.78,14066.19,36,623.5,4,1,-31.41,1558,IP-1FC45,1
PROP-10074,44.0,AUTONOMO,Casado,Medio,3908.83,3500.77,36,433.1,3,0,35.01,7084,IP-77D79,0
PROP-10075,23.3,AUTONOMO,Divorciado,Medio,2770.93,21443.63,48,602.6,2,2,-128.36,9598,IP-791CB,0
PROP-10076,29.8,PJ,Divorciado,Medio,13443.79,25823.49,48,849.1,1,0,-20.78,5182,IP-60B9D,0
PROP-10077,36.7,CLT,Solteiro,Superior,10450.03,27526.13,36,735.2,2,0,-27.57,4106,IP-DDA24,0
PROP-10078,58.9, CLT ,Solteiro,Superior,1768.06,6943.94,60,490.8,3,1,-12.57,9912,IP-DB38F,1
PROP-10079,36.7,CLT,Divorciado,Medio,4453.49,16657.25,36,609.9,2,0,5.77,5261,IP-83326,0
PROP-10080,49.9,PJ,Casado,Superior,2470.86,7836.49,60,503.2,2,1,-8.56,8347,IP-22C7D,1
PROP-10081,38.4,Autonomo,Divorciado,Fundamental,3621.59,23850.2,12,611.2,3,0,-56.38,4585,IP-4D478,1
PROP-10082,32.7,CLT,Solteiro,Medio,10196.21,7212.23,12,765.8,3,1,-37.22,6010,IP-73001,0
PROP-10083,35.3,CLT,Casado,Medio,4548.94,31837.4,24,711.4,2,2,25.91,1878,IP-AB80E,1
PROP-10084,36.1,CLT,Casado,Medio,3108.51,9610.94,24,967.8,4,1,17.73,3494,IP-F24D8,0
PROP-10085,44.6,CLT,Casado,Superior,,11616.27,48,786.9,3,1,79.64,8874,IP-ECEF4,0
PROP-10086,53.1,AUTONOMO,Solteiro,Superior,8166.47,30079.91,12,648.6,3,0,15.62,8520,IP-4033C,0
PROP-10087,42.0,Autonomo,Solteiro,Medio,5514.09,17129.43,60,714.8,1,0,74.4,9221,IP-53B5E,0
PROP-10088,51.1,Servidor_Publico,Casado,Superior,4051.19,2791.87,24,591.7,2,1,-72.38,1678,IP-F1A43,0
PROP-10089,27.4,clt,Solteiro,Medio,2430.01,18321.35,24,,2,0,29.54,9415,IP-42247,0
PROP-10090,33.4,CLT,Casado,Superior,3108.71,4789.93,24,802.8,3,1,37.88,8624,IP-D4492,0
PROP-10091,30.0,AUTONOMO,Divorciado,Superior,14902.87,34516.38,36,761.3,1,0,24.24,5156,IP-C0501,0
PROP-10092,41.5,PJ,Solteiro,Medio,4483.46,21407.68,12,586.3,3,2,-60.03,7319,IP-2D554,1
PROP-10093,34.1,Autonomo,Casado,Superior,3550.37,10465.58,12,658.4,3,0,15.87,6726,IP-2392F,0
PROP-10094,46.0,PJ,Solteiro,Medio,4495.13,20602.68,36,793.7,3,0,-18.05,7284,IP-94D4D,0
PROP-10095,27.8,clt,Casado,Superior,7740.07,4536.61,12,738.5,2,0,28.92,5181,IP-C388B,0
PROP-10096,38.5,Autonomo,Viuvo,Medio,3145.86,28396.41,24,415.2,3,1,-4.34,4559,IP-CFB8B,1
PROP-10097,45.6, CLT ,Solteiro,Pos_Graduacao,2226.87,32535.83,48,654.1,2,1,-28.45,4466,IP-682A2,0
PROP-10098,15.3,CLT,Solteiro,Medio,5093.16,30856.66,12,596.5,3,1,114.08,2447,IP-EC6B6,1
PROP-10099,61.3,CLT,Solteiro,Pos_Graduacao,5995.78,13278.0,24,775.8,2,1,-37.17,8275,IP-B6F2C,0
PROP-10100,34.9,CLT,Solteiro,Medio,,12750.35,12,764.3,1,1,13.97,9773,IP-89341,0
PROP-10101,15.7,Autonomo,Casado,Superior,10375.26,3157.89,24,804.6,4,0,27.59,2949,IP-AD77D,0
PROP-10102,39.7,CLT,Divorciado,Medio,3348.38,23496.21,36,,4,1,-14.67,5509,IP-86186,0
PROP-10103,38.4,Autonomo,Solteiro,Pos_Graduacao,1729.05,19651.86,12,510.2,3,1,56.96,1205,IP-72439,1
PROP-10104,37.1,Servidor_Publico,Solteiro,Medio,14749.36,17158.43,48,776.0,2,1,43.16,1774,IP-3EEB3,0
PROP-10105,48.9,CLT,Solteiro,Medio,3797.99,31951.82,60,,2,0,-84.34,1478,IP-CA4CD,0
PROP-10106,46.2, CLT ,Casado,Superior,5500.01,7540.0,12,407.0,1,0,30.95,9416,IP-EA305,0
PROP-10107,41.3,PJ,Solteiro,Medio,6009.62,2318.99,60,694.6,3,1,88.64,4960,IP-4BDD6,0
PROP-10108,43.0,CLT,Casado,Medio,4721.32,4419.44,24,543.4,1,1,-38.1,2316,IP-4A228,1
PROP-10109,36.9,CLT,Casado,Fundamental,2364.9,9371.26,12,870.6,3,0,-68.87,1014,IP-D2486,0
PROP-10110,57.5,CLT,Casado,Fundamental,7309.74,3098.42,12,661.5,1,0,-15.11,9241,IP-51BD2,0
PROP-10111,21.7,CLT,Solteiro,Medio,8239.18,18593.84,24,642.4,2,1,-1.61,8939,IP-E12D8,0
PROP-10112,39.5,Servidor_Publico,Casado,Pos_Graduacao,4781.6,12364.99,36,568.3,1,0,1.57,6220,IP-87DEF,1
PROP-10113,38.7,PJ,Solteiro,Superior,4216.21,7955.94,24,842.7,3,0,52.36,4497,IP-DAE4C,0
PROP-10114,46.9,Autonomo,Solteiro,Medio,1908.07,26752.77,48,670.2,1,0,-34.7,1963,IP-89B2B,1
PROP-10115,28.7,Servidor_Publico,Divorciado,Superior,1768.28,8746.89,36,562.8,4,0,26.55,6129,IP-F0479,0
PROP-10116,18.8,PJ,Casado,Superior,3142.4,24690.97,24,508.8,5,0,38.53,1122,IP-C466F,1
PROP-10117,39.7,CLT,Solteiro,Fundamental,2963.62,13525.74,36,609.7,0,1,5.12,5757,IP-7D7E0,0
PROP-10118,41.1,Servidor_Publico,Solteiro,Medio,14301.03,18890.32,60,483.1,1,0,-31.2,2918,IP-1CFAB,0
PROP-10119,54.4,Autonomo,Solteiro,Superior,7829.07,32817.61,12,764.0,2,1,-57.84,9862,IP-4A853,1
PROP-10120,24.0,PJ,Solteiro,Medio,5930.07,3232.6,24,366.8,2,1,-76.8,4043,IP-7A19D,1
PROP-10121,50.7,Servidor_Publico,Solteiro,Medio,4462.14,18508.73,24,,1,0,-73.5,4272,IP-BCA75,0
PROP-10122,64.0,CLT,Solteiro,Medio,2169.28,30195.96,24,705.4,2,0,-80.48,8265,IP-9AFDF,1
PROP-10123,33.8,CLT,Casado,Fundamental,17518.29,21403.15,36,667.9,2,1,76.23,3767,IP-68558,0
PROP-10124,23.8,CLT,Casado,Superior,3374.29,11136.73,24,519.6,5,0,-9.06,1845,IP-B9CFC,1
PROP-10125,33.5, CLT ,Casado,Superior,,15123.48,36,712.4,2,1,102.13,1558,IP-AF4B2,0
PROP-10126,38.2,PJ,Casado,Superior,4259.45,24448.77,36,496.0,3,0,18.42,7513,IP-C697B,1
PROP-10127,44.2,PJ,Solteiro,Medio,10100.12,31396.79,36,616.9,2,2,-76.82,1588,IP-AFD74,1
PROP-10128,31.5,CLT,Divorciado,Medio,10568.37,3355.19,12,711.3,4,0,-9.91,2353,IP-1CBF1,0
PROP-10129,55.1,Autonomo,Casado,Medio,1446.31,4360.78,24,684.8,3,2,31.3,6340,IP-9C988,0
PROP-10130,25.7, CLT ,Casado,Medio,10531.45,12726.7,24,525.5,1,1,15.55,5442,IP-E1EB7,0
PROP-10131,18.9,CLT,Casado,Superior,2730.33,9681.73,24,787.6,4,3,-21.83,2589,IP-B93B9,1
PROP-10132,50.2,CLT,Divorciado,Superior,1566.96,10742.72,60,,1,0,44.43,9250,IP-41A0A,0
PROP-10133,13.0,CLT,Casado,Medio,9306.48,9301.91,24,724.0,6,0,-52.65,3079,IP-B39D7,1
PROP-10134,35.8,Servidor_Publico,Solteiro,Medio,9775.31,8462.23,12,834.1,1,1,8.57,8825,IP-F01D9,0
PROP-10135,72.3,CLT,Casado,Medio,5209.03,6310.59,24,776.5,4,1,39.44,4715,IP-D00BF,1
PROP-10136,37.9,Autonomo,Casado,Superior,,32820.49,48,776.8,1,0,-18.79,9399,IP-DDFA1,0
PROP-10137,25.7,AUTONOMO,Casado,Pos_Graduacao,8444.62,6758.25,48,647.0,4,1,24.65,3385,IP-53668,0
PROP-10138,37.4, CLT ,Casado,Superior,7881.55,8745.32,36,,5,1,-6.52,1309,IP-1FBF1,0
PROP-10139,37.4,Estudante,Solteiro,Superior,10674.58,10126.77,24,649.9,1,0,9.79,7552,IP-A6F50,0
PROP-10140,39.8,Estudante,Solteiro,Superior,4779.45,32789.49,24,450.7,3,3,20.69,2661,IP-3C490,1
PROP-10141,45.3,CLT,Divorciado,Medio,15810.42,26938.57,36,662.4,1,1,-14.93,3185,IP-F2C4D,0
PROP-10142,26.6,clt,Casado,Medio,24747.21,28060.08,60,655.9,0,0,69.28,3438,IP-65C8C,0
PROP-10143,56.6,CLT,Casado,Pos_Graduacao,1920.44,5457.02,36,701.7,2,0,12.7,7525,IP-2B0F2,0
PROP-10144,40.7,CLT,Solteiro,Superior,9355.15,29598.23,36,602.1,2,0,27.52,5800,IP-6C219,1
PROP-10145,46.0,CLT,Solteiro,Medio,4309.73,15470.37,24,513.4,3,0,56.65,2888,IP-2EDD6,1
PROP-10146,31.1,Autonomo,Divorciado,Superior,3459.32,10673.16,24,711.9,2,0,29.42,6088,IP-D2D85,0
PROP-10147,52.2,Autonomo,Casado,Superior,5387.97,20999.75,48,436.1,0,0,-47.63,6992,IP-E97AB,0
PROP-10148,35.2,CLT,Casado,Superior,1641.89,29132.04,24,824.2,1,1,36.05,5557,IP-3E78F,0
PROP-10149,41.1,CLT,Casado,Fundamental,4365.85,27695.52,60,587.6,2,1,12.63,5013,IP-EC714,1
PROP-10150,27.7,Servidor_Publico,Casado,Superior,9997.8,31369.92,24,654.4,4,1,-35.16,7890,IP-BF4E9,0
PROP-10151,27.0,CLT,Solteiro,Superior,2408.48,32628.36,12,698.2,2,2,57.02,4138,IP-1C435,1
PROP-10152,45.6,CLT,Casado,Medio,3734.38,9858.03,36,702.7,0,0,-51.48,4685,IP-D0FA9,0
PROP-10153,33.1,clt,Solteiro,Medio,13180.14,15987.31,12,422.7,2,0,-27.62,3218,IP-A63D1,0
PROP-10154,28.6,Estudante,Solteiro,Medio,3750.33,2482.74,24,735.4,1,0,-21.02,8046,IP-A8E8C,0
PROP-10155,30.9,CLT,Casado,Medio,3263.71,31017.61,24,662.4,3,0,-63.79,4305,IP-6D92F,1
PROP-10156,45.7,Autonomo,Divorciado,Superior,3839.26,7100.88,36,531.1,2,1,-0.91,2327,IP-2C1C3,1
PROP-10157,31.1,PJ,Solteiro,Superior,4477.88,30428.67,24,515.0,0,0,-33.18,6614,IP-D0E97,0
PROP-10158,36.7,CLT,Casado,Medio,5598.53,12869.78,12,573.2,2,0,11.32,9748,IP-A94DC,0
PROP-10159,38.2,AUTONOMO,Solteiro,Pos_Graduacao,8174.21,14148.41,36,438.2,1,0,86.33,7680,IP-E08EA,0
PROP-10160,16.9, CLT ,Solteiro,Medio,3927.0,3291.36,24,861.1,0,0,-1.96,7147,IP-F22B0,1
PROP-10161,21.8,Autonomo,Solteiro,Medio,8543.78,12787.0,60,828.1,3,2,24.1,4459,IP-B6DF8,0
PROP-10162,41.7,Autonomo,Solteiro,Medio,4604.48,31316.0,24,,6,0,-0.97,7373,IP-98620,0
PROP-10163,29.9,Autonomo,Casado,Medio,3135.51,2843.06,36,588.7,4,1,-15.78,4945,IP-A1EAB,1
PROP-10164,49.6,CLT,Solteiro,Medio,5905.76,15408.81,24,592.4,4,2,36.53,1194,IP-300A2,0
PROP-10165,48.6,PJ,Casado,Superior,6712.43,3036.19,48,726.1,3,0,-46.94,5251,IP-26212,0
PROP-10166,45.9,CLT,Divorciado,Superior,4829.54,14240.47,36,866.1,0,0,49.84,5205,IP-290E8,0
PROP-10167,58.0,CLT,Solteiro,Fundamental,1644.78,7697.14,60,540.1,2,1,-38.69,4530,IP-44EF2,1
PROP-10168,37.1,CLT,Casado,Medio,2181.99,10323.21,12,463.5,0,0,67.41,2700,IP-82532,1
PROP-10169,45.1,Autonomo,Solteiro,Medio,2810.73,30960.75,24,836.7,2,2,-18.37,6840,IP-5181E,0
PROP-10170,31.6,Autonomo,Casado,Medio,2795.06,16389.62,36,369.8,4,0,-41.24,5732,IP-524EA,1
PROP-10171,65.0,CLT,Solteiro,Superior,6100.15,11035.33,12,478.8,4,1,5.09,4890,IP-38A77,0
PROP-10172,59.8,Autonomo,Solteiro,Medio,1477.78,21448.17,24,585.4,3,0,-78.64,8966,IP-485B5,1
PROP-10173,38.1,CLT,Solteiro,Pos_Graduacao,7318.99,6689.53,60,401.5,1,1,-53.7,5692,IP-5C8A0,1
PROP-10174,42.3,Autonomo,Solteiro,Superior,2695.07,10559.92,24,775.7,0,0,23.7,4817,IP-2ACD4,0
PROP-10175,53.0,CLT,Solteiro,Superior,2958.6,20026.18,60,740.0,3,0,58.86,8632,IP-7349C,0
PROP-10176,36.4,Autonomo,Casado,Superior,4552.46,9838.26,12,539.5,3,1,-29.38,1986,IP-56F4B,0
PROP-10177,30.8, CLT ,Divorciado,Medio,2421.66,24411.22,36,799.1,0,2,63.76,9475,IP-1988A,0
PROP-10178,47.6,Servidor_Publico,Casado,Medio,10464.59,18219.21,36,822.9,1,1,-20.65,9954,IP-537A9,0
PROP-10179,38.9,CLT,Casado,Medio,1774.78,27475.64,36,604.2,1,0,9.11,4238,IP-5246A,0
PROP-10180,40.0,CLT,Solteiro,Superior,3868.23,33292.07,60,556.9,3,1,9.53,6824,IP-792A7,0
PROP-10181,28.8,CLT,Solteiro,Medio,9351.76,5821.56,12,936.3,1,0,76.54,8567,IP-88F30,0
PROP-10182,19.1,Servidor_Publico,Solteiro,Medio,5418.17,13043.95,48,721.0,1,0,44.22,9770,IP-2CD65,0
PROP-10183,40.6,Servidor_Publico,Solteiro,Fundamental,2852.26,12545.12,36,655.9,3,1,-10.16,9910,IP-CDD9A,1
PROP-10184,48.0,CLT,Casado,Medio,3693.36,6989.04,24,810.9,2,1,121.77,3595,IP-22326,1
PROP-10185,35.5,Autonomo,Casado,Superior,,28740.0,60,662.3,4,1,-2.83,9574,IP-E391C,0
PROP-10186,53.8,PJ,Solteiro,Superior,16610.81,27076.0,24,549.2,2,1,0.77,7941,IP-C61DE,0
PROP-10187,30.3,Autonomo,Solteiro,Medio,10792.14,17986.04,48,631.2,2,0,16.62,7492,IP-671FE,0
PROP-10188,26.4,Autonomo,Casado,Medio,3160.67,19746.44,24,765.4,1,1,-21.04,9982,IP-4CC44,1
PROP-10189,37.3,CLT,Casado,Medio,27938.92,3964.96,48,341.1,3,0,69.21,1446,IP-C4EE3,0
PROP-10190,37.1,CLT,Solteiro,Superior,1414.75,20331.74,36,579.7,1,1,-4.78,4594,IP-BC4DF,1
PROP-10191,46.5,Servidor_Publico,Divorciado,Superior,1517.68,28114.27,12,813.6,1,1,32.37,3935,IP-66B9D,1
PROP-10192,29.5,Servidor_Publico,Divorciado,Superior,8692.74,20936.31,36,548.3,1,0,-137.12,5394,IP-E11A6,0
PROP-10193,53.0,Autonomo,Solteiro,Pos_Graduacao,2334.38,10755.11,12,836.5,4,2,6.57,4146,IP-BC02F,1
PROP-10194,59.6,CLT,Solteiro,Superior,1663.32,24029.09,24,818.1,2,1,-16.81,1648,IP-5C678,1
PROP-10195,37.6,CLT,Casado,Medio,2536.9,13929.12,12,610.8,3,1,3.57,7893,IP-50C03,1
PROP-10196,51.7,AUTONOMO,Divorciado,Medio,3732.26,19980.82,12,540.4,0,0,-57.9,9844,IP-50D82,1
PROP-10197,26.4,Servidor_Publico,Divorciado,Pos_Graduacao,6908.02,18089.66,24,579.8,1,0,-9.14,9392,IP-459AD,0
PROP-10198,49.8,Servidor_Publico,Solteiro,Medio,5512.05,14578.78,36,990.0,4,0,9.18,2511,IP-9E799,0
PROP-10199,49.5,PJ,Solteiro,Medio,2539.51,25722.97,24,882.4,5,0,-17.83,9286,IP-DC343,0
PROP-10200,47.5,Autonomo,Casado,Superior,4338.78,31167.91,36,637.6,3,0,29.85,1130,IP-C2A14,0
PROP-10201,37.8,CLT,Casado,Superior,12347.67,2172.01,24,534.9,6,1,3.21,9305,IP-5D5E8,1
PROP-10202,5.5,CLT,Solteiro,Pos_Graduacao,8487.25,32809.35,36,636.4,4,0,31.84,4161,IP-71BAA,0
PROP-10203,30.9,Servidor_Publico,Divorciado,Superior,3039.53,18880.0,36,654.1,2,2,48.83,3845,IP-AD81F,0
PROP-10204,31.1,Autonomo,Casado,Medio,18335.2,25124.15,24,445.9,3,1,52.83,8712,IP-1C420,0
PROP-10205,27.2,CLT,Casado,Fundamental,6579.14,30235.61,48,631.2,3,1,-19.11,4588,IP-B6BA8,1
PROP-10206,39.3,CLT,Divorciado,Medio,1670.83,17414.42,36,805.1,2,0,-19.85,9890,IP-B48B8,0
PROP-10207,33.4,Autonomo,Casado,Medio,1550.33,29554.14,36,368.1,2,0,80.22,3295,IP-58D07,1
PROP-10208,28.9,CLT,Solteiro,Superior,2174.54,7861.45,24,735.7,3,1,-45.9,7754,IP-B81AE,0
PROP-10209,26.4,CLT,Casado,Medio,6865.98,7252.53,12,812.5,3,0,-21.01,4267,IP-67D9C,0
PROP-10210,30.1,Autonomo,Solteiro,Superior,2252.69,23696.56,48,541.5,0,0,-8.06,7713,IP-9B0D9,1
PROP-10211,50.3,Autonomo,Casado,Medio,4408.83,30714.72,48,857.2,3,2,-42.85,9677,IP-BCEB7,1
PROP-10212,30.7,Autonomo,Solteiro,Superior,1811.18,31450.06,12,523.4,6,1,5.64,1676,IP-714E7,1
PROP-10213,32.3,CLT,Casado,Medio,12054.84,23243.44,24,681.8,1,0,60.76,9763,IP-93413,0
PROP-10214,33.0,AUTONOMO,Solteiro,Superior,,19341.14,36,577.1,3,1,-95.63,8482,IP-C74FC,0
PROP-10215,41.7,CLT,Solteiro,Superior,11427.09,12935.97,36,577.0,1,0,-25.82,6513,IP-70266,0
PROP-10216,43.0,CLT,Solteiro,Medio,13572.29,34340.01,48,533.6,3,0,5.97,1800,IP-DD31E,0
PROP-10217,4.5,AUTONOMO,Solteiro,Medio,1425.82,12549.96,12,717.8,1,0,78.23,9314,IP-A9B4D,1
