data_hora,faturamento_milhares_reais,num_pedidos,ticket_medio_reais,visitas_site
2026-01-02 14:00:00,42.68,195,218.87,3505
2026-01-02 15:00:00,46.4,225,206.22,3696
2026-01-02 16:00:00,47.06,237,198.57,4127
2026-01-02 17:00:00,44.31,193,229.59,3392
2026-01-02 18:00:00,43.07,210,205.1,3675
2026-01-02 19:00:00,42.73,192,222.55,3486
2026-01-02 20:00:00,39.44,175,225.37,2986
2026-01-02 21:00:00,43.4,209,207.66,3986
2026-01-02 22:00:00,46.0,217,211.98,3906
2026-01-02 23:00:00,53.28,216,246.67,3886
2026-01-03 00:00:00,52.88,260,203.38,4614
2026-01-03 01:00:00,47.62,235,202.64,4261
2026-01-03 02:00:00,56.89,247,230.32,4611
2026-01-03 03:00:00,56.1,258,217.44,4471
2026-01-03 04:00:00,56.38,261,216.02,4566
2026-01-03 05:00:00,61.73,282,218.9,5015
2026-01-03 06:00:00,63.5,277,229.24,4717
2026-01-03 07:00:00,62.91,273,230.44,4750
2026-01-03 08:00:00,55.95,251,222.91,4423
2026-01-03 09:00:00,56.57,272,207.98,5071
2026-01-03 10:00:00,57.19,266,215.0,4841
2026-01-03 11:00:00,57.55,253,227.47,4593
2026-01-03 12:00:00,50.42,238,211.85,4454
2026-01-03 13:00:00,49.42,180,274.56,3213
2026-01-03 14:00:00,44.3,217,204.15,3984
2026-01-03 15:00:00,42.36,165,256.73,2949
2026-01-03 16:00:00,48.16,211,228.25,3851
2026-01-03 17:00:00,49.3,205,240.49,3573
2026-01-03 18:00:00,44.06,179,246.15,2734
2026-01-03 19:00:00,48.13,234,205.68,4185
2026-01-03 20:00:00,46.72,203,230.15,3939
2026-01-03 21:00:00,44.5,205,217.07,3875
2026-01-03 22:00:00,49.72,223,222.96,4207
2026-01-03 23:00:00,55.8,258,216.28,4891
2026-01-04 00:00:00,52.4,237,221.1,4284
2026-01-04 01:00:00,60.1,251,239.44,4557
2026-01-04 02:00:00,47.42,228,207.98,3980
2026-01-04 03:00:00,61.16,268,228.21,4761
2026-01-04 04:00:00,59.9,246,243.5,4551
2026-01-04 05:00:00,59.38,261,227.51,4939
2026-01-04 06:00:00,61.05,297,205.56,5318
2026-01-04 07:00:00,53.54,254,210.79,4482
2026-01-04 08:00:00,58.96,260,226.77,4680
2026-01-04 09:00:00,59.74,264,226.29,4872
2026-01-04 10:00:00,62.05,274,226.46,4643
2026-01-04 11:00:00,53.16,270,196.89,4401
2026-01-04 12:00:00,50.11,231,216.93,4048
2026-01-04 13:00:00,49.15,228,215.57,3860
2026-01-04 14:00:00,52.22,250,208.88,4398
2026-01-04 15:00:00,48.54,222,218.65,3966
2026-01-04 16:00:00,44.3,195,227.18,3419
2026-01-04 17:00:00,47.19,209,225.79,4052
2026-01-04 18:00:00,45.49,204,222.99,3737
2026-01-04 19:00:00,48.85,219,223.06,4002
2026-01-04 20:00:00,43.84,208,210.77,3868
2026-01-04 21:00:00,46.45,210,221.19,3552
2026-01-04 22:00:00,47.92,227,211.1,4294
2026-01-04 23:00:00,46.14,206,223.98,3693
2026-01-05 00:00:00,54.4,246,221.14,4562
2026-01-05 01:00:00,56.38,224,251.7,3818
2026-01-05 02:00:00,57.45,272,211.21,4585
2026-01-05 03:00:00,58.3,268,217.54,4988
2026-01-05 04:00:00,55.48,265,209.36,4845
2026-01-05 05:00:00,59.79,226,264.56,3888
2026-01-05 06:00:00,60.37,303,199.24,5280
2026-01-05 07:00:00,58.53,261,224.25,4923
2026-01-05 08:00:00,60.01,287,209.09,4928
2026-01-05 09:00:00,60.75,258,235.47,4973
2026-01-05 10:00:00,64.32,299,215.12,5202
2026-01-05 11:00:00,56.43,238,237.1,4412
2026-01-05 12:00:00,54.69,237,230.76,4200
2026-01-05 13:00:00,51.49,260,198.04,4801
2026-01-05 14:00:00,43.14,191,225.86,3329
2026-01-05 15:00:00,48.14,220,218.82,3927
2026-01-05 16:00:00,47.21,225,209.82,4058
2026-01-05 17:00:00,54.85,254,215.94,4372
2026-01-05 18:00:00,45.32,206,220.0,3856
2026-01-05 19:00:00,47.36,219,216.26,3839
2026-01-05 20:00:00,47.01,248,189.56,4418
2026-01-05 21:00:00,44.35,199,222.86,3383
2026-01-05 22:00:00,54.13,247,219.15,3934
2026-01-05 23:00:00,54.73,262,208.89,4678
2026-01-06 00:00:00,56.97,273,208.68,5397
2026-01-06 01:00:00,53.13,257,206.73,4783
2026-01-06 02:00:00,63.18,294,214.9,5288
2026-01-06 03:00:00,55.06,231,238.35,4105
2026-01-06 04:00:00,63.33,309,204.95,5566
2026-01-06 05:00:00,69.77,297,234.92,5455
2026-01-06 06:00:00,58.95,270,218.33,4624
2026-01-06 07:00:00,60.19,260,231.5,4903
2026-01-06 08:00:00,61.76,277,222.96,5129
2026-01-06 09:00:00,58.41,268,217.95,4968
2026-01-06 10:00:00,53.13,244,217.75,4480
2026-01-06 11:00:00,56.9,262,217.18,4720
2026-01-06 12:00:00,50.91,253,201.23,4689
2026-01-06 13:00:00,54.25,251,216.14,4636
2026-01-06 14:00:00,47.48,210,226.1,3709
2026-01-06 15:00:00,54.5,260,209.62,4565
2026-01-06 16:00:00,45.1,221,204.07,3998
2026-01-06 17:00:00,45.95,188,244.41,3694
2026-01-06 18:00:00,49.68,233,213.22,3946
2026-01-06 19:00:00,42.83,203,210.99,3360
2026-01-06 20:00:00,48.77,215,226.84,3903
2026-01-06 21:00:00,53.86,263,204.79,4744
2026-01-06 22:00:00,45.35,202,224.5,3671
2026-01-06 23:00:00,53.59,243,220.53,4423
2026-01-07 00:00:00,55.95,249,224.7,4437
2026-01-07 01:00:00,59.89,270,221.81,5158
2026-01-07 02:00:00,54.79,230,238.22,3820
2026-01-07 03:00:00,56.19,231,243.25,3992
2026-01-07 04:00:00,63.94,312,204.94,5595
2026-01-07 05:00:00,63.99,275,232.69,4621
2026-01-07 06:00:00,64.13,274,234.05,4897
2026-01-07 07:00:00,64.23,257,249.92,4958
2026-01-07 08:00:00,59.87,260,230.27,4684
2026-01-07 09:00:00,61.83,258,239.65,4690
2026-01-07 10:00:00,60.42,297,203.43,5094
2026-01-07 11:00:00,55.0,263,209.13,4611
2026-01-07 12:00:00,62.0,269,230.48,4767
2026-01-07 13:00:00,55.09,282,195.35,5012
2026-01-07 14:00:00,47.37,228,207.76,4360
2026-01-07 15:00:00,52.21,230,227.0,4252
2026-01-07 16:00:00,45.27,166,272.71,2766
2026-01-07 17:00:00,50.67,262,193.4,4765
2026-01-07 18:00:00,51.73,212,244.01,3916
2026-01-07 19:00:00,45.11,178,253.43,3432
2026-01-07 20:00:00,52.19,250,208.76,4816
2026-01-07 21:00:00,51.57,269,191.71,4639
2026-01-07 22:00:00,54.69,267,204.83,4644
2026-01-07 23:00:00,60.42,280,215.79,4788
2026-01-08 00:00:00,55.03,257,214.12,4579
2026-01-08 01:00:00,55.35,262,211.26,4809
2026-01-08 02:00:00,56.84,267,212.88,5003
2026-01-08 03:00:00,58.79,269,218.55,4827
2026-01-08 04:00:00,62.68,284,220.7,5048
2026-01-08 05:00:00,64.98,291,223.3,5268
2026-01-08 06:00:00,65.06,281,231.53,4891
2026-01-08 07:00:00,66.75,296,225.51,5746
2026-01-08 08:00:00,63.14,259,243.78,4340
2026-01-08 09:00:00,66.95,300,223.17,5437
2026-01-08 10:00:00,59.31,252,235.36,4941
2026-01-08 11:00:00,67.86,289,234.81,5203
2026-01-08 12:00:00,58.5,266,219.92,4750
2026-01-08 13:00:00,51.27,252,203.45,4465
2026-01-08 14:00:00,48.63,233,208.71,4158
2026-01-08 15:00:00,52.44,212,247.36,4091
2026-01-08 16:00:00,48.74,204,238.92,3230
2026-01-08 17:00:00,51.25,245,209.18,4717
2026-01-08 18:00:00,50.17,211,237.77,3513
2026-01-08 19:00:00,48.57,215,225.91,3817
2026-01-08 20:00:00,46.69,218,214.17,3838
2026-01-08 21:00:00,45.66,191,239.06,3556
2026-01-08 22:00:00,51.09,231,221.17,3838
2026-01-08 23:00:00,57.62,239,241.09,4394
2026-01-09 00:00:00,57.48,250,229.92,4905
2026-01-09 01:00:00,54.47,250,217.88,4227
2026-01-09 02:00:00,61.4,252,243.65,4574
2026-01-09 03:00:00,63.84,294,217.14,5160
2026-01-09 04:00:00,60.7,273,222.34,4999
2026-01-09 05:00:00,65.17,302,215.79,5440
2026-01-09 06:00:00,65.14,296,220.07,5200
2026-01-09 07:00:00,60.7,294,206.46,5390
2026-01-09 08:00:00,65.19,295,220.98,5671
2026-01-09 09:00:00,64.66,285,226.88,5092
2026-01-09 10:00:00,64.87,294,220.65,5436
2026-01-09 11:00:00,62.87,291,216.05,4979
2026-01-09 12:00:00,52.33,236,221.74,4057
2026-01-09 13:00:00,51.83,234,221.5,4306
2026-01-09 14:00:00,55.02,237,232.15,4563
2026-01-09 15:00:00,53.39,230,232.13,4211
2026-01-09 16:00:00,52.16,214,243.74,3789
2026-01-09 17:00:00,63.08,310,203.48,5580
2026-01-09 18:00:00,51.36,212,242.26,3566
2026-01-09 19:00:00,53.64,231,232.21,4279
2026-01-09 20:00:00,53.84,232,232.07,4352
2026-01-09 21:00:00,54.09,257,210.47,4536
2026-01-09 22:00:00,52.39,231,226.8,4064
2026-01-09 23:00:00,58.12,280,207.57,5093
2026-01-10 00:00:00,54.86,237,231.48,4179
2026-01-10 01:00:00,58.84,269,218.74,4829
2026-01-10 02:00:00,59.94,257,233.23,5046
2026-01-10 03:00:00,63.62,318,200.06,5675
2026-01-10 04:00:00,72.74,310,234.65,5508
2026-01-10 05:00:00,58.93,270,218.26,4730
2026-01-10 06:00:00,68.18,316,215.76,5837
2026-01-10 07:00:00,59.9,276,217.03,4932
2026-01-10 08:00:00,63.12,281,224.63,4928
2026-01-10 09:00:00,67.35,301,223.75,5682
2026-01-10 10:00:00,62.14,280,221.93,5324
2026-01-10 11:00:00,56.25,251,224.1,4398
2026-01-10 12:00:00,55.48,264,210.15,4379
2026-01-10 13:00:00,58.33,296,197.06,5530
2026-01-10 14:00:00,51.5,223,230.94,3877
2026-01-10 15:00:00,53.19,219,242.88,4100
2026-01-10 16:00:00,51.36,230,223.3,3746
2026-01-10 17:00:00,48.16,255,188.86,4769
2026-01-10 18:00:00,57.7,248,232.66,4222
2026-01-10 19:00:00,52.72,262,201.22,4862
2026-01-10 20:00:00,44.25,224,197.54,4035
2026-01-10 21:00:00,53.3,232,229.74,3985
2026-01-10 22:00:00,52.02,243,214.07,4293
2026-01-10 23:00:00,59.29,291,203.75,5375
2026-01-11 00:00:00,55.63,245,227.06,4431
2026-01-11 01:00:00,60.11,267,225.13,4923
2026-01-11 02:00:00,64.25,280,229.46,5435
2026-01-11 03:00:00,67.2,287,234.15,4853
2026-01-11 04:00:00,61.28,266,230.38,5111
2026-01-11 05:00:00,65.14,275,236.87,4971
2026-01-11 06:00:00,64.96,293,221.71,5094
2026-01-11 07:00:00,64.09,277,231.37,4720
2026-01-11 08:00:00,71.8,327,219.57,5848
2026-01-11 09:00:00,65.8,273,241.03,5098
2026-01-11 10:00:00,58.35,268,217.72,4798
2026-01-11 11:00:00,64.08,301,212.89,5720
2026-01-11 12:00:00,66.26,268,247.24,4534
2026-01-11 13:00:00,60.41,277,218.09,4984
2026-01-11 14:00:00,49.58,242,204.88,4106
2026-01-11 15:00:00,51.58,214,241.03,3925
2026-01-11 16:00:00,56.47,279,202.4,5199
2026-01-11 17:00:00,48.8,226,215.93,3984
2026-01-11 18:00:00,52.59,226,232.7,3547
2026-01-11 19:00:00,54.06,242,223.39,4396
2026-01-11 20:00:00,48.94,229,213.71,4209
2026-01-11 21:00:00,53.28,241,221.08,4419
2026-01-11 22:00:00,43.83,205,213.8,3937
2026-01-11 23:00:00,53.56,227,235.95,3872
2026-01-12 00:00:00,58.37,265,220.26,4906
2026-01-12 01:00:00,56.99,235,242.51,4469
2026-01-12 02:00:00,69.03,309,223.4,5206
2026-01-12 03:00:00,60.01,256,234.41,4672
2026-01-12 04:00:00,64.78,280,231.36,4939
2026-01-12 05:00:00,67.61,323,209.32,5798
2026-01-12 06:00:00,72.5,343,211.37,6244
2026-01-12 07:00:00,62.2,289,215.22,5105
2026-01-12 08:00:00,70.53,301,234.32,5283
2026-01-12 09:00:00,65.26,289,225.81,5209
2026-01-12 10:00:00,60.16,289,208.17,4985
2026-01-12 11:00:00,63.32,287,220.63,4949
2026-01-12 12:00:00,60.37,306,197.29,5644
2026-01-12 13:00:00,55.53,256,216.91,4378
2026-01-12 14:00:00,55.98,255,219.53,4723
2026-01-12 15:00:00,52.77,233,226.48,4287
2026-01-12 16:00:00,53.28,242,220.17,4011
2026-01-12 17:00:00,54.43,243,223.99,4238
2026-01-12 18:00:00,57.43,269,213.49,5081
2026-01-12 19:00:00,47.86,230,208.09,3944
2026-01-12 20:00:00,60.49,260,232.65,4587
2026-01-12 21:00:00,47.5,194,244.85,3584
2026-01-12 22:00:00,55.49,222,249.95,4153
2026-01-12 23:00:00,60.04,278,215.97,4954
2026-01-13 00:00:00,61.07,258,236.71,4524
2026-01-13 01:00:00,60.02,238,252.18,4568
2026-01-13 02:00:00,63.43,291,217.97,5586
2026-01-13 03:00:00,64.13,326,196.72,6064
2026-01-13 04:00:00,65.1,293,222.18,5291
2026-01-13 05:00:00,70.97,332,213.77,5814
2026-01-13 06:00:00,69.55,314,221.5,5486
2026-01-13 07:00:00,65.64,294,223.27,5397
2026-01-13 08:00:00,70.45,331,212.84,6042
2026-01-13 09:00:00,67.14,298,225.3,5644
2026-01-13 10:00:00,67.29,307,219.19,5656
2026-01-13 11:00:00,64.75,296,218.75,5027
2026-01-13 12:00:00,57.61,249,231.37,4692
2026-01-13 13:00:00,56.51,269,210.07,4642
2026-01-13 14:00:00,59.2,264,224.24,4675
2026-01-13 15:00:00,57.1,246,232.11,4478
2026-01-13 16:00:00,53.65,249,215.46,4881
2026-01-13 17:00:00,53.37,227,235.11,4708
2026-01-13 18:00:00,57.19,258,221.67,4765
2026-01-13 19:00:00,50.96,229,222.53,4085
2026-01-13 20:00:00,55.78,267,208.91,4913
2026-01-13 21:00:00,54.46,252,216.11,4714
2026-01-13 22:00:00,56.1,252,222.62,4472
2026-01-13 23:00:00,62.67,294,213.16,5651
2026-01-14 00:00:00,63.82,308,207.21,5590
2026-01-14 01:00:00,65.88,305,216.0,5590
2026-01-14 02:00:00,69.57,313,222.27,5767
2026-01-14 03:00:00,66.77,281,237.62,5142
2026-01-14 04:00:00,70.39,301,233.85,5586
2026-01-14 05:00:00,67.75,300,225.83,5277
2026-01-14 06:00:00,70.28,307,228.93,5414
2026-01-14 07:00:00,68.45,305,224.43,5270
2026-01-14 08:00:00,68.48,309,221.62,5650
2026-01-14 09:00:00,68.99,318,216.95,5880
2026-01-14 10:00:00,62.42,280,222.93,5132
2026-01-14 11:00:00,70.71,325,217.57,6185
2026-01-14 12:00:00,57.83,261,221.57,4697
2026-01-14 13:00:00,55.07,218,252.61,4058
2026-01-14 14:00:00,61.47,263,233.73,4516
2026-01-14 15:00:00,58.57,261,224.41,4621
2026-01-14 16:00:00,56.75,237,239.45,4405
2026-01-14 17:00:00,56.0,261,214.56,4868
2026-01-14 18:00:00,53.52,264,202.73,4693
2026-01-14 19:00:00,50.73,247,205.38,4432
2026-01-14 20:00:00,54.97,244,225.29,4088
2026-01-14 21:00:00,53.64,264,203.18,4681
2026-01-14 22:00:00,61.11,277,220.61,5164
2026-01-14 23:00:00,59.15,261,226.63,4813
2026-01-15 00:00:00,58.88,256,230.0,4708
2026-01-15 01:00:00,62.75,278,225.72,5014
2026-01-15 02:00:00,67.29,297,226.57,5347
2026-01-15 03:00:00,65.56,298,220.0,5232
2026-01-15 04:00:00,65.96,299,220.6,5522
2026-01-15 05:00:00,70.53,317,222.49,5790
2026-01-15 06:00:00,70.84,325,217.97,5948
2026-01-15 07:00:00,67.97,324,209.78,5727
2026-01-15 08:00:00,67.33,317,212.4,5275
2026-01-15 09:00:00,68.56,286,239.72,5367
2026-01-15 10:00:00,61.05,236,258.69,4152
2026-01-15 11:00:00,59.3,281,211.03,4885
2026-01-15 12:00:00,59.68,248,240.65,4603
2026-01-15 13:00:00,59.41,264,225.04,4674
2026-01-15 14:00:00,59.35,250,237.4,4712
2026-01-15 15:00:00,61.8,251,246.22,4641
2026-01-15 16:00:00,58.41,271,215.54,5015
2026-01-15 17:00:00,54.08,255,212.08,4317
2026-01-15 18:00:00,54.34,236,230.25,4490
2026-01-15 19:00:00,51.2,192,266.67,3508
2026-01-15 20:00:00,55.48,241,230.21,4264
2026-01-15 21:00:00,55.84,257,217.28,4655
2026-01-15 22:00:00,59.67,246,242.56,4073
2026-01-15 23:00:00,57.61,262,219.89,4798
2026-01-16 00:00:00,64.43,290,222.17,5014
2026-01-16 01:00:00,70.08,324,216.3,5561
2026-01-16 02:00:00,66.3,300,221.0,5096
2026-01-16 03:00:00,69.78,299,233.38,5605
2026-01-16 04:00:00,72.1,342,210.82,6030
2026-01-16 05:00:00,69.11,309,223.66,5869
2026-01-16 06:00:00,71.61,322,222.39,5689
2026-01-16 07:00:00,70.63,304,232.34,5131
2026-01-16 08:00:00,70.16,309,227.06,5339
2026-01-16 09:00:00,65.88,283,232.79,5341
2026-01-16 10:00:00,67.05,299,224.25,5351
2026-01-16 11:00:00,66.81,326,204.94,5758
2026-01-16 12:00:00,68.11,286,238.15,5180
2026-01-16 13:00:00,64.35,265,242.83,4870
2026-01-16 14:00:00,66.64,322,206.96,6019
2026-01-16 15:00:00,54.8,243,225.51,4664
2026-01-16 16:00:00,59.3,257,230.74,4554
2026-01-16 17:00:00,56.12,268,209.4,4559
2026-01-16 18:00:00,62.91,274,229.6,4849
2026-01-16 19:00:00,52.72,265,198.94,4822
2026-01-16 20:00:00,53.45,251,212.95,4325
2026-01-16 21:00:00,55.59,243,228.77,4183
2026-01-16 22:00:00,51.95,266,195.3,4857
2026-01-16 23:00:00,59.51,259,229.77,4652
2026-01-17 00:00:00,60.8,285,213.33,5137
2026-01-17 01:00:00,66.09,302,218.84,5284
2026-01-17 02:00:00,68.72,329,208.88,5876
2026-01-17 03:00:00,75.78,364,208.19,6367
2026-01-17 04:00:00,73.85,333,221.77,6172
2026-01-17 05:00:00,69.34,301,230.37,5625
2026-01-17 06:00:00,68.52,315,217.52,5301
2026-01-17 07:00:00,73.15,319,229.31,5556
2026-01-17 08:00:00,66.04,327,201.96,5587
2026-01-17 09:00:00,75.84,343,221.11,6044
2026-01-17 10:00:00,71.93,318,226.19,5707
2026-01-17 11:00:00,64.27,292,220.1,4966
2026-01-17 12:00:00,57.88,240,241.17,4136
2026-01-17 13:00:00,66.58,285,233.61,4929
2026-01-17 14:00:00,59.54,286,208.18,5189
2026-01-17 15:00:00,62.65,272,230.33,4910
2026-01-17 16:00:00,51.51,216,238.47,3744
2026-01-17 17:00:00,54.22,252,215.16,4571
2026-01-17 18:00:00,56.1,270,207.78,4751
2026-01-17 19:00:00,56.56,265,213.43,4716
2026-01-17 20:00:00,55.65,265,210.0,5105
2026-01-17 21:00:00,60.71,262,231.72,4984
2026-01-17 22:00:00,56.49,233,242.45,3934
2026-01-17 23:00:00,61.69,300,205.63,5566
2026-01-18 00:00:00,64.72,286,226.29,5310
2026-01-18 01:00:00,68.2,303,225.08,5224
2026-01-18 02:00:00,70.86,339,209.03,6266
2026-01-18 03:00:00,66.12,306,216.08,5816
2026-01-18 04:00:00,65.99,304,217.07,5247
2026-01-18 05:00:00,76.67,377,203.37,6602
2026-01-18 06:00:00,73.67,322,228.79,6000
2026-01-18 07:00:00,69.65,327,213.0,5940
2026-01-18 08:00:00,76.93,347,221.7,6356
2026-01-18 09:00:00,70.67,322,219.47,5864
2026-01-18 10:00:00,72.77,350,207.91,6378
2026-01-18 11:00:00,66.99,309,216.8,5297
2026-01-18 12:00:00,71.93,332,216.66,6185
2026-01-18 13:00:00,68.82,326,211.1,6102
2026-01-18 14:00:00,59.91,264,226.93,4706
2026-01-18 15:00:00,62.56,269,232.57,4833
2026-01-18 16:00:00,60.19,255,236.04,4284
2026-01-18 17:00:00,61.95,249,248.8,4585
2026-01-18 18:00:00,53.55,272,196.88,5010
2026-01-18 19:00:00,59.63,252,236.63,4524
2026-01-18 20:00:00,61.77,275,224.62,5175
2026-01-18 21:00:00,53.22,235,226.47,4163
2026-01-18 22:00:00,56.92,261,218.08,4811
2026-01-18 23:00:00,55.89,264,211.7,4548
2026-01-19 00:00:00,64.19,302,212.55,5431
2026-01-19 01:00:00,69.75,305,228.69,5455
2026-01-19 02:00:00,74.46,333,223.6,6039
2026-01-19 03:00:00,71.16,324,219.63,5758
2026-01-19 04:00:00,77.9,347,224.5,6220
2026-01-19 05:00:00,68.21,331,206.07,6123
2026-01-19 06:00:00,67.38,311,216.66,5511
2026-01-19 07:00:00,72.91,339,215.07,5781
2026-01-19 08:00:00,73.69,342,215.47,6506
2026-01-19 09:00:00,70.99,337,210.65,6342
2026-01-19 10:00:00,62.25,283,219.96,4836
2026-01-19 11:00:00,67.28,283,237.74,5232
2026-01-19 12:00:00,60.99,280,217.82,4939
2026-01-19 13:00:00,65.86,287,229.48,5219
2026-01-19 14:00:00,62.91,275,228.76,5009
2026-01-19 15:00:00,56.71,264,214.81,4705
2026-01-19 16:00:00,56.97,275,207.16,4793
2026-01-19 17:00:00,54.3,245,221.63,4272
2026-01-19 18:00:00,57.55,264,217.99,4569
2026-01-19 19:00:00,61.42,302,203.38,5270
2026-01-19 20:00:00,55.46,253,219.21,4541
2026-01-19 21:00:00,61.98,318,194.91,5581
2026-01-19 22:00:00,60.05,279,215.23,5158
2026-01-19 23:00:00,61.1,249,245.38,4779
2026-01-20 00:00:00,65.6,307,213.68,5410
2026-01-20 01:00:00,64.46,296,217.77,5376
2026-01-20 02:00:00,68.11,326,208.93,5968
2026-01-20 03:00:00,67.55,314,215.13,5746
2026-01-20 04:00:00,79.92,358,223.24,6459
2026-01-20 05:00:00,74.0,315,234.92,5819
2026-01-20 06:00:00,71.74,320,224.19,5856
2026-01-20 07:00:00,74.7,323,231.27,5566
2026-01-20 08:00:00,72.79,319,228.18,5916
2026-01-20 09:00:00,71.17,329,216.32,6099
2026-01-20 10:00:00,72.48,351,206.5,6165
2026-01-20 11:00:00,71.08,326,218.04,5876
2026-01-20 12:00:00,64.54,272,237.28,5033
2026-01-20 13:00:00,62.35,287,217.25,5124
2026-01-20 14:00:00,61.5,295,208.47,5525
2026-01-20 15:00:00,52.79,228,231.54,4577
2026-01-20 16:00:00,54.31,242,224.42,4199
2026-01-20 17:00:00,63.63,287,221.71,4890
2026-01-20 18:00:00,64.36,278,231.51,5065
2026-01-20 19:00:00,58.04,271,214.17,5022
2026-01-20 20:00:00,61.77,276,223.8,4922
2026-01-20 21:00:00,62.14,286,217.27,5439
2026-01-20 22:00:00,73.52,318,231.19,5456
2026-01-20 23:00:00,68.63,302,227.25,5575
2026-01-21 00:00:00,66.37,310,214.1,5459
2026-01-21 01:00:00,65.58,290,226.14,5564
2026-01-21 02:00:00,65.26,320,203.94,6159
2026-01-21 03:00:00,73.29,324,226.2,5679
2026-01-21 04:00:00,71.24,324,219.88,5722
2026-01-21 05:00:00,69.74,328,212.62,6076
2026-01-21 06:00:00,72.76,306,237.78,5431
2026-01-21 07:00:00,71.0,293,242.32,5265
2026-01-21 08:00:00,79.93,337,237.18,6071
2026-01-21 09:00:00,75.87,360,210.75,6096
2026-01-21 10:00:00,71.14,312,228.01,5613
2026-01-21 11:00:00,74.45,373,199.6,6576
2026-01-21 12:00:00,67.51,295,228.85,5211
2026-01-21 13:00:00,62.19,283,219.75,5383
2026-01-21 14:00:00,68.64,332,206.75,5725
2026-01-21 15:00:00,63.57,316,201.17,5851
2026-01-21 16:00:00,56.82,287,197.98,5110
2026-01-21 17:00:00,59.02,284,207.82,5056
2026-01-21 18:00:00,56.38,269,209.59,5000
2026-01-21 19:00:00,54.92,256,214.53,4676
2026-01-21 20:00:00,63.83,299,213.48,5496
2026-01-21 21:00:00,68.58,300,228.6,5594
2026-01-21 22:00:00,58.69,252,232.9,4470
2026-01-21 23:00:00,67.52,304,222.11,5350
2026-01-22 00:00:00,65.38,292,223.9,5039
2026-01-22 01:00:00,68.06,299,227.63,5217
2026-01-22 02:00:00,69.65,324,214.97,6422
2026-01-22 03:00:00,70.4,331,212.69,6207
2026-01-22 04:00:00,74.9,338,221.6,5814
2026-01-22 05:00:00,72.65,349,208.17,6018
2026-01-22 06:00:00,76.81,329,233.47,6018
2026-01-22 07:00:00,75.45,337,223.89,6175
2026-01-22 08:00:00,74.03,322,229.91,5906
2026-01-22 09:00:00,70.45,289,243.77,5151
2026-01-22 10:00:00,69.99,314,222.9,5627
2026-01-22 11:00:00,72.76,326,223.19,5934
2026-01-22 12:00:00,69.83,337,207.21,6083
2026-01-22 13:00:00,62.62,291,215.19,4794
2026-01-22 14:00:00,64.5,275,234.55,4904
2026-01-22 15:00:00,65.16,321,202.99,5608
2026-01-22 16:00:00,55.45,268,206.9,4859
2026-01-22 17:00:00,62.43,290,215.28,5817
2026-01-22 18:00:00,57.97,257,225.56,4699
2026-01-22 19:00:00,62.59,267,234.42,4743
2026-01-22 20:00:00,58.76,259,226.87,4846
2026-01-22 21:00:00,56.42,270,208.96,4957
2026-01-22 22:00:00,58.73,293,200.44,5358
2026-01-22 23:00:00,66.56,323,206.07,5935
2026-01-23 00:00:00,69.41,305,227.57,5901
2026-01-23 01:00:00,67.44,287,234.98,4940
2026-01-23 02:00:00,74.8,339,220.65,6197
2026-01-23 03:00:00,68.45,281,243.59,4873
2026-01-23 04:00:00,75.34,344,219.01,6303
2026-01-23 05:00:00,72.16,323,223.41,5630
2026-01-23 06:00:00,74.43,328,226.92,5821
