peca_id,tipo_maquina,material_peca,fluido_corte,turno_operacao,rotacao_rpm,avancao_mm_min,profundidade_corte_mm,desgaste_ferramenta_um,temperatura_mancal_c,pressao_hidraulica_bar,tempo_ciclo_robo_seg,dias_desde_calibracao,ruido_sensor_vibracao_hz,codigo_lote_materia_prima,clp_ip_hash,peca_defeituosa
PEC-80039, TORNO_CNC ,Latao,Soluvel,Turno_3,2981.0,379.6,4.37,24.3,88.8,133.8,55.8,5,15.88,9782,CLP-7776F,1
PEC-80040,Torno_CNC,Latao,Soluvel,Turno_2,3118.2,208.0,3.43,13.3,66.1,122.2,53.7,154,-7.37,1421,CLP-2DC48,1
PEC-80041, TORNO_CNC ,Aco_Inox,Semi_Sintetico,Turno_1,2575.9,228.6,1.88,23.9,70.3,115.9,47.7,148,10.03,8315,CLP-B4AED,1
PEC-80042,Torno_CNC,Aco_Inox,Soluvel,Turno_3,2755.6,211.2,1.04,77.7,69.2,73.7,47.2,12,-25.51,4442,CLP-62F53,1
PEC-80043,Centro_Usinagem,Aco_Carbono,Semi_Sintetico,Turno_2,3424.2,218.0,2.43,137.1,92.2,110.3,46.7,71,-3.04,9626,CLP-53224,1
PEC-80044,Torno_CNC,Aluminio,Soluvel,Turno_1,3213.4,293.7,3.22,35.1,77.0,136.5,41.3,24,-6.1,7640,CLP-2583C,1
PEC-80045,Fresadora,Aco_Inox,Sintetico,Turno_1,2889.3,278.3,1.21,10.5,47.6,115.9,40.5,1,2.33,9784,CLP-96732,0
PEC-80046,Torno_CNC,Aco_Carbono,Seco,Turno_1,3795.9,293.8,3.1,24.5,79.7,126.8,57.8,23,23.68,7245,CLP-52B16,1
PEC-80047,torno_cnc,Aco_Inox,Soluvel,Turno_2,2651.0,317.1,3.8,37.3,53.7,113.0,50.0,114,7.88,1813,CLP-9EF39,1
PEC-80048,torno_cnc,Aco_Carbono,Sintetico,Turno_2,,305.4,1.13,21.2,57.2,98.6,34.4,137,-9.13,7699,CLP-285FC,0
PEC-80049,Torno_CNC,Aco_Inox,Semi_Sintetico,Turno_1,2972.5,199.6,3.32,13.0,49.4,131.2,41.4,140,-10.58,8907,CLP-F15CB,1
PEC-80050,Celula_Robotica,Aco_Inox,Semi_Sintetico,Turno_1,3476.8,223.8,0.77,14.0,86.9,101.6,48.9,68,-8.97,5402,CLP-9857C,1
PEC-80051,Fresadora,Aco_Inox,Sintetico,Turno_1,999999.0,256.1,0.53,27.5,79.2,116.1,47.9,104,24.01,8254,CLP-852C6,1
PEC-80052,Celula_Robotica,Latao,Sintetico,Turno_2,3151.3,436.4,0.63,13.5,79.8,125.5,49.2,4,-17.19,5511,CLP-D8594,0
PEC-80053,Centro_Usinagem,Aluminio,Semi_Sintetico,Turno_1,2370.1,288.6,3.03,15.0,77.4,109.8,33.1,55,28.81,7142,CLP-6A887,1
PEC-80054,torno_cnc,Aco_Carbono,Semi_Sintetico,Turno_1,3589.3,255.3,4.39,77.2,73.3,143.6,47.6,59,-25.5,1113,CLP-C0DC8,1
PEC-80055,Celula_Robotica,Aco_Inox,Semi_Sintetico,Turno_3,3102.0,283.7,3.59,57.8,61.2,149.6,53.9,134,-10.38,9853,CLP-2A489,1
PEC-80056,Torno_CNC,Aco_Inox,Soluvel,Turno_2,3252.0,219.8,1.52,7.0,67.5,107.9,33.0,44,26.39,2626,CLP-C0A9A,1
PEC-80057,Torno_CNC,Aco_Inox,Seco,Turno_1,2863.1,263.1,0.79,18.5,58.8,108.4,58.9,65,22.6,6682,CLP-B733D,0
PEC-80058,Torno_CNC,Aluminio,Soluvel,Turno_2,2792.4,297.7,2.97,31.6,54.8,113.4,47.6,72,0.16,8075,CLP-64F59,0
PEC-80059,Torno_CNC,Aluminio,Soluvel,Turno_1,3874.7,248.6,0.51,7.2,57.3,137.3,45.9,77,24.82,2226,CLP-C957F,0
PEC-80060, TORNO_CNC ,Aluminio,Soluvel,Turno_2,2402.0,212.2,3.67,45.2,93.3,127.3,37.4,82,17.42,3441,CLP-44552,1
PEC-80061,Torno_CNC,Aco_Inox,Soluvel,Turno_2,2725.6,246.1,1.47,22.0,60.4,131.3,39.9,23,3.1,5841,CLP-DFE04,0
PEC-80062,Centro_Usinagem,Latao,Soluvel,Turno_2,3866.2,234.0,1.7,22.7,77.0,139.7,42.0,111,0.37,9785,CLP-5907C,1
PEC-80063, TORNO_CNC ,Aco_Inox,Soluvel,Turno_2,3488.3,182.1,1.88,15.8,89.9,106.4,33.6,153,-8.65,8796,CLP-CE38E,1
PEC-80064,Torno_CNC,Latao,Soluvel,Turno_1,3053.5,221.4,3.55,19.2,74.4,127.5,42.5,58,5.67,9425,CLP-D56D5,1
PEC-80065,torno_cnc,Aco_Inox,Sintetico,Turno_2,3761.0,180.4,1.56,74.2,55.5,120.8,37.9,178,-11.43,8153,CLP-C164E,1
PEC-80066,Torno_CNC,Aluminio,Soluvel,Turno_1,3401.1,188.2,1.64,59.4,56.2,126.5,50.5,75,-2.64,5832,CLP-8C5CC,1
PEC-80067,Centro_Usinagem,Aco_Inox,Soluvel,Turno_1,3304.7,193.0,2.66,101.1,66.4,137.2,20.6,178,13.8,3292,CLP-82787,1
PEC-80068,Torno_CNC,Aluminio,Soluvel,Turno_3,3301.5,297.7,2.35,47.0,92.1,117.7,43.0,54,-20.54,5144,CLP-5C3F5,1
PEC-80069,Celula_Robotica,Aluminio,Soluvel,Turno_2,,324.5,4.32,35.2,82.1,109.5,37.3,15,21.37,8355,CLP-7880E,1
PEC-80070,Fresadora,Aluminio,Soluvel,Turno_3,3427.6,173.2,1.55,15.5,71.4,104.2,45.0,178,7.74,8948,CLP-B34D4,1
PEC-80071,Torno_CNC,Aluminio,Sintetico,Turno_1,4188.2,329.0,0.87,43.5,62.5,146.3,63.8,161,22.16,7014,CLP-53C62,1
PEC-80072,Torno_CNC,Aco_Carbono,Seco,Turno_2,,193.7,2.66,87.8,69.6,119.4,58.4,119,-17.45,3759,CLP-D65EC,1
PEC-80073,Centro_Usinagem,Aluminio,Semi_Sintetico,Turno_1,3126.2,287.3,1.24,7.5,67.3,99.5,41.0,147,5.72,8266,CLP-2B661,1
PEC-80074,Fresadora,Aco_Carbono,Semi_Sintetico,Turno_2,2643.4,262.9,2.15,25.5,67.2,140.7,43.5,177,-5.09,1471,CLP-A84CB,1
PEC-80075,Fresadora,Aco_Inox,Soluvel,Turno_1,3176.6,281.8,1.25,10.7,54.5,94.4,38.3,52,-17.11,2110,CLP-EDD91,0
PEC-80076,Fresadora,Aluminio,Soluvel,Turno_1,,191.7,4.02,63.2,54.3,96.8,43.8,101,-15.31,9603,CLP-6B24F,1
PEC-80077,Torno_CNC,Aluminio,Soluvel,Turno_1,3643.0,159.4,1.81,38.3,68.9,115.3,50.9,166,8.85,1708,CLP-69F68,1
PEC-80078, TORNO_CNC ,Aco_Inox,Semi_Sintetico,Turno_2,2955.3,209.9,3.6,79.1,51.1,111.8,34.5,88,-9.43,4044,CLP-466C6,1
PEC-80079,Torno_CNC,Aluminio,Soluvel,Turno_1,3213.5,271.3,4.29,7.3,57.5,124.7,57.5,106,13.04,5583,CLP-4AE60,1
PEC-80080,Centro_Usinagem,Aco_Inox,Sintetico,Turno_3,2616.6,347.8,4.26,87.7,65.4,91.1,52.3,91,-2.19,1487,CLP-E4E44,1
PEC-80081,Fresadora,Aco_Inox,Soluvel,Turno_1,2763.9,198.5,2.6,7.4,69.0,124.9,52.0,93,21.23,1195,CLP-225B0,1
PEC-80082,Torno_CNC,Aco_Inox,Soluvel,Turno_1,3267.2,245.1,4.43,,78.4,139.2,48.1,149,-35.41,5335,CLP-AF3AA,1
PEC-80083,Torno_CNC,Aco_Inox,Seco,Turno_1,2977.5,212.5,3.12,10.9,50.0,105.3,37.8,24,-6.03,8721,CLP-707AA,1
PEC-80084,Torno_CNC,Aluminio,Semi_Sintetico,Turno_3,2729.9,249.1,1.01,10.5,50.0,114.3,53.1,167,12.13,8057,CLP-D1DD5,0
PEC-80085,Torno_CNC,Aluminio,Semi_Sintetico,Turno_1,3420.4,153.5,4.05,11.6,80.7,108.0,42.4,157,-16.42,9973,CLP-95E61,1
PEC-80086,Fresadora,Latao,Sintetico,Turno_1,3163.0,324.9,2.37,27.9,85.1,124.8,31.5,138,-4.01,4794,CLP-C65A7,1
PEC-80087,Fresadora,Aco_Carbono,Semi_Sintetico,Turno_3,2494.6,251.2,1.11,58.7,52.5,103.9,45.6,145,0.03,7952,CLP-7112D,1
PEC-80088,Centro_Usinagem,Aco_Inox,Sintetico,Turno_1,,295.9,3.67,85.0,54.9,102.0,35.7,161,16.62,8277,CLP-5CDCD,1
PEC-80089, TORNO_CNC ,Aco_Carbono,Seco,Turno_2,2943.5,238.4,3.0,34.3,71.5,117.7,40.2,43,-11.14,7595,CLP-6AD0A,1
PEC-80090,Torno_CNC,Aco_Carbono,Soluvel,Turno_1,2485.3,259.5,4.03,11.0,65.6,125.1,50.7,133,15.52,1191,CLP-7142F,1
PEC-80091,Fresadora,Aluminio,Sintetico,Turno_2,2359.0,306.4,3.81,7.9,65.7,122.3,44.0,103,-17.15,9028,CLP-A1DE6,1
PEC-80092,Fresadora,Aluminio,Sintetico,Turno_1,3708.0,256.6,1.78,28.9,55.6,113.4,44.7,46,9.65,8379,CLP-D5940,1
PEC-80093,torno_cnc,Latao,Soluvel,Turno_2,3156.0,258.4,1.53,55.7,73.6,130.0,54.3,128,-11.16,8117,CLP-B5D25,1
PEC-80094,Fresadora,Aluminio,Semi_Sintetico,Turno_3,3080.5,210.3,3.44,38.9,62.2,123.5,27.0,129,-2.18,1386,CLP-3EE53,1
PEC-80095, TORNO_CNC ,Latao,Seco,Turno_3,3115.2,223.3,2.79,,61.8,102.5,54.0,164,-0.32,5078,CLP-97527,1
PEC-80096,torno_cnc,Aco_Inox,Soluvel,Turno_2,2688.0,199.4,0.78,6.7,51.4,79.9,46.2,62,14.23,3914,CLP-C8596,0
PEC-80097, TORNO_CNC ,Aco_Inox,Soluvel,Turno_3,3384.9,213.1,1.23,23.6,74.5,127.8,44.4,115,27.92,9439,CLP-52E3D,1
PEC-80098,Torno_CNC,Aluminio,Soluvel,Turno_1,3141.2,312.6,1.11,33.0,60.7,116.2,44.7,21,8.86,4959,CLP-7BF11,0
PEC-80099,Torno_CNC,Aluminio,Semi_Sintetico,Turno_1,2859.2,340.4,2.86,36.9,64.5,103.4,50.1,149,1.37,3112,CLP-B28B2,1
PEC-80100,Torno_CNC,Aco_Carbono,Sintetico,Turno_2,2926.6,187.6,0.84,5.2,79.3,144.4,53.2,15,11.96,9650,CLP-98CDE,1
PEC-80101,Fresadora,Latao,Soluvel,Turno_2,2647.6,269.8,1.33,12.8,52.4,144.2,43.1,50,-3.76,9811,CLP-E48A2,0
PEC-80102,Torno_CNC,Aco_Inox,Sintetico,Turno_1,3017.2,234.1,2.68,109.7,64.0,139.1,43.9,53,8.21,9073,CLP-A2A69,1
PEC-80103,torno_cnc,Aco_Inox,Soluvel,Turno_2,3092.2,319.8,1.03,29.9,46.3,123.4,49.9,123,44.24,4160,CLP-4FF3E,1
PEC-80104,Centro_Usinagem,Aco_Carbono,Semi_Sintetico,Turno_1,3005.5,256.7,1.49,47.6,58.7,72.5,28.2,156,4.27,1783,CLP-69A4E,1
PEC-80105,Torno_CNC,Aluminio,Soluvel,Turno_2,3224.8,249.6,4.13,17.9,80.5,137.6,44.2,145,12.28,7915,CLP-B0D9C,1
PEC-80106, TORNO_CNC ,Aco_Inox,Soluvel,Turno_3,3164.7,212.8,3.29,35.8,46.5,106.2,49.0,68,-35.47,9304,CLP-B9AAC,0
PEC-80107,Fresadora,Aluminio,Semi_Sintetico,Turno_2,3303.8,173.4,1.73,20.4,67.8,111.6,41.1,121,6.61,7762,CLP-5DEFE,1
PEC-80108,Torno_CNC,Aco_Carbono,Soluvel,Turno_1,3624.4,288.0,4.01,17.3,84.2,133.5,38.6,42,-6.48,5144,CLP-3814A,1
PEC-80109,Torno_CNC,Aco_Carbono,Soluvel,Turno_2,3466.9,267.6,1.5,23.6,71.6,150.5,43.8,106,2.31,3915,CLP-42D68,1
PEC-80110,Torno_CNC,Aluminio,Soluvel,Turno_2,3629.6,268.9,2.86,26.6,58.0,143.1,40.3,58,-6.07,1631,CLP-3F132,1
PEC-80111,Torno_CNC,Aco_Inox,Soluvel,Turno_1,2818.5,220.0,1.97,19.1,51.7,122.6,43.0,38,-3.84,2848,CLP-B863A,0
PEC-80112,Celula_Robotica,Latao,Soluvel,Turno_2,2971.1,242.7,3.51,15.4,41.8,131.1,41.2,174,-13.88,7822,CLP-24C41,1
PEC-80113,Centro_Usinagem,Aluminio,Seco,Turno_3,3494.1,289.6,1.99,39.2,83.7,103.4,57.5,63,0.19,7174,CLP-2B983,1
PEC-80114,Fresadora,Aluminio,Semi_Sintetico,Turno_1,,299.1,1.5,21.8,59.9,95.7,35.9,44,-8.97,8970,CLP-EF9B2,1
PEC-80115,Centro_Usinagem,Aco_Inox,Semi_Sintetico,Turno_1,2894.6,191.1,2.93,12.9,43.4,136.2,51.7,40,13.38,6595,CLP-E2DB1,0
PEC-80116,Centro_Usinagem,Aco_Carbono,Seco,Turno_1,3475.2,218.3,3.48,54.7,52.7,124.8,40.3,11,-22.72,4760,CLP-66BE0,1
PEC-80117,Torno_CNC,Aco_Inox,Soluvel,Turno_2,2775.4,180.5,2.65,,52.1,98.3,47.6,152,16.74,4800,CLP-8551F,1
PEC-80118,Centro_Usinagem,Aco_Inox,Soluvel,Turno_3,3416.5,260.1,3.37,81.3,59.1,119.3,50.2,93,-14.89,4985,CLP-36AFC,1
PEC-80119,torno_cnc,Aluminio,Soluvel,Turno_2,3188.2,294.2,2.19,33.3,93.7,129.3,57.2,127,20.29,5458,CLP-91692,1
PEC-80120,Centro_Usinagem,Aco_Inox,Semi_Sintetico,Turno_1,2577.0,236.1,3.68,16.5,76.1,133.6,48.1,14,-5.8,2174,CLP-865CF,1
PEC-80121,Centro_Usinagem,Aluminio,Sintetico,Turno_2,3004.7,216.9,2.84,74.8,70.8,129.4,41.8,88,-35.12,9502,CLP-C4A2B,1
PEC-80122,Torno_CNC,Aco_Inox,Soluvel,Turno_2,4182.0,233.2,1.28,16.5,79.4,114.6,45.5,65,-14.27,8553,CLP-CF987,1
PEC-80123,Torno_CNC,Aluminio,Soluvel,Turno_2,3291.3,365.3,4.06,42.3,87.0,107.3,60.3,96,-7.64,7020,CLP-E73E5,1
PEC-80124,Torno_CNC,Aco_Inox,Sintetico,Turno_1,4235.2,309.6,3.85,12.4,71.3,121.8,46.3,142,28.66,3953,CLP-3568A,1
PEC-80125, TORNO_CNC ,Aco_Inox,Sintetico,Turno_2,2550.2,286.5,4.36,39.7,82.3,132.0,34.5,5,-11.05,6045,CLP-C6E32,1
PEC-80126,Centro_Usinagem,Aco_Inox,Semi_Sintetico,Turno_2,3537.8,266.0,2.78,69.3,57.3,133.6,41.9,71,15.3,8154,CLP-A9439,1
PEC-80127,Centro_Usinagem,Latao,Soluvel,Turno_1,2059.5,249.4,3.2,,54.6,143.7,41.7,105,-8.59,8474,CLP-85EC5,1
PEC-80128,Torno_CNC,Aco_Carbono,Seco,Turno_2,3199.9,204.7,3.95,27.3,52.6,120.5,50.8,127,-7.63,8695,CLP-4FBB8,1
PEC-80129,torno_cnc,Aco_Inox,Soluvel,Turno_3,3484.0,196.9,0.71,181.1,68.5,103.3,35.2,68,8.4,3874,CLP-81370,1
PEC-80130, TORNO_CNC ,Aco_Carbono,Sintetico,Turno_1,3577.1,221.6,4.15,5.8,33.4,136.3,40.9,69,10.26,4008,CLP-E35AB,0
PEC-80131,Torno_CNC,Aluminio,Seco,Turno_3,2840.3,202.3,1.58,19.1,80.9,121.2,46.7,67,-3.66,6932,CLP-F0D73,1
PEC-80132,Torno_CNC,Latao,Seco,Turno_1,,219.6,0.73,92.8,59.1,100.8,42.8,49,5.35,1550,CLP-53EDE,1
PEC-80133,Torno_CNC,Aco_Inox,Soluvel,Turno_2,2959.8,244.9,1.45,41.0,74.9,129.4,45.7,93,-21.14,3470,CLP-DDF47,1
PEC-80134,Celula_Robotica,Aluminio,Soluvel,Turno_1,3126.2,248.7,2.85,32.3,48.3,141.2,46.2,38,19.83,3802,CLP-34A3B,0
PEC-80135,Torno_CNC,Aco_Inox,Soluvel,Turno_1,3005.0,219.0,0.69,40.5,78.3,125.7,46.7,48,-23.15,9476,CLP-98925,1
PEC-80136,torno_cnc,Aco_Inox,Soluvel,Turno_2,999999.0,274.8,0.5,18.6,81.6,141.4,37.6,30,-6.06,2105,CLP-C555B,1
PEC-80137,Fresadora,Latao,Sintetico,Turno_2,3906.4,240.5,3.06,7.6,66.2,112.7,51.4,102,3.65,2914,CLP-8859C,1
PEC-80138, TORNO_CNC ,Aluminio,Seco,Turno_3,3221.6,260.7,2.31,16.3,71.3,109.1,40.7,115,14.48,5721,CLP-E640F,1
PEC-80139,Celula_Robotica,Aco_Inox,Soluvel,Turno_2,,212.8,3.88,19.4,52.7,132.8,44.9,150,-12.97,1352,CLP-55853,1
PEC-80140,Celula_Robotica,Aco_Inox,Soluvel,Turno_2,3670.1,284.6,1.53,27.9,65.5,114.7,35.3,170,-20.93,5410,CLP-6649E,1
PEC-80141,Torno_CNC,Aco_Carbono,Soluvel,Turno_3,2764.4,223.3,1.62,22.5,76.7,138.1,45.3,74,14.53,6004,CLP-E2936,1
PEC-80142, TORNO_CNC ,Aluminio,Semi_Sintetico,Turno_2,3747.3,330.4,0.81,30.8,61.4,122.6,46.5,152,6.62,4429,CLP-53F21,1
PEC-80143,Torno_CNC,Aco_Inox,Seco,Turno_1,3426.5,238.8,2.65,12.6,83.3,138.3,45.3,11,10.31,2737,CLP-C4A80,1
PEC-80144,Torno_CNC,Latao,Soluvel,Turno_1,2731.6,245.3,1.96,12.1,43.6,129.5,38.8,113,12.44,3430,CLP-E5368,0
PEC-80145,Torno_CNC,Aco_Inox,Soluvel,Turno_1,3402.0,279.7,1.86,20.2,61.1,106.5,54.0,7,8.36,1628,CLP-C0B39,1
PEC-80146,Fresadora,Aco_Inox,Semi_Sintetico,Turno_2,2739.7,290.6,2.33,27.5,41.9,90.1,49.7,120,-2.8,3175,CLP-37930,1
PEC-80147,torno_cnc,Latao,Sintetico,Turno_1,3922.9,296.0,3.9,,68.8,131.7,43.9,22,5.34,5967,CLP-BBF0C,1
PEC-80148,Torno_CNC,Aco_Inox,Soluvel,Turno_1,3566.2,338.8,0.92,35.1,62.4,128.5,43.8,86,-16.04,6949,CLP-DF9BD,1
PEC-80149,Torno_CNC,Aco_Inox,Semi_Sintetico,Turno_1,3168.0,283.1,2.59,18.0,62.9,104.7,39.1,159,26.69,8452,CLP-7AE84,1
PEC-80150,Centro_Usinagem,Aluminio,Seco,Turno_2,3769.2,246.7,1.29,11.8,73.9,132.0,40.0,168,-10.05,2813,CLP-8C47D,1
PEC-80151,Torno_CNC,Aco_Carbono,Sintetico,Turno_1,2488.1,223.5,1.35,74.5,61.6,140.9,56.7,131,-8.83,7835,CLP-7D28D,1
PEC-80152,Torno_CNC,Aco_Inox,Sintetico,Turno_1,2862.8,243.3,1.53,12.8,98.7,109.4,42.1,89,0.53,4536,CLP-59213,1
PEC-80153, TORNO_CNC ,Latao,Soluvel,Turno_2,3086.4,324.2,2.34,124.0,74.7,91.0,67.1,42,7.98,1901,CLP-E226F,1
PEC-80154,Celula_Robotica,Aco_Carbono,Sintetico,Turno_3,,180.7,2.48,158.1,65.4,134.6,35.7,92,-4.27,5983,CLP-3E812,1
PEC-80155,Torno_CNC,Aco_Inox,Soluvel,Turno_1,2718.3,209.0,3.99,46.8,56.9,139.1,48.0,17,24.88,2360,CLP-96F19,0
PEC-80156,Fresadora,Aco_Carbono,Soluvel,Turno_2,2431.7,239.1,4.07,29.4,54.1,109.0,46.8,4,10.75,8670,CLP-631BA,1
PEC-80157,Fresadora,Aco_Inox,Soluvel,Turno_1,2550.0,208.4,2.85,60.5,70.2,131.6,45.3,84,-12.61,4718,CLP-D5F64,1
PEC-80158,Torno_CNC,Aluminio,Soluvel,Turno_3,3607.8,229.6,1.63,77.3,58.7,125.0,32.3,136,16.32,8776,CLP-843EC,1
PEC-80159,Fresadora,Aco_Carbono,Soluvel,Turno_1,2932.6,340.3,3.77,48.3,76.9,118.4,34.0,152,-2.3,8402,CLP-63E39,1
PEC-80160, TORNO_CNC ,Latao,Sintetico,Turno_3,3128.4,235.1,3.67,,64.0,128.7,46.6,41,-1.1,9969,CLP-3305C,1
PEC-80161,Fresadora,Aco_Inox,Sintetico,Turno_3,,270.6,3.69,5.1,64.1,112.5,36.8,113,28.81,4258,CLP-58EF3,1
PEC-80162,Fresadora,Aluminio,Sintetico,Turno_3,3128.9,167.1,0.57,12.5,66.4,103.5,54.7,90,-29.91,5658,CLP-9F8A4,1
