equipamento_id,tempo_operacao_horas,tipo_combustivel,turno_trabalho,regiao_instalacao,temperatura_celsius,vibracao_mm_s,pressao_psi,dias_desde_ultima_revisao,historico_falhas_anteriores,ruido_frequencia_hz,tag_rfid_inventario,firmware_serial_hash,falha_maquina
EQP-30020,2849.5,Eletrico,Manha,Norte,87.0,0.83,89.0,153,3,14.56,230276,FW-5C64C,1
EQP-30021,12627.8, DIESEL ,Manha,Oeste,99.8,4.41,106.8,64,0,9.18,627064,FW-8E7D7,1
EQP-30022,7173.4, DIESEL ,Tarde,Sul,80.6,7.11,71.4,274,1,-66.09,711366,FW-24AE7,1
EQP-30023,10771.0,Gas_Natural,Tarde,Oeste,63.1,3.24,120.3,132,1,19.71,865347,FW-665D6,1
EQP-30024,8073.1,Eletrico,Noite,Sul,91.4,8.99,108.7,152,1,12.82,630508,FW-27863,1
EQP-30025,10479.7,Diesel,Tarde,Oeste,66.3,3.69,119.9,59,1,-22.27,984222,FW-E975E,1
EQP-30026,2899.8,Eletrico,Noite,Oeste,51.1,9.44,113.7,302,0,-31.98,442113,FW-E8A1F,1
EQP-30027,7911.9, DIESEL ,Manha,Oeste,67.2,8.91,98.6,325,0,-57.1,156740,FW-19755,1
EQP-30028,1489.2,Diesel,Manha,Oeste,90.0,3.75,89.7,11,1,5.06,564241,FW-D105B,1
EQP-30029,9483.1,Diesel,Manha,Leste,87.1,1.83,93.6,129,2,4.04,956291,FW-2DD00,1
EQP-30030,13930.8,Eletrico,Manha,Leste,77.0,21.06,86.4,85,1,-3.73,595684,FW-9D641,1
EQP-30031,14328.7,Eletrico,Tarde,Sul,59.4,1.99,126.5,162,0,21.89,594478,FW-59329,1
EQP-30032,9694.7,Eletrico,Manha,Norte,107.0,3.11,89.7,81,0,-63.2,216283,FW-E287E,1
EQP-30033,12717.6, DIESEL ,Manha,Leste,61.9,,84.8,29,0,57.71,638099,FW-9D4F6,1
EQP-30034,8248.0, DIESEL ,Noite,Sul,81.9,2.9,121.0,243,0,-39.29,962152,FW-DD84A,1
EQP-30035,2620.4,Eletrico,Noite,Oeste,66.8,,96.8,240,1,28.9,479438,FW-A9CB9,1
EQP-30036,901.3,Eletrico,Manha,Sul,84.8,6.87,75.6,173,5,34.04,866043,FW-76F26,1
EQP-30037,9780.1,Hibrido,Tarde,Sul,89.6,,108.5,71,0,16.95,884912,FW-56842,1
EQP-30038,13462.7,Eletrico,Manha,Norte,70.4,2.7,118.6,24,0,42.68,463386,FW-2B37E,1
EQP-30039,6504.3,Diesel,Tarde,Norte,81.5,0.76,111.2,24,2,-12.4,258497,FW-DD5C3,1
EQP-30040,231.2,Diesel,Manha,Oeste,88.4,0.84,121.5,105,0,36.24,730066,FW-A0592,1
EQP-30041,9325.0,Diesel,Tarde,Norte,49.7,3.34,106.8,257,0,-34.97,257118,FW-66604,0
EQP-30042,2422.8,Diesel,Manha,Norte,85.6,5.27,103.7,43,1,-18.2,307709,FW-CB8D1,1
EQP-30043,12674.6,diesel,Manha,Sul,64.3,19.24,129.1,46,0,-38.55,425698,FW-E5506,1
EQP-30044,10504.4,Diesel,Tarde,Leste,53.8,0.96,105.0,47,0,-8.3,429303,FW-57778,0
EQP-30045,3494.4,Diesel,Tarde,Leste,58.0,,102.8,94,2,6.19,600102,FW-8A4BF,1
EQP-30046,126.5, DIESEL ,Manha,Norte,59.3,5.83,94.6,320,0,-39.4,623479,FW-96738,1
EQP-30047,10636.8,Eletrico,Tarde,Oeste,100.2,11.04,94.0,349,2,12.38,996716,FW-5FEFE,1
EQP-30048,11676.8,Hibrido,Noite,Norte,70.2,1.54,88.0,215,2,-15.7,956956,FW-7C935,1
EQP-30049,14938.5, DIESEL ,Manha,Norte,65.9,10.01,97.0,208,1,-9.9,419132,FW-A6A0A,1
EQP-30050,12430.2, DIESEL ,Tarde,Leste,94.5,8.15,119.6,207,2,-49.17,127900,FW-2EBF0,1
EQP-30051,10927.3,Diesel,Tarde,Norte,107.6,0.53,103.8,45,1,12.19,392047,FW-4A139,1
EQP-30052,3217.9,Diesel,Manha,Oeste,92.0,1.2,62.5,276,0,-29.23,245788,FW-61F07,1
EQP-30053,7804.3,Eletrico,Tarde,Sul,105.3,8.98,125.3,266,0,41.31,154465,FW-35309,1
EQP-30054,14082.6,Diesel,Noite,Oeste,77.6,1.86,89.8,140,1,-8.07,168554,FW-CAC6D,1
EQP-30055,6672.5,Diesel,Manha,Norte,69.1,4.38,123.2,240,0,-47.02,752602,FW-50665,0
EQP-30056,7447.7,Eletrico,Manha,Norte,70.6,1.44,113.7,81,2,-22.08,231474,FW-6C491,1
EQP-30057,11865.0,Diesel,Manha,Sul,74.7,7.64,108.3,143,0,24.56,643989,FW-C5BB5,1
EQP-30058,6715.7,Hibrido,Tarde,Sul,42.3,3.41,109.8,215,1,21.4,964682,FW-EFCEE,1
EQP-30059,12881.6,Diesel,Tarde,Sul,111.2,13.5,88.8,54,1,-1.58,267640,FW-508DF,1
EQP-30060,7892.9,Eletrico,Tarde,Leste,87.8,6.05,115.5,150,0,2.56,248694,FW-A7CE9,1
EQP-30061,3376.0,Eletrico,Manha,Oeste,56.6,8.09,97.4,28,0,-23.79,762477,FW-7586B,1
EQP-30062,7974.9,Eletrico,Noite,Leste,84.2,1.14,98.0,362,1,-0.17,942396,FW-F2C0D,1
EQP-30063,1935.6,Diesel,Noite,Leste,74.2,13.18,95.4,193,2,0.63,779342,FW-74745,1
EQP-30064,12861.4,Hibrido,Tarde,Norte,66.7,3.06,128.1,312,1,-13.75,163280,FW-2BED5,1
EQP-30065,13294.0,Eletrico,Manha,Leste,70.0,9.08,106.6,295,0,-33.19,828094,FW-AE8D4,1
EQP-30066,1133.7,Eletrico,Manha,Leste,83.5,2.9,82.8,190,2,-8.37,291753,FW-3ACB9,1
EQP-30067,10132.0,Diesel,Noite,Oeste,67.9,4.13,75.4,214,1,7.55,551445,FW-59A31,1
EQP-30068,3917.5,Eletrico,Tarde,Oeste,102.4,0.9,85.6,70,1,9.49,739857,FW-7359C,1
EQP-30069,13845.7,Diesel,Noite,Oeste,110.9,12.0,96.1,226,1,21.35,580454,FW-41940,1
EQP-30070,9883.6,Eletrico,Tarde,Sul,92.0,10.02,113.7,204,0,87.47,172273,FW-6C652,1
EQP-30071,3698.7,Diesel,Tarde,Sul,68.2,2.57,88.4,240,2,8.02,672647,FW-4EF41,1
EQP-30072,2873.5, DIESEL ,Manha,Sul,66.0,9.24,93.9,135,1,3.62,727169,FW-3EB12,1
EQP-30073,7746.6,Diesel,Tarde,Oeste,65.9,4.72,86.9,157,1,-44.97,363335,FW-729C1,1
EQP-30074,1457.4,Eletrico,Tarde,Norte,49.4,2.24,112.0,2,1,-8.24,973712,FW-3B58A,0
EQP-30075,10770.0,Eletrico,Tarde,Norte,75.5,2.8,91.6,130,1,-9.83,985253,FW-E98DD,1
EQP-30076,11357.9,Diesel,Manha,Norte,86.6,9.92,115.1,209,0,-12.39,136407,FW-A4E5D,1
EQP-30077,2179.8,Diesel,Noite,Leste,100.8,2.64,139.0,343,1,-15.57,482553,FW-CCB3A,1
EQP-30078,6405.5, DIESEL ,Noite,Sul,77.4,12.87,116.3,182,1,-2.0,852446,FW-192F2,1
EQP-30079,10973.9,Diesel,Manha,Norte,49.7,2.66,115.2,15,0,-47.45,637252,FW-3641A,0
EQP-30080,14469.3,Eletrico,Tarde,Oeste,89.4,9.86,122.7,134,0,11.94,357269,FW-5CC7B,1
EQP-30081,7364.4,Eletrico,Tarde,Norte,75.6,2.05,78.1,271,0,32.32,681469,FW-D7218,1
EQP-30082,312.5,Diesel,Manha,Leste,101.0,7.53,56.9,344,0,-34.93,668205,FW-ECC75,1
EQP-30083,13146.8, DIESEL ,Tarde,Oeste,80.2,1.81,110.3,152,0,-13.19,695312,FW-4EA8F,1
EQP-30084,6698.2,Hibrido,Manha,Leste,49.3,2.64,105.5,268,2,-15.52,602946,FW-38BB3,1
EQP-30085,13554.2,Diesel,Manha,Oeste,45.2,4.76,124.0,204,0,3.77,522967,FW-464FE,1
EQP-30086,6529.8,Eletrico,Manha,Oeste,95.1,1.02,81.8,102,1,0.24,779185,FW-23F6E,0
EQP-30087,12639.5,Gas_Natural,Manha,Sul,31.7,5.97,108.0,13,2,-30.76,792323,FW-BCDC5,0
EQP-30088,8132.8,Eletrico,Noite,Oeste,68.7,9.69,80.5,231,0,-43.31,513410,FW-C8217,1
EQP-30089,5764.4,Eletrico,Manha,Leste,77.0,5.19,79.7,337,0,17.16,585556,FW-7D1B6,1
EQP-30090,6384.4,Eletrico,Manha,Norte,92.5,2.31,87.0,16,1,-10.69,827071,FW-EE275,1
EQP-30091,8687.3,Eletrico,Noite,Norte,51.8,,103.6,93,1,-19.6,491513,FW-324DC,0
EQP-30092,13004.0,Eletrico,Manha,Oeste,102.0,1.84,107.2,80,2,18.13,481057,FW-F14C2,1
EQP-30093,8198.4,Diesel,Tarde,Norte,90.5,1.0,125.9,148,1,-9.35,902268,FW-E6877,1
EQP-30094,2574.6,Gas_Natural,Manha,Norte,79.0,11.73,99.8,325,1,2.14,518412,FW-B0E89,1
EQP-30095,787.9,Eletrico,Noite,Leste,92.8,14.92,123.7,289,3,-36.96,420959,FW-24993,1
EQP-30096,1916.9,Diesel,Tarde,Norte,80.9,1.38,111.9,148,1,-4.87,829360,FW-7E1A3,0
EQP-30097,5575.4,Eletrico,Tarde,Norte,56.2,6.18,120.5,334,0,5.84,377098,FW-46624,1
EQP-30098,6106.7,Hibrido,Tarde,Leste,91.9,11.71,93.2,32,1,-28.26,108338,FW-D97E4,1
EQP-30099,1548.0,Hibrido,Tarde,Norte,81.8,,86.9,355,1,-54.96,698729,FW-809F0,1
EQP-30100,5502.9,Diesel,Manha,Leste,72.7,3.73,116.5,268,1,-50.39,125183,FW-7A681,0
EQP-30101,7959.0,Diesel,Tarde,Sul,93.5,2.7,109.6,222,2,-8.39,863039,FW-CF4A7,1
EQP-30102,10436.1,Diesel,Noite,Sul,56.5,1.65,87.1,195,1,-26.02,504318,FW-2A8B6,0
EQP-30103,4267.0,diesel,Tarde,Sul,71.6,1.25,118.4,42,1,8.1,303502,FW-518A2,1
EQP-30104,1688.5,Diesel,Tarde,Sul,82.1,2.48,117.4,166,0,-30.13,676803,FW-9DF9B,0
EQP-30105,7012.1,Hibrido,Manha,Sul,88.2,5.55,100.4,72,2,38.5,863307,FW-3EA20,1
EQP-30106,2393.3,Diesel,Manha,Leste,69.2,,89.3,101,1,-35.66,372175,FW-8C6F2,0
EQP-30107,,Gas_Natural,Noite,Sul,71.7,4.13,83.6,335,1,-35.8,337535,FW-72064,1
EQP-30108,,Diesel,Manha,Oeste,101.1,1.54,130.8,348,2,14.26,833185,FW-BDD5E,1
EQP-30109,11070.9, DIESEL ,Noite,Sul,78.4,4.86,103.3,312,0,-6.16,952148,FW-BE895,1
EQP-30110,230.4,Hibrido,Noite,Leste,78.5,10.37,106.5,57,0,-19.78,553634,FW-CE4E2,1
EQP-30111,12368.7,Eletrico,Noite,Norte,67.6,4.13,108.1,342,1,-14.71,557728,FW-56890,1
EQP-30112,,Eletrico,Manha,Leste,47.4,,102.0,307,1,20.1,334449,FW-4BBFE,0
EQP-30113,6975.7, DIESEL ,Tarde,Oeste,68.9,0.59,101.2,298,2,-10.24,242810,FW-81D79,1
EQP-30114,5085.7,Hibrido,Manha,Sul,37.2,1.23,110.4,287,1,37.3,682073,FW-B901A,0
EQP-30115,2123.6,Hibrido,Manha,Oeste,92.1,7.29,104.8,48,2,-71.54,270307,FW-95977,1
EQP-30116,6031.6,diesel,Tarde,Norte,80.7,1.77,103.4,3,1,13.91,665514,FW-EF449,0
EQP-30117,5048.2,Eletrico,Tarde,Sul,65.2,3.91,99.0,180,1,12.06,834540,FW-9AD57,1
EQP-30118,11322.3, DIESEL ,Manha,Norte,54.0,8.29,109.4,104,1,-15.4,764020,FW-F0AC7,1
EQP-30119,13918.9,Diesel,Tarde,Norte,78.6,6.18,123.6,28,1,29.0,524597,FW-2B932,1
EQP-30120,11468.3,Eletrico,Noite,Leste,100.6,0.62,132.8,12,0,-30.62,334177,FW-AD794,1
EQP-30121,13896.1, DIESEL ,Tarde,Sul,58.9,1.86,99.7,285,0,115.86,826802,FW-7243B,1
EQP-30122,14516.0,Eletrico,Tarde,Leste,65.7,6.03,108.4,29,0,65.59,151021,FW-7320B,1
EQP-30123,7012.4, DIESEL ,Noite,Sul,80.5,8.29,90.0,14,1,1.74,948801,FW-93D6A,1
EQP-30124,5498.2,diesel,Manha,Oeste,62.5,0.6,105.8,249,1,36.3,429748,FW-2FED5,1
EQP-30125,6122.5, DIESEL ,Manha,Norte,85.0,2.17,88.9,60,2,28.86,989850,FW-7DCB6,1
EQP-30126,10436.1, DIESEL ,Manha,Norte,90.0,5.63,101.1,355,1,34.64,233177,FW-E42BB,1
EQP-30127,10618.6,Diesel,Manha,Leste,70.8,4.26,117.4,319,4,-28.63,682178,FW-35D1C,1
EQP-30128,14893.2, DIESEL ,Manha,Norte,84.8,7.78,66.9,297,0,-14.68,495296,FW-94AF7,1
EQP-30129,974.2,Eletrico,Manha,Sul,95.7,0.79,111.4,298,0,20.98,951739,FW-E4C6D,0
EQP-30130,,Gas_Natural,Manha,Norte,40.1,3.08,124.5,282,1,2.11,740822,FW-EDF62,1
EQP-30131,13285.4, DIESEL ,Manha,Sul,116.5,3.67,92.6,266,2,-40.11,594785,FW-9A9FE,1
EQP-30132,6969.5,Hibrido,Manha,Oeste,86.1,0.73,80.6,146,1,-20.34,573140,FW-6C1F7,1
EQP-30133,5485.0,Hibrido,Tarde,Sul,72.8,1.24,116.7,171,0,-13.38,130924,FW-D002B,1
EQP-30134,588.7,Diesel,Manha,Oeste,69.3,2.86,107.7,205,3,-34.43,839017,FW-CC02F,1
EQP-30135,11062.7,Eletrico,Manha,Sul,83.0,,84.8,122,0,-42.02,178608,FW-73C5D,0
EQP-30136,,Eletrico,Tarde,Sul,78.2,1.12,116.8,194,0,-13.37,533509,FW-A7826,0
EQP-30137,8372.4,Hibrido,Tarde,Norte,76.6,1.39,90.5,18,0,-10.38,478297,FW-188C0,0
EQP-30138,6218.9,Eletrico,Manha,Leste,95.1,1.04,110.3,272,1,-26.95,487815,FW-43E3E,1
EQP-30139,14334.2,diesel,Tarde,Sul,81.4,5.22,113.2,302,1,-102.5,290844,FW-CB110,1
EQP-30140,2264.6,Eletrico,Manha,Sul,77.1,1.5,116.2,237,1,20.75,832527,FW-46639,1
EQP-30141,5992.4, DIESEL ,Noite,Leste,84.4,21.72,102.5,63,0,-15.43,981659,FW-5A914,1
EQP-30142,2938.0,Eletrico,Tarde,Norte,61.7,7.2,73.5,161,2,33.56,445928,FW-7F04A,0
EQP-30143,4456.9, DIESEL ,Manha,Oeste,99.7,2.03,83.9,292,0,10.65,274211,FW-E10E3,1
EQP-30144,4706.7,Diesel,Noite,Leste,59.2,5.32,93.5,187,1,-30.74,315193,FW-4B478,1
EQP-30145,6336.5,Eletrico,Manha,Sul,68.8,3.76,85.5,232,1,20.2,140927,FW-557AD,1
EQP-30146,2714.0,Eletrico,Noite,Leste,76.8,,122.2,82,0,19.72,912532,FW-BC32B,1
EQP-30147,3107.7,Diesel,Tarde,Oeste,70.7,2.98,96.4,185,1,16.9,793410,FW-CC989,0
EQP-30148,7196.7,Hibrido,Tarde,Leste,74.5,1.27,92.4,348,1,79.45,508565,FW-3F3A4,1
EQP-30149,12327.9,Diesel,Manha,Leste,80.7,10.01,99.6,97,0,-22.88,920398,FW-6EE70,1
EQP-30150,7830.6,Gas_Natural,Tarde,Leste,83.7,2.38,66.4,284,1,-17.47,234975,FW-3D1E2,1
EQP-30151,2271.1,Diesel,Manha,Oeste,60.3,2.19,101.4,273,4,40.82,460939,FW-30CF8,1
EQP-30152,13933.6,Gas_Natural,Tarde,Sul,46.1,12.61,88.2,350,0,54.49,843948,FW-B7435,1
EQP-30153,12620.3,Hibrido,Manha,Leste,96.5,2.54,79.7,228,0,18.29,528204,FW-1F6B1,1
EQP-30154,362.4,Diesel,Manha,Leste,62.0,1.41,89.4,57,1,50.72,251670,FW-A3A45,1
EQP-30155,11079.5,Eletrico,Noite,Oeste,74.8,2.67,123.1,205,0,-40.89,318816,FW-64370,1
EQP-30156,3393.5,Gas_Natural,Manha,Sul,82.4,2.99,109.7,171,1,0.23,377891,FW-5CAB6,1
EQP-30157,162.7,Eletrico,Noite,Oeste,57.3,2.8,89.8,244,2,-14.54,113202,FW-B3E93,0
EQP-30158,3100.8,Diesel,Tarde,Sul,38.4,3.74,89.3,153,0,3.9,112242,FW-A6C7C,0
EQP-30159,2139.4, DIESEL ,Tarde,Norte,102.3,2.26,108.8,136,2,2.91,803316,FW-E1EB0,1
EQP-30160,6547.0,Diesel,Manha,Leste,78.7,0.6,105.7,317,0,-45.18,540727,FW-6FDBA,0
EQP-30161,5991.0,Gas_Natural,Tarde,Norte,69.3,,95.8,123,0,28.38,734405,FW-1C74B,1
EQP-30162,2411.9,Eletrico,Tarde,Norte,73.4,6.07,106.7,335,2,4.28,211194,FW-19788,1
EQP-30163,7630.5,Gas_Natural,Noite,Norte,80.6,1.93,120.3,154,1,4.3,605186,FW-75377,1
EQP-30164,4438.3,Hibrido,Tarde,Oeste,45.1,3.09,108.2,230,0,-27.92,167846,FW-337B1,0
EQP-30165,7258.4,diesel,Tarde,Norte,57.7,15.83,52.2,53,0,-8.35,549066,FW-46D8C,1
EQP-30166,13684.7,Eletrico,Manha,Oeste,88.2,0.87,96.2,29,2,34.42,535665,FW-B8A15,1
EQP-30167,3689.2,Diesel,Manha,Oeste,68.6,,113.7,159,3,14.6,568050,FW-45D9D,1
EQP-30168,2266.5,Eletrico,Manha,Sul,91.2,5.15,120.1,352,1,-18.27,302449,FW-745C3,1
EQP-30169,2549.5, DIESEL ,Manha,Leste,49.1,22.93,110.4,243,0,-35.74,974143,FW-DF331,1
EQP-30170,2739.0,Diesel,Noite,Norte,78.5,9.65,109.7,212,0,-34.99,736556,FW-D6842,1
EQP-30171,3238.0,Eletrico,Manha,Norte,99.2,6.25,90.4,172,1,-7.5,672584,FW-E7DC2,1
EQP-30172,14412.6,Eletrico,Tarde,Norte,57.2,7.57,101.9,260,0,25.2,261788,FW-ACC9B,1
EQP-30173,11715.2,diesel,Manha,Oeste,48.6,3.54,110.0,303,1,31.92,178205,FW-7CC85,1
EQP-30174,943.0, DIESEL ,Manha,Oeste,76.8,3.02,119.0,220,2,-76.19,227383,FW-4515F,1
EQP-30175,1751.1,Diesel,Tarde,Oeste,70.9,14.46,112.5,266,0,-7.21,964525,FW-51C17,1
EQP-30176,8125.6,Diesel,Noite,Norte,97.9,9.83,65.7,239,0,-34.93,303955,FW-A7F3A,1
EQP-30177,431.8,Eletrico,Manha,Norte,77.1,15.24,87.9,358,1,-16.34,689548,FW-97B64,1
EQP-30178,14807.3,Diesel,Tarde,Norte,95.9,,89.5,16,1,-16.84,853249,FW-A8A76,1
EQP-30179,1088.0,Diesel,Tarde,Oeste,89.8,4.89,114.2,282,0,-18.66,492005,FW-A831F,1
EQP-30180,14280.7, DIESEL ,Manha,Norte,79.5,2.12,114.5,270,1,20.39,900067,FW-478B3,1
EQP-30181,6974.2,Eletrico,Manha,Norte,101.4,2.67,81.5,67,1,46.85,108130,FW-F2857,1
EQP-30182,4666.4,Eletrico,Noite,Sul,105.5,2.27,88.0,52,0,3.23,685160,FW-6489B,1
EQP-30183,2021.7,Hibrido,Manha,Norte,66.3,17.23,123.8,208,1,-6.11,734534,FW-403E2,1
EQP-30184,7896.0,Gas_Natural,Manha,Norte,50.2,7.29,102.7,181,3,13.52,298776,FW-B2BC9,1
EQP-30185,10998.1, DIESEL ,Manha,Norte,82.4,4.62,83.5,330,0,-56.16,975239,FW-594D3,1
EQP-30186,4873.6,Diesel,Manha,Leste,53.1,1.96,97.2,204,3,-26.56,258294,FW-CA538,1
EQP-30187,7851.9, DIESEL ,Tarde,Oeste,117.9,4.44,104.7,110,0,23.43,908143,FW-DC793,1
EQP-30188,1865.4,Eletrico,Noite,Norte,34.0,4.04,101.3,14,0,4.13,998111,FW-F3B2D,0
EQP-30189,3211.6,Hibrido,Noite,Oeste,78.5,3.67,106.6,347,2,-48.18,131456,FW-8709A,1
EQP-30190,14955.6,Diesel,Manha,Leste,83.9,4.17,103.7,200,0,55.99,919323,FW-341E5,1
EQP-30191,10351.1,Diesel,Manha,Leste,99.6,5.36,84.1,265,2,17.89,544887,FW-C2533,1
EQP-30192,1712.8,Hibrido,Noite,Oeste,95.8,2.44,83.8,54,2,44.65,735739,FW-BDFF6,1
EQP-30193,9695.8,Gas_Natural,Noite,Norte,82.9,4.31,102.6,111,1,-30.37,996592,FW-29D34,1
EQP-30194,816.1,diesel,Noite,Norte,73.1,,120.8,336,0,-7.19,792811,FW-D5DD3,1
EQP-30195,726.7,Diesel,Tarde,Norte,62.8,,97.8,75,0,-4.24,301305,FW-DB082,0
EQP-30196,6095.4, DIESEL ,Manha,Leste,77.8,7.16,89.9,208,3,-11.17,101249,FW-63A97,1
EQP-30197,,Eletrico,Noite,Norte,46.4,1.72,95.4,102,1,-28.75,927522,FW-D5711,0
EQP-30198,7390.9,Diesel,Manha,Norte,78.7,3.38,95.9,32,1,22.11,792972,FW-73FAB,0
EQP-30199,1111.5,Hibrido,Tarde,Norte,77.7,0.51,91.5,253,1,-46.1,301532,FW-985CE,1
EQP-30200,10803.4,diesel,Noite,Sul,95.8,0.96,80.6,341,2,5.68,988389,FW-3C272,1
EQP-30201,2927.3,Eletrico,Manha,Oeste,110.4,0.76,115.3,295,1,52.84,797155,FW-C74EF,1
EQP-30202,11703.0,diesel,Noite,Oeste,95.9,1.59,126.5,264,2,-60.57,990883,FW-D0ED7,1
EQP-30203,8520.8,Hibrido,Tarde,Norte,53.1,1.92,84.2,222,1,-21.75,589614,FW-1C363,0
EQP-30204,7641.2,Diesel,Tarde,Norte,88.6,1.25,73.8,237,2,-41.84,260767,FW-A92FD,1
EQP-30205,5282.4,Diesel,Tarde,Leste,57.7,2.0,107.2,338,0,-25.58,902574,FW-D697B,0
EQP-30206,3683.7, DIESEL ,Noite,Oeste,104.2,5.29,100.6,23,1,-45.27,132998,FW-477F3,0
EQP-30207,2200.9, DIESEL ,Tarde,Leste,59.8,5.09,75.3,78,1,-24.76,146000,FW-5C1E0,0
EQP-30208,11545.8,Eletrico,Noite,Norte,97.5,7.41,121.3,207,0,3.99,518825,FW-B71C6,1
EQP-30209,13147.2, DIESEL ,Manha,Norte,60.6,4.68,80.8,275,1,-62.16,281558,FW-7E3FA,1
EQP-30210,11583.1,Eletrico,Tarde,Oeste,77.5,1.1,122.0,25,0,15.85,867263,FW-F0B25,1
EQP-30211,14271.1,Gas_Natural,Manha,Norte,50.4,10.75,81.0,179,1,-64.41,862391,FW-9EFE5,1
EQP-30212,1532.8,Eletrico,Tarde,Leste,70.4,12.45,90.2,121,0,-49.88,684132,FW-E1B49,1
EQP-30213,3427.7,Diesel,Manha,Norte,87.7,2.38,68.4,321,0,-35.86,901465,FW-CDCBD,1
EQP-30214,9650.5,Eletrico,Tarde,Leste,70.7,4.35,89.4,309,2,-17.94,709184,FW-19485,1
EQP-30215,7153.5,Diesel,Noite,Norte,100.6,1.54,102.4,295,0,-53.67,462275,FW-C556F,0
EQP-30216,7747.7,Eletrico,Tarde,Leste,35.8,4.07,107.5,215,1,19.64,243757,FW-5F235,1
EQP-30217,3756.6,Hibrido,Manha,Sul,88.3,5.39,116.0,298,0,0.44,600873,FW-DFBF5,1
EQP-30218,659.9,Eletrico,Manha,Leste,51.3,15.55,82.8,118,0,-16.2,383923,FW-9917F,1
EQP-30219,2906.0,Diesel,Tarde,Norte,99.1,1.29,92.2,341,0,3.49,335027,FW-E1356,1
EQP-30220,9474.1,Eletrico,Noite,Leste,96.3,3.45,106.5,300,0,0.26,465633,FW-2DE5E,1
EQP-30221,3985.9,Eletrico,Manha,Leste,82.2,3.39,108.6,131,3,23.0,457628,FW-21FB7,1
EQP-30222,2573.5,Diesel,Tarde,Sul,89.1,1.87,100.2,32,0,53.79,769254,FW-EDE55,0
EQP-30223,8754.9,Eletrico,Tarde,Sul,72.4,2.9,98.8,178,2,-54.68,572801,FW-C82E1,1
EQP-30224,4028.9, DIESEL ,Tarde,Sul,84.2,2.97,121.6,134,0,0.53,542664,FW-A655B,1
EQP-30225,195.9,Diesel,Manha,Sul,83.1,21.01,92.3,62,0,23.23,148208,FW-A545C,1
EQP-30226,757.7,Diesel,Manha,Leste,64.1,3.17,89.5,247,1,8.57,682803,FW-A6740,1
EQP-30227,6185.6, DIESEL ,Manha,Sul,64.3,1.11,83.9,253,0,21.04,394740,FW-37BA8,1
EQP-30228,10219.2,Eletrico,Manha,Oeste,86.2,5.17,107.8,5,1,33.47,697007,FW-F1EDF,1
EQP-30229,13893.6,diesel,Noite,Sul,68.5,6.01,104.6,282,0,26.47,188615,FW-6C142,0
EQP-30230,4294.6,Eletrico,Tarde,Norte,79.4,2.17,76.6,326,0,-3.34,626472,FW-79387,0
