Production_Line,Product,Energy_Consumption,Machine_Efficiency,Downtime,Maintenance_Cost,Production_Count,Defect_Rate,Revenue
Linha_Delta,Conector_C3,310.41,93.4,0.7,286.0,1964,1.89,34326.5
Linha_Delta,Conector_C3,415.66,96.2,35.1,1782.36,2470,7.8,76608.09
Linha_Gamma,Painel_B2,308.87,78.3,11.2,688.45,1280,1.24,28260.57
Linha_Alpha,Módulo_D4,372.51,82.9,20.0,1103.72,1395,6.27,25640.9
Linha_Alpha,Sensor_A1,390.16,80.5,27.3,1412.33,1419,1.62,29194.66
Linha_Gamma,Módulo_D4,215.27,72.1,44.8,2227.21,2174,3.62,68064.5
Linha_Beta,Painel_B2,391.0,89.9,30.5,1612.12,1063,3.79,16410.02
Linha_Alpha,Sensor_A1,412.31,94.3,9.9,645.26,2052,1.77,56865.24
Linha_Alpha,Painel_B2,399.31,79.0,6.1,477.2,2200,7.88,41447.84
Linha_Gamma,Módulo_D4,442.4,99.2,2.5,336.43,512,0.52,11531.89
Linha_Beta,Conector_C3,393.43,72.2,7.7,582.12,2225,7.65,45525.73
Linha_Beta,Painel_B2,325.83,89.5,6.8,492.42,1486,7.57,61160.63
Linha_Delta,Painel_B2,405.76,83.2,12.3,758.67,839,3.04,29646.98
Linha_Delta,Conector_C3,323.27,83.2,16.4,962.07,1364,6.13,55035.42
Linha_Gamma,Módulo_D4,353.71,83.5,57.5,2797.4,2397,2.52,60732.41
Linha_Beta,Painel_B2,387.43,77.6,19.6,1026.14,2387,6.57,57222.39
Linha_Gamma,Módulo_D4,370.16,91.1,15.5,926.98,2299,4.99,59807.12
Linha_Delta,Conector_C3,410.8,91.3,6.1,490.19,811,2.9,12126.09
Linha_Gamma,Sensor_A1,461.99,78.3,0.5,240.32,1232,3.7,45024.75
Linha_Gamma,Painel_B2,298.82,94.6,5.1,393.74,1627,6.02,41083.65
Linha_Alpha,Módulo_D4,335.22,79.3,21.9,1190.07,838,7.75,19256.89
Linha_Alpha,Conector_C3,364.24,91.4,3.4,378.3,1721,1.55,56318.72
Linha_Alpha,Conector_C3,329.16,73.6,18.7,1015.08,799,5.07,21426.83
Linha_Delta,Painel_B2,346.59,75.0,13.0,766.38,1967,2.53,86618.19
Linha_Gamma,Sensor_A1,384.91,79.3,2.8,351.81,858,6.91,21688.14
Linha_Alpha,Painel_B2,378.93,87.5,4.5,382.49,1891,1.06,62808.82
Linha_Alpha,Módulo_D4,361.13,89.0,10.3,657.24,668,6.01,15608.25
Linha_Alpha,Conector_C3,356.65,81.7,8.1,533.46,1672,1.9,74234.78
Linha_Delta,Sensor_A1,339.93,72.3,22.6,1271.6,1260,5.27,34453.6
Linha_Delta,Módulo_D4,413.2,81.0,19.9,1111.12,1267,7.19,41997.12
Linha_Gamma,Painel_B2,424.85,90.3,12.8,768.34,1481,6.54,27076.9
Linha_Gamma,Conector_C3,395.85,89.8,25.9,1352.23,541,6.52,18659.75
Linha_Gamma,Painel_B2,298.28,74.7,12.4,721.15,701,4.64,15455.34
Linha_Alpha,Sensor_A1,338.2,70.2,50.0,2446.7,1469,7.63,39358.69
Linha_Beta,Sensor_A1,358.98,92.2,3.7,386.45,1767,5.2,72933.43
Linha_Delta,Sensor_A1,307.67,73.1,18.8,1021.71,2192,7.84,95681.82
Linha_Alpha,Sensor_A1,353.56,72.4,6.9,513.67,963,4.87,26197.22
Linha_Alpha,Sensor_A1,351.0,70.1,4.9,409.48,948,4.55,37552.31
Linha_Gamma,Painel_B2,398.79,82.8,3.0,376.4,1412,2.28,23063.46
Linha_Gamma,Sensor_A1,327.58,84.8,12.1,725.4,1297,4.86,51708.71
Linha_Alpha,Sensor_A1,402.35,88.8,3.6,385.31,1293,1.62,43428.4
Linha_Delta,Conector_C3,306.92,78.7,3.4,394.82,936,7.46,27368.05
Linha_Delta,Sensor_A1,313.2,91.0,69.9,3334.19,2416,5.91,97410.38
Linha_Alpha,Conector_C3,332.93,75.0,24.3,1275.84,2273,8.45,90462.71
Linha_Beta,Conector_C3,352.15,94.5,20.7,1159.18,1030,1.24,23466.42
Linha_Beta,Conector_C3,241.26,86.9,23.7,1213.06,1064,2.43,40011.25
Linha_Delta,Painel_B2,370.67,87.2,52.1,2557.42,2120,7.52,35570.2
Linha_Gamma,Painel_B2,426.92,76.2,12.8,728.74,1796,3.66,70541.78
Linha_Beta,Módulo_D4,379.31,72.2,3.7,403.17,1953,4.23,68466.77
Linha_Beta,Módulo_D4,340.52,83.7,29.7,1528.94,1371,7.39,22650.0
Linha_Gamma,Conector_C3,301.19,88.2,20.4,1115.28,712,4.67,24155.31
Linha_Beta,Painel_B2,268.41,72.8,8.0,538.27,1448,2.05,46399.49
Linha_Alpha,Sensor_A1,276.06,98.0,9.6,584.52,2396,7.64,78091.74
Linha_Beta,Módulo_D4,344.11,98.9,7.9,593.48,1627,0.75,38008.59
Linha_Gamma,Painel_B2,444.81,86.1,39.9,1990.37,691,7.66,13899.12
Linha_Alpha,Sensor_A1,227.73,98.0,6.3,579.76,2464,0.9,92746.84
Linha_Beta,Sensor_A1,381.51,75.3,49.7,2412.19,2212,5.83,47809.95
Linha_Delta,Painel_B2,319.5,70.7,36.2,1809.6,2182,1.07,60132.73
Linha_Alpha,Módulo_D4,334.9,71.2,14.9,843.58,1903,6.15,67366.92
Linha_Alpha,Painel_B2,307.8,87.3,13.0,779.72,2490,0.77,42517.61
Linha_Delta,Módulo_D4,288.47,71.8,6.9,557.76,1604,7.24,52111.91
Linha_Delta,Conector_C3,355.65,98.3,0.3,243.8,1204,4.23,39104.47
Linha_Beta,Painel_B2,361.83,74.2,2.0,244.86,1048,1.25,36987.29
Linha_Beta,Painel_B2,380.08,79.0,21.1,1185.62,1900,6.15,48400.28
Linha_Gamma,Módulo_D4,274.16,94.3,9.6,652.48,2361,4.41,66563.76
Linha_Gamma,Módulo_D4,389.33,76.5,2.4,322.44,653,2.03,15936.66
Linha_Alpha,Painel_B2,390.13,77.2,4.6,386.47,2165,0.63,84579.06
Linha_Delta,Sensor_A1,369.1,88.9,44.3,2175.2,1070,3.84,18067.41
Linha_Delta,Sensor_A1,331.06,78.1,6.9,514.61,2259,1.19,98629.78
Linha_Gamma,Sensor_A1,363.88,76.4,35.7,1789.91,2284,1.25,75969.06
Linha_Alpha,Conector_C3,342.78,77.5,5.4,482.38,739,2.64,30265.34
Linha_Alpha,Conector_C3,393.58,84.5,11.8,713.12,873,5.54,23544.88
Linha_Gamma,Módulo_D4,333.51,98.5,0.3,155.1,2424,4.74,60368.23
Linha_Gamma,Conector_C3,354.86,94.6,11.1,660.46,1304,1.05,54135.93
Linha_Gamma,Sensor_A1,271.78,78.4,15.2,846.86,1298,8.25,22473.26
Linha_Beta,Painel_B2,363.74,80.7,4.0,372.1,1727,7.6,31600.23
Linha_Alpha,Conector_C3,316.27,83.7,13.0,791.48,1110,2.57,25826.77
Linha_Alpha,Conector_C3,373.06,98.9,15.6,903.61,1873,1.48,81121.15
Linha_Alpha,Sensor_A1,385.48,75.1,17.4,996.83,1187,8.04,39351.74
Linha_Gamma,Conector_C3,322.55,80.5,22.5,1204.93,1273,4.19,39054.73
Linha_Gamma,Módulo_D4,351.4,91.5,5.6,445.49,2306,2.99,82941.06
Linha_Gamma,Painel_B2,357.85,98.4,12.6,819.56,642,4.42,16851.0
Linha_Gamma,Sensor_A1,366.56,74.6,59.9,2931.66,1712,6.68,61683.0
Linha_Delta,Módulo_D4,385.54,76.7,34.3,1755.75,771,1.85,18904.68
Linha_Gamma,Sensor_A1,379.66,76.7,45.8,2288.5,2055,6.64,79481.79
Linha_Beta,Módulo_D4,332.9,70.6,7.3,470.71,2368,6.5,54037.93
Linha_Delta,Painel_B2,421.92,87.8,23.2,1219.32,1823,4.81,41304.71
Linha_Delta,Painel_B2,383.84,89.8,14.5,839.53,925,7.43,27531.61
Linha_Gamma,Módulo_D4,413.23,87.8,1.3,234.18,545,1.56,14983.76
Linha_Alpha,Módulo_D4,365.6,72.1,26.1,1328.13,594,5.26,19131.29
Linha_Gamma,Módulo_D4,368.26,72.0,17.0,977.62,2453,4.09,62625.54
Linha_Alpha,Módulo_D4,344.73,76.2,3.3,390.07,563,3.88,11948.93
Linha_Gamma,Módulo_D4,330.03,78.6,1.2,253.62,912,2.52,26280.34
Linha_Gamma,Módulo_D4,393.89,93.2,27.2,1443.45,2166,3.48,67497.5
Linha_Alpha,Painel_B2,361.91,74.7,1.2,252.72,1532,1.37,29281.18
Linha_Alpha,Módulo_D4,344.08,71.3,1.4,249.75,958,2.51,30120.34
Linha_Alpha,Conector_C3,303.98,81.6,8.4,605.58,2238,2.68,54399.32
Linha_Alpha,Painel_B2,419.98,82.3,2.2,256.15,1932,6.27,51470.36
Linha_Beta,Sensor_A1,355.07,83.3,36.7,1795.6,969,0.89,20859.18
Linha_Alpha,Painel_B2,294.8,94.4,9.5,584.23,1309,5.71,55627.25
Linha_Gamma,Sensor_A1,353.66,72.9,12.6,792.61,1005,2.27,34884.98
Linha_Gamma,Sensor_A1,340.96,90.8,39.5,1980.12,2209,1.15,48548.12
Linha_Beta,Conector_C3,339.11,80.0,11.3,719.8,1596,2.91,54104.3
Linha_Alpha,Módulo_D4,375.93,79.1,6.5,542.81,583,2.3,23043.72
Linha_Gamma,Módulo_D4,341.02,97.5,23.9,1240.6,558,4.92,13852.69
Linha_Beta,Painel_B2,336.25,77.3,8.8,632.13,1544,3.36,60971.5
Linha_Gamma,Módulo_D4,411.31,89.0,5.8,449.11,1981,8.23,38442.77
Linha_Beta,Conector_C3,271.72,78.1,19.3,1052.05,1417,8.21,55179.39
Linha_Beta,Painel_B2,347.69,85.0,24.3,1295.94,656,4.05,19177.05
Linha_Delta,Painel_B2,391.8,93.2,23.5,1264.63,2354,6.86,49791.83
Linha_Delta,Painel_B2,378.21,96.0,57.0,2758.68,1852,0.61,47642.1
Linha_Alpha,Módulo_D4,395.9,94.7,23.2,1262.31,2096,4.88,92302.69
Linha_Delta,Módulo_D4,440.97,87.2,22.0,1192.56,1075,6.45,40202.12
Linha_Beta,Módulo_D4,426.45,77.3,29.2,1508.02,1336,2.24,41581.44
Linha_Gamma,Painel_B2,298.0,89.5,0.0,187.51,1179,0.99,21570.84
Linha_Gamma,Painel_B2,277.52,90.9,6.8,513.15,702,1.75,18815.96
Linha_Alpha,Sensor_A1,364.71,70.3,20.1,1063.8,2164,4.03,48473.5
Linha_Delta,Sensor_A1,289.06,83.0,13.7,784.27,2280,4.55,38272.2
Linha_Alpha,Módulo_D4,263.31,94.9,2.9,319.48,1629,3.55,50613.05
Linha_Beta,Painel_B2,364.23,84.4,5.4,459.35,2356,4.02,97728.3
Linha_Delta,Módulo_D4,375.52,79.2,6.2,543.29,1645,4.26,57472.56
Linha_Alpha,Módulo_D4,427.0,95.7,12.6,762.22,817,6.66,17612.45
Linha_Gamma,Sensor_A1,384.58,74.6,26.7,1348.27,1705,1.34,53565.58
Linha_Gamma,Conector_C3,436.38,76.1,40.4,1994.29,2138,6.65,90574.76
Linha_Alpha,Módulo_D4,366.0,90.3,20.8,1155.77,1839,6.01,66312.45
Linha_Alpha,Conector_C3,298.87,80.4,27.8,1421.89,2337,6.43,81972.13
Linha_Alpha,Conector_C3,387.0,91.0,9.5,588.33,2296,6.38,100538.4
Linha_Beta,Painel_B2,410.04,74.7,7.4,552.61,2148,4.26,83146.79
Linha_Beta,Painel_B2,367.6,77.4,7.5,551.45,905,2.19,16732.88
Linha_Gamma,Módulo_D4,415.27,74.6,14.4,803.82,1485,4.79,36958.32
Linha_Beta,Sensor_A1,344.45,98.1,2.0,263.15,1448,8.16,63382.56
Linha_Beta,Sensor_A1,374.57,82.0,13.0,822.34,1593,5.21,46475.68
Linha_Delta,Módulo_D4,342.16,79.9,16.4,963.59,1683,0.59,29917.98
Linha_Beta,Módulo_D4,457.06,70.4,8.7,555.58,1763,0.98,50145.03
Linha_Delta,Sensor_A1,387.86,74.5,45.9,2205.83,2046,8.44,71265.61
Linha_Beta,Conector_C3,299.75,82.4,14.1,842.56,1661,1.08,73780.27
Linha_Gamma,Módulo_D4,433.37,72.0,3.7,357.62,994,0.87,24211.24
Linha_Alpha,Conector_C3,317.01,85.1,9.8,646.45,1178,3.32,35191.38
Linha_Gamma,Módulo_D4,350.62,83.4,16.9,979.54,1770,8.25,72281.51
Linha_Beta,Módulo_D4,371.07,92.6,5.9,436.81,2389,3.05,60860.19
Linha_Alpha,Conector_C3,374.75,89.5,1.2,241.04,2066,3.78,37520.99
Linha_Alpha,Conector_C3,371.77,83.2,13.1,762.53,2047,5.57,88216.62
Linha_Alpha,Sensor_A1,299.01,76.6,44.3,2167.6,1766,0.69,50199.99
Linha_Delta,Módulo_D4,371.92,91.4,10.0,666.94,2143,7.68,63802.02
Linha_Gamma,Painel_B2,399.53,90.9,35.5,1801.82,1859,4.66,60727.51
Linha_Delta,Painel_B2,398.23,74.5,27.0,1368.11,1945,4.23,28013.25
Linha_Alpha,Módulo_D4,291.42,97.0,2.4,329.75,1334,7.39,56944.12
Linha_Gamma,Módulo_D4,320.5,71.9,18.5,1022.0,693,8.12,16887.57
Linha_Gamma,Módulo_D4,303.0,71.6,8.6,610.13,807,3.89,21104.59
Linha_Beta,Conector_C3,365.29,75.5,4.3,363.06,2168,1.88,43481.01
Linha_Delta,Painel_B2,280.18,96.8,17.4,955.23,2430,7.03,63062.02
Linha_Delta,Painel_B2,299.48,85.3,20.4,1125.55,1005,3.73,38188.35
Linha_Beta,Painel_B2,320.07,93.2,3.0,302.11,780,7.98,30117.7
Linha_Delta,Módulo_D4,269.14,76.7,36.9,1852.25,2326,8.1,98337.65
Linha_Alpha,Conector_C3,348.75,84.5,20.9,1104.2,1174,1.42,30707.54
Linha_Alpha,Módulo_D4,255.21,80.6,40.6,2015.26,2313,8.15,81857.93
Linha_Delta,Sensor_A1,371.84,94.4,5.7,455.54,1432,3.45,42815.39
Linha_Beta,Sensor_A1,332.13,70.7,42.0,2090.46,1962,5.67,74664.32
Linha_Gamma,Painel_B2,321.92,77.2,6.9,499.56,1214,0.78,43661.22
Linha_Delta,Módulo_D4,329.27,74.5,0.8,246.0,1107,7.61,28577.06
Linha_Gamma,Sensor_A1,347.28,95.3,21.6,1176.43,982,5.63,23471.98
Linha_Beta,Sensor_A1,376.68,83.8,18.2,1016.32,1746,5.65,38396.62
Linha_Gamma,Módulo_D4,409.27,81.9,13.7,797.72,2272,7.72,72577.6
Linha_Beta,Conector_C3,395.63,83.3,10.1,686.55,616,4.57,26365.27
Linha_Beta,Módulo_D4,450.43,98.7,0.5,234.09,1467,3.78,30575.85
Linha_Alpha,Módulo_D4,380.39,95.1,14.7,830.42,691,7.43,11509.16
Linha_Alpha,Conector_C3,356.31,90.8,8.1,583.97,1287,6.44,23331.09
Linha_Beta,Painel_B2,329.43,78.6,12.3,779.76,1117,8.09,42216.88
Linha_Delta,Painel_B2,330.93,74.9,8.4,575.55,1015,8.02,25310.14
Linha_Alpha,Painel_B2,374.26,97.2,50.7,2481.05,2053,3.56,42132.7
Linha_Beta,Conector_C3,305.03,82.5,13.9,763.73,806,4.08,19858.04
Linha_Gamma,Sensor_A1,360.3,78.2,20.7,1106.2,2487,2.55,84346.93
Linha_Gamma,Conector_C3,349.15,83.9,41.3,2083.81,1031,5.79,30293.32
Linha_Delta,Módulo_D4,317.24,97.1,13.4,779.52,621,3.42,22388.55
Linha_Gamma,Conector_C3,302.7,81.4,0.2,204.2,1148,6.79,28693.51
Linha_Gamma,Sensor_A1,463.61,86.6,0.5,196.74,1091,1.47,30963.16
Linha_Beta,Sensor_A1,287.15,93.7,18.2,1025.92,1677,1.43,29259.11
Linha_Gamma,Módulo_D4,346.95,82.6,4.9,432.31,1369,2.14,23103.21
Linha_Gamma,Painel_B2,405.02,76.9,13.0,797.61,2060,1.17,58669.76
Linha_Gamma,Sensor_A1,373.81,99.3,3.4,318.82,1975,5.46,47175.78
Linha_Gamma,Sensor_A1,328.69,98.2,4.7,414.7,1692,1.68,56071.06
Linha_Beta,Sensor_A1,296.35,94.9,10.5,719.8,558,1.78,8370.06
Linha_Gamma,Módulo_D4,355.84,90.3,55.7,2728.95,800,0.61,12193.44
Linha_Delta,Sensor_A1,231.22,78.7,14.4,850.8,1052,6.76,42234.62
Linha_Alpha,Painel_B2,357.64,96.9,41.3,2000.57,2073,7.0,64313.35
Linha_Delta,Módulo_D4,351.57,78.1,48.1,2357.02,1640,1.8,57276.06
Linha_Alpha,Painel_B2,398.16,93.6,3.5,406.89,2310,6.42,92591.78
Linha_Delta,Sensor_A1,298.55,97.1,5.6,491.56,2305,3.97,66157.58
Linha_Alpha,Sensor_A1,335.44,87.8,22.0,1203.84,1650,2.42,61218.65
Linha_Alpha,Painel_B2,369.66,93.7,30.2,1537.42,1928,5.47,57724.61
Linha_Alpha,Módulo_D4,359.25,93.4,11.0,696.57,898,1.93,18774.28
Linha_Alpha,Módulo_D4,289.58,75.7,74.9,3593.7,1014,6.56,21887.8
Linha_Beta,Painel_B2,320.86,89.7,0.2,237.22,1304,0.88,38505.29
Linha_Delta,Sensor_A1,413.0,72.8,5.3,447.88,2408,8.17,58563.93
Linha_Alpha,Conector_C3,361.67,85.0,14.6,882.65,997,1.08,24107.98
Linha_Delta,Painel_B2,275.11,74.8,9.5,625.74,1441,5.14,35574.75
Linha_Gamma,Painel_B2,389.75,82.3,1.9,282.41,1027,7.72,18907.29
Linha_Alpha,Painel_B2,278.03,94.6,6.9,496.73,897,0.6,15236.0
Linha_Delta,Sensor_A1,336.18,99.1,0.4,230.74,1788,4.49,29083.31
Linha_Beta,Módulo_D4,375.35,79.4,15.4,923.01,2274,3.3,40756.43
Linha_Delta,Sensor_A1,404.62,85.7,33.5,1728.75,1786,5.14,43477.08
Linha_Alpha,Painel_B2,244.79,85.1,32.4,1621.46,1921,2.3,61418.37
Linha_Gamma,Sensor_A1,382.02,98.2,18.0,975.07,2169,1.02,43802.65
Linha_Delta,Sensor_A1,388.78,84.1,9.4,656.11,2248,5.51,92951.21
Linha_Gamma,Painel_B2,324.93,90.6,10.8,691.3,2050,3.83,79774.22
Linha_Beta,Sensor_A1,354.09,97.2,2.2,305.47,935,5.48,28320.32
Linha_Delta,Conector_C3,212.66,81.0,6.3,489.29,1339,2.18,48687.22
Linha_Delta,Sensor_A1,226.34,96.6,3.1,392.05,2453,3.21,63361.07
Linha_Beta,Sensor_A1,399.88,97.1,25.8,1347.61,859,4.99,12485.15
Linha_Beta,Módulo_D4,325.75,97.5,36.9,1894.0,1652,5.24,67704.74
Linha_Beta,Módulo_D4,334.42,78.0,11.5,724.51,1363,3.48,24945.97
Linha_Alpha,Painel_B2,360.56,81.8,19.5,1029.48,1133,2.74,48185.91
Linha_Alpha,Painel_B2,333.53,95.7,1.9,260.75,1764,2.69,56463.28
Linha_Delta,Módulo_D4,329.36,80.6,14.1,816.29,2150,1.9,51142.53
Linha_Delta,Conector_C3,367.75,87.7,18.2,1051.79,2232,3.1,65608.54
Linha_Delta,Sensor_A1,282.7,73.5,9.0,641.82,1745,2.1,51793.5
Linha_Gamma,Conector_C3,402.2,71.7,4.2,399.62,713,5.57,10793.49
Linha_Beta,Conector_C3,339.64,82.2,31.5,1601.82,1415,5.05,34712.45
Linha_Delta,Módulo_D4,304.75,87.1,20.4,1090.67,1091,3.56,39490.14
Linha_Beta,Painel_B2,298.69,81.6,34.5,1786.63,2298,3.11,67847.54
Linha_Alpha,Sensor_A1,351.92,87.0,25.6,1313.46,634,2.4,12841.8
Linha_Beta,Painel_B2,336.21,85.2,69.6,3328.88,2341,4.78,55320.89
Linha_Gamma,Conector_C3,280.3,90.2,3.2,414.93,1253,7.85,50822.28
Linha_Gamma,Conector_C3,322.92,89.2,1.4,247.41,885,5.99,26980.93
Linha_Beta,Painel_B2,313.59,82.5,6.2,440.85,1826,6.46,55892.28
Linha_Gamma,Painel_B2,406.78,82.5,2.1,241.54,2305,7.18,100818.93
Linha_Gamma,Módulo_D4,355.87,74.2,11.1,771.62,1810,3.31,43802.24
Linha_Alpha,Painel_B2,420.62,85.1,15.0,885.46,2085,1.0,60384.84
Linha_Delta,Painel_B2,318.05,87.3,13.0,758.93,1712,5.48,66610.68
Linha_Gamma,Módulo_D4,336.9,84.1,4.5,396.83,1820,2.01,68339.78
Linha_Delta,Painel_B2,367.39,79.6,35.9,1795.61,2049,5.05,45278.08
Linha_Beta,Conector_C3,377.19,91.3,0.3,157.59,888,6.42,17187.48
Linha_Beta,Painel_B2,382.44,72.2,6.4,511.64,1982,6.77,70882.25
Linha_Gamma,Sensor_A1,310.05,97.0,19.0,1056.01,1243,2.91,27196.99
Linha_Beta,Conector_C3,311.31,70.6,21.8,1202.15,1784,4.6,74939.46
Linha_Alpha,Módulo_D4,334.01,98.4,8.1,564.7,1203,5.47,22144.85
Linha_Gamma,Conector_C3,416.64,83.6,0.3,217.44,1424,7.06,34740.99
Linha_Gamma,Módulo_D4,304.97,82.2,14.4,780.96,2238,6.59,36467.46
Linha_Gamma,Sensor_A1,326.29,77.6,1.0,272.24,1272,8.4,45645.89
Linha_Beta,Sensor_A1,382.84,70.3,1.7,243.85,1636,0.56,68039.32
Linha_Beta,Conector_C3,380.44,78.1,15.8,886.04,2409,4.0,81203.61
Linha_Gamma,Painel_B2,374.99,73.2,5.6,436.16,1363,2.55,58353.56
Linha_Delta,Conector_C3,353.64,89.5,6.4,426.24,1559,1.46,28968.89
Linha_Beta,Conector_C3,302.07,79.4,10.0,632.52,578,7.79,9558.79
Linha_Beta,Sensor_A1,318.92,92.6,57.7,2776.93,1798,8.48,69417.05
Linha_Gamma,Módulo_D4,400.69,76.1,50.5,2461.16,2483,1.94,98510.87
Linha_Delta,Conector_C3,384.81,96.6,8.1,513.46,1801,0.81,71402.61
Linha_Gamma,Painel_B2,289.93,85.4,4.6,434.83,1173,2.7,45275.74
Linha_Beta,Sensor_A1,389.13,73.4,5.4,454.94,811,7.18,20523.08
Linha_Gamma,Conector_C3,408.9,81.8,4.7,385.58,2052,2.85,43781.39
Linha_Gamma,Conector_C3,352.42,76.1,11.4,695.55,703,0.96,29437.93
Linha_Gamma,Painel_B2,369.18,75.9,14.0,855.14,1484,0.92,35072.51
Linha_Delta,Conector_C3,395.52,84.9,10.1,646.78,2475,3.92,66059.99
Linha_Gamma,Conector_C3,318.69,89.8,7.9,518.28,516,7.95,18050.89
Linha_Beta,Conector_C3,454.83,96.9,3.6,359.49,2237,2.79,52882.64
Linha_Gamma,Conector_C3,405.04,84.8,9.9,612.86,975,3.92,37971.7
Linha_Delta,Painel_B2,373.58,98.5,6.3,462.26,2034,1.32,34321.25
Linha_Alpha,Conector_C3,348.45,97.8,11.7,724.98,1516,4.45,57998.01
Linha_Delta,Conector_C3,372.26,95.5,16.9,992.16,709,6.07,22444.22
Linha_Gamma,Conector_C3,279.79,84.7,15.0,935.7,998,2.67,31189.73
Linha_Alpha,Sensor_A1,443.69,74.2,9.3,659.38,1925,2.87,54686.89
