Batch_ID,Plant_Location,Timestamp,Sensor_Temp,Sensor_Pressure,Vibration_RMS,Power_KW,Quality_Score,Scrap_Units,Operational_Cost_USD,Status
BATCH-2026-165,Planta_SP,2026-06-11 20:00:00,83.65,5.65,3.28,137.02,87.9,1,754.69,Operação Normal
BATCH-2026-166,Planta_SP,2026-06-12 00:00:00,75.84,7.3,3.44,126.45,85.5,2,850.13,Operação Normal
BATCH-2026-167,Planta_MG,2026-06-12 04:00:00,76.78,6.65,2.79,127.63,80.1,3,748.62,Operação Normal
BATCH-2026-168,Planta_MG,2026-06-12 08:00:00,77.14,6.12,2.67,126.34,94.4,6,841.06,Operação Normal
BATCH-2026-169,Planta_PR,2026-06-12 12:00:00,75.59,6.38,2.53,89.79,96.7,5,748.19,Operação Normal
BATCH-2026-170,Planta_PR,2026-06-12 16:00:00,82.41,5.46,2.87,121.77,87.9,3,875.1,Operação Normal
BATCH-2026-171,Planta_MG,2026-06-12 20:00:00,79.5,5.48,2.86,103.26,91.3,1,810.54,Operação Normal
BATCH-2026-172,Planta_MG,2026-06-13 00:00:00,76.78,6.56,3.0,122.57,84.6,4,858.2,Operação Normal
BATCH-2026-173,Planta_SP,2026-06-13 04:00:00,72.9,6.0,2.84,102.86,92.4,2,774.31,Operação Normal
BATCH-2026-174,Planta_SP,2026-06-13 08:00:00,79.22,5.92,2.83,102.23,80.2,6,804.99,Operação Normal
BATCH-2026-175,Planta_PR,2026-06-13 12:00:00,68.2,5.86,2.51,144.07,89.8,3,931.7,Operação Normal
BATCH-2026-176,Planta_MG,2026-06-13 16:00:00,78.93,6.08,3.37,136.04,92.9,4,858.26,Operação Normal
BATCH-2026-177,Planta_PR,2026-06-13 20:00:00,83.37,5.87,2.94,119.94,98.4,5,883.54,Operação Normal
BATCH-2026-178,Planta_SP,2026-06-14 00:00:00,78.26,4.98,2.81,122.77,87.6,2,765.71,Operação Normal
BATCH-2026-179,Planta_PR,2026-06-14 04:00:00,82.83,6.71,2.53,116.28,95.3,3,770.9,Operação Normal
BATCH-2026-180,Planta_PR,2026-06-14 08:00:00,73.08,5.94,2.23,128.55,92.0,4,914.54,Operação Normal
BATCH-2026-181,Planta_PR,2026-06-14 12:00:00,86.15,6.92,3.55,109.86,98.5,7,899.73,Operação Normal
BATCH-2026-182,Planta_SP,2026-06-14 16:00:00,82.39,5.12,3.18,134.91,88.0,3,890.4,Operação Normal
BATCH-2026-183,Planta_PR,2026-06-14 20:00:00,79.9,5.12,2.09,116.2,86.4,2,771.93,Operação Normal
BATCH-2026-184,Planta_SP,2026-06-15 00:00:00,75.61,5.86,3.28,113.7,97.7,5,787.25,Operação Normal
BATCH-2026-185,Planta_MG,2026-06-15 04:00:00,74.94,6.49,3.36,120.33,81.0,3,762.42,Operação Normal
BATCH-2026-186,Planta_PR,2026-06-15 08:00:00,77.72,5.39,2.96,111.13,82.7,6,855.19,Operação Normal
BATCH-2026-187,Planta_PR,2026-06-15 12:00:00,82.81,5.37,3.7,124.93,81.6,4,793.55,Operação Normal
BATCH-2026-188,Planta_SP,2026-06-15 16:00:00,72.74,6.19,3.01,111.94,96.9,1,671.12,Operação Normal
BATCH-2026-189,Planta_PR,2026-06-15 20:00:00,78.04,5.84,2.19,127.03,80.2,5,913.72,Operação Normal
BATCH-2026-190,Planta_SP,2026-06-16 00:00:00,80.94,6.27,3.08,138.24,97.2,0,721.59,Operação Normal
BATCH-2026-191,Planta_PR,2026-06-16 04:00:00,81.72,5.85,3.02,109.21,89.0,5,828.49,Operação Normal
BATCH-2026-192,Planta_MG,2026-06-16 08:00:00,80.92,6.19,2.6,118.04,80.1,7,902.28,Operação Normal
BATCH-2026-193,Planta_MG,2026-06-16 12:00:00,72.33,6.68,3.19,126.92,88.0,5,824.05,Operação Normal
BATCH-2026-194,Planta_MG,2026-06-16 16:00:00,82.53,5.39,2.07,113.46,83.7,3,851.77,Operação Normal
BATCH-2026-195,Planta_PR,2026-06-16 20:00:00,78.27,6.59,3.4,126.96,92.5,5,797.68,Operação Normal
BATCH-2026-196,Planta_PR,2026-06-17 00:00:00,73.66,5.15,2.46,128.33,93.6,2,794.08,Operação Normal
BATCH-2026-197,Planta_MG,2026-06-17 04:00:00,77.9,6.3,2.41,136.25,89.8,3,832.55,Operação Normal
BATCH-2026-198,Planta_MG,2026-06-17 08:00:00,70.17,6.71,2.84,110.91,80.8,2,746.93,Operação Normal
BATCH-2026-199,Planta_SP,2026-06-17 12:00:00,80.31,5.74,3.12,105.86,93.1,4,725.7,Operação Normal
BATCH-2026-200,Planta_SP,2026-06-17 16:00:00,77.49,6.32,2.98,115.39,96.8,5,876.24,Operação Normal
BATCH-2026-201,Planta_MG,2026-06-17 20:00:00,72.92,5.76,2.53,105.48,94.4,2,777.05,Operação Normal
BATCH-2026-202,Planta_MG,2026-06-18 00:00:00,76.84,6.29,2.65,128.47,96.6,3,772.46,Operação Normal
BATCH-2026-203,Planta_PR,2026-06-18 04:00:00,75.17,4.87,2.33,102.57,84.0,2,770.01,Operação Normal
BATCH-2026-204,Planta_MG,2026-06-18 08:00:00,75.43,,2.79,155.0,97.8,1,822.74,Operação Normal
BATCH-2026-205,Planta_SP,2026-06-18 12:00:00,68.96,6.2,3.44,139.44,86.4,3,761.96,Operação Normal
BATCH-2026-206,Planta_SP,2026-06-18 16:00:00,71.31,6.67,2.9,120.19,80.3,5,798.64,Operação Normal
BATCH-2026-207,Planta_SP,2026-06-18 20:00:00,77.08,,3.33,133.01,96.9,5,921.33,Operação Normal
BATCH-2026-208,Planta_SP,2026-06-19 00:00:00,76.39,5.92,3.63,95.45,98.8,5,812.28,Operação Normal
BATCH-2026-209,Planta_SP,2026-06-19 04:00:00,81.9,6.13,2.61,157.85,93.1,3,830.92,Operação Normal
BATCH-2026-210,Planta_SP,2026-06-19 08:00:00,75.47,5.28,2.81,111.15,84.6,4,757.14,Operação Normal
BATCH-2026-211,Planta_MG,2026-06-19 12:00:00,75.89,6.82,3.99,118.19,85.0,2,736.98,Operação Normal
BATCH-2026-212,Planta_SP,2026-06-19 16:00:00,76.08,6.35,3.62,92.16,89.3,0,643.67,Operação Normal
BATCH-2026-213,Planta_SP,2026-06-19 20:00:00,77.21,5.07,2.06,127.29,98.0,3,761.83,Operação Normal
BATCH-2026-214,Planta_SP,2026-06-20 00:00:00,78.37,6.12,3.09,103.4,83.0,2,649.04,Operação Normal
BATCH-2026-215,Planta_SP,2026-06-20 04:00:00,76.37,6.16,2.9,121.52,96.5,5,900.75,Operação Normal
BATCH-2026-216,Planta_MG,2026-06-20 08:00:00,80.28,5.61,3.31,111.84,85.8,3,824.84,Operação Normal
BATCH-2026-217,Planta_PR,2026-06-20 12:00:00,87.2,6.05,2.53,103.83,96.2,2,673.24,Operação Normal
BATCH-2026-218,Planta_PR,2026-06-20 16:00:00,74.7,5.56,2.48,107.93,98.4,2,751.1,Operação Normal
BATCH-2026-219,Planta_PR,2026-06-20 20:00:00,79.57,5.3,2.56,123.39,88.5,1,701.98,Operação Normal
BATCH-2026-220,Planta_PR,2026-06-21 00:00:00,78.12,5.69,2.61,100.78,87.3,3,743.32,Operação Normal
BATCH-2026-221,Planta_SP,2026-06-21 04:00:00,82.19,6.09,3.31,108.77,96.0,7,853.54,Operação Normal
BATCH-2026-222,Planta_PR,2026-06-21 08:00:00,78.81,6.46,2.31,129.95,90.6,0,712.52,Operação Normal
BATCH-2026-223,Planta_PR,2026-06-21 12:00:00,75.09,6.03,2.59,159.04,93.7,6,1036.41,Operação Normal
BATCH-2026-224,Planta_MG,2026-06-21 16:00:00,73.34,6.47,2.01,127.16,92.5,4,806.88,Operação Normal
BATCH-2026-225,Planta_MG,2026-06-21 20:00:00,80.44,6.32,3.4,106.24,83.1,0,650.82,Operação Normal
BATCH-2026-226,Planta_MG,2026-06-22 00:00:00,73.66,5.48,3.54,114.49,96.9,5,792.96,Operação Normal
BATCH-2026-227,Planta_SP,2026-06-22 04:00:00,82.73,6.32,2.74,120.47,83.9,0,769.04,Operação Normal
BATCH-2026-228,Planta_SP,2026-06-22 08:00:00,80.21,6.33,2.75,114.76,98.6,2,673.96,Operação Normal
BATCH-2026-229,Planta_SP,2026-06-22 12:00:00,78.35,6.87,3.13,133.55,85.0,1,727.25,Operação Normal
BATCH-2026-230,Planta_MG,2026-06-22 16:00:00,72.75,6.21,3.64,123.26,94.7,3,869.21,Operação Normal
BATCH-2026-231,Planta_PR,2026-06-22 20:00:00,80.7,5.38,3.1,133.62,85.7,4,852.71,Operação Normal
BATCH-2026-232,Planta_MG,2026-06-23 00:00:00,84.47,5.72,2.55,115.28,86.4,2,767.11,Operação Normal
BATCH-2026-233,Planta_SP,2026-06-23 04:00:00,76.3,5.07,2.09,139.88,86.2,3,933.4,Operação Normal
BATCH-2026-234,Planta_MG,2026-06-23 08:00:00,75.03,6.26,2.34,117.5,95.0,1,748.82,Operação Normal
BATCH-2026-235,Planta_PR,2026-06-23 12:00:00,77.63,6.83,2.94,105.43,91.1,3,729.37,Operação Normal
BATCH-2026-236,Planta_SP,2026-06-23 16:00:00,79.87,4.8,2.57,152.66,97.7,1,785.68,Operação Normal
BATCH-2026-237,Planta_PR,2026-06-23 20:00:00,75.88,6.85,3.0,92.63,86.1,3,684.95,Operação Normal
BATCH-2026-238,Planta_PR,2026-06-24 00:00:00,81.6,6.25,2.62,108.92,93.8,4,858.85,Operação Normal
BATCH-2026-239,Planta_SP,2026-06-24 04:00:00,85.64,5.46,2.37,110.59,95.1,0,727.8,Operação Normal
BATCH-2026-240,Planta_PR,2026-06-24 08:00:00,79.32,6.13,2.31,157.62,83.0,2,889.94,Operação Normal
BATCH-2026-241,Planta_MG,2026-06-24 12:00:00,76.7,5.48,3.68,147.1,88.0,2,875.43,Operação Normal
BATCH-2026-242,Planta_PR,2026-06-24 16:00:00,79.76,6.22,3.34,142.41,89.7,2,785.63,Operação Normal
BATCH-2026-243,Planta_PR,2026-06-24 20:00:00,82.71,6.03,3.77,115.04,87.1,2,709.83,Operação Normal
BATCH-2026-244,Planta_PR,2026-06-25 00:00:00,78.64,6.16,3.17,156.39,86.4,7,953.92,Operação Normal
BATCH-2026-245,Planta_MG,2026-06-25 04:00:00,79.94,5.54,2.69,125.53,93.7,3,757.31,Operação Normal
BATCH-2026-246,Planta_PR,2026-06-25 08:00:00,80.82,5.61,3.56,134.66,84.3,6,900.63,Operação Normal
BATCH-2026-247,Planta_PR,2026-06-25 12:00:00,74.5,6.25,2.88,122.7,94.2,3,852.46,Operação Normal
BATCH-2026-248,Planta_MG,2026-06-25 16:00:00,79.84,5.75,3.01,119.26,98.7,4,806.26,Operação Normal
BATCH-2026-249,Planta_SP,2026-06-25 20:00:00,72.63,6.07,2.88,116.22,91.3,3,791.7,Operação Normal
BATCH-2026-250,Planta_SP,2026-06-26 00:00:00,75.37,6.23,1.43,116.86,92.2,3,780.65,Operação Normal
BATCH-2026-251,Planta_SP,2026-06-26 04:00:00,82.58,5.89,3.7,129.13,81.4,5,897.57,Operação Normal
BATCH-2026-252,Planta_PR,2026-06-26 08:00:00,81.48,6.58,3.15,125.51,97.3,1,717.53,Operação Normal
BATCH-2026-253,Planta_SP,2026-06-26 12:00:00,76.92,5.91,3.06,119.53,85.7,4,705.33,Operação Normal
BATCH-2026-254,Planta_MG,2026-06-26 16:00:00,84.82,5.89,2.87,142.64,92.3,3,855.3,Operação Normal
BATCH-2026-255,Planta_PR,2026-06-26 20:00:00,72.76,5.68,2.98,75.5,99.6,0,685.29,Operação Normal
BATCH-2026-256,Planta_PR,2026-06-27 00:00:00,77.18,6.52,2.6,127.65,91.9,3,827.09,Operação Normal
BATCH-2026-257,Planta_PR,2026-06-27 04:00:00,79.1,5.65,3.21,130.77,94.5,3,778.37,Operação Normal
BATCH-2026-258,Planta_SP,2026-06-27 08:00:00,66.77,6.63,2.25,137.2,88.9,3,765.22,Operação Normal
BATCH-2026-259,Planta_SP,2026-06-27 12:00:00,77.37,6.08,2.99,119.03,81.2,1,763.97,Operação Normal
BATCH-2026-260,Planta_SP,2026-06-27 16:00:00,73.5,7.34,3.18,123.12,96.0,2,778.69,Operação Normal
BATCH-2026-261,Planta_PR,2026-06-27 20:00:00,73.59,5.67,2.8,134.79,80.7,3,811.33,Operação Normal
BATCH-2026-262,Planta_MG,2026-06-28 00:00:00,76.91,6.64,3.09,142.37,94.0,2,897.38,Operação Normal
BATCH-2026-263,Planta_PR,2026-06-28 04:00:00,70.7,6.26,2.4,115.49,80.5,3,735.55,Operação Normal
BATCH-2026-264,Planta_MG,2026-06-28 08:00:00,74.77,5.74,2.42,124.0,97.2,1,836.96,Operação Normal
BATCH-2026-265,Planta_PR,2026-06-28 12:00:00,70.79,6.26,3.02,145.18,83.2,6,912.91,Operação Normal
BATCH-2026-266,Planta_MG,2026-06-28 16:00:00,78.5,,3.24,88.14,90.3,0,566.87,Operação Normal
BATCH-2026-267,Planta_PR,2026-06-28 20:00:00,78.42,5.83,1.96,109.65,91.9,2,738.41,Operação Normal
BATCH-2026-268,Planta_PR,2026-06-29 00:00:00,76.61,6.21,3.16,141.99,89.2,1,828.55,Operação Normal
BATCH-2026-269,Planta_MG,2026-06-29 04:00:00,81.99,6.58,2.63,136.39,86.8,1,752.25,Operação Normal
BATCH-2026-270,Planta_MG,2026-06-29 08:00:00,76.82,6.26,2.8,127.84,89.4,4,756.37,Operação Normal
BATCH-2026-271,Planta_MG,2026-06-29 12:00:00,77.91,5.79,2.23,113.27,86.2,2,745.66,Operação Normal
BATCH-2026-272,Planta_MG,2026-06-29 16:00:00,74.38,5.76,2.47,106.77,88.8,2,699.33,Operação Normal
BATCH-2026-273,Planta_MG,2026-06-29 20:00:00,68.79,5.96,3.38,111.13,87.2,2,774.63,Operação Normal
BATCH-2026-274,Planta_MG,2026-06-30 00:00:00,77.42,6.56,2.92,143.22,91.3,6,946.47,Operação Normal
BATCH-2026-275,Planta_MG,2026-06-30 04:00:00,76.9,5.62,2.71,110.57,84.8,1,671.22,Operação Normal
BATCH-2026-276,Planta_MG,2026-06-30 08:00:00,84.84,6.2,2.84,121.52,99.8,6,833.45,Operação Normal
BATCH-2026-277,Planta_PR,2026-06-30 12:00:00,80.67,5.22,3.14,108.69,90.0,3,808.48,Operação Normal
BATCH-2026-278,Planta_MG,2026-06-30 16:00:00,76.35,6.3,3.12,132.64,83.9,2,745.81,Operação Normal
BATCH-2026-279,Planta_MG,2026-06-30 20:00:00,78.57,6.38,2.86,111.92,89.5,5,772.35,Operação Normal
BATCH-2026-280,Planta_PR,2026-07-01 00:00:00,81.63,7.01,3.45,118.54,97.3,6,804.43,Operação Normal
BATCH-2026-281,Planta_PR,2026-07-01 04:00:00,80.07,6.46,3.39,94.75,80.4,1,713.15,Operação Normal
BATCH-2026-282,Planta_SP,2026-07-01 08:00:00,84.68,5.8,3.11,95.8,93.6,2,737.9,Operação Normal
BATCH-2026-283,Planta_SP,2026-07-01 12:00:00,74.84,5.23,2.93,120.12,91.0,7,857.0,Operação Normal
BATCH-2026-284,Planta_MG,2026-07-01 16:00:00,81.9,6.26,3.23,100.12,83.4,8,880.48,Operação Normal
BATCH-2026-285,Planta_MG,2026-07-01 20:00:00,76.31,5.84,3.06,151.58,96.3,3,924.19,Operação Normal
BATCH-2026-286,Planta_SP,2026-07-02 00:00:00,78.77,6.17,3.43,89.08,87.4,4,711.64,Operação Normal
BATCH-2026-287,Planta_SP,2026-07-02 04:00:00,75.77,5.64,3.35,108.0,85.9,5,721.81,Operação Normal
BATCH-2026-288,Planta_MG,2026-07-02 08:00:00,77.43,5.91,2.39,120.25,96.6,2,789.2,Operação Normal
BATCH-2026-289,Planta_SP,2026-07-02 12:00:00,78.85,5.15,2.36,114.52,92.8,0,700.62,Operação Normal
BATCH-2026-290,Planta_MG,2026-07-02 16:00:00,80.37,5.48,2.55,103.44,98.0,4,750.69,Operação Normal
BATCH-2026-291,Planta_PR,2026-07-02 20:00:00,78.25,5.41,3.39,105.63,92.6,1,747.74,Operação Normal
BATCH-2026-292,Planta_PR,2026-07-03 00:00:00,68.06,6.44,2.11,105.14,94.8,4,831.21,Operação Normal
BATCH-2026-293,Planta_SP,2026-07-03 04:00:00,77.69,5.59,3.1,115.7,96.7,5,722.84,Operação Normal
BATCH-2026-294,Planta_PR,2026-07-03 08:00:00,83.88,6.69,3.08,149.28,81.1,3,811.07,Operação Normal
BATCH-2026-295,Planta_PR,2026-07-03 12:00:00,77.66,5.59,3.48,121.17,95.5,2,883.98,Operação Normal
BATCH-2026-296,Planta_PR,2026-07-03 16:00:00,83.99,7.05,2.99,137.74,92.3,2,827.11,Operação Normal
BATCH-2026-297,Planta_PR,2026-07-03 20:00:00,77.52,5.03,2.23,127.6,81.4,1,788.49,Operação Normal
BATCH-2026-298,Planta_MG,2026-07-04 00:00:00,71.71,6.21,2.42,136.71,90.2,6,954.72,Operação Normal
BATCH-2026-299,Planta_MG,2026-07-04 04:00:00,76.27,6.02,2.31,78.0,81.6,4,741.25,Operação Normal
BATCH-2026-300,Planta_SP,2026-07-04 08:00:00,75.77,,2.63,115.43,94.7,2,797.61,Operação Normal
BATCH-2026-301,Planta_PR,2026-07-04 12:00:00,77.08,5.72,2.81,139.61,90.9,3,862.2,Operação Normal
BATCH-2026-302,Planta_PR,2026-07-04 16:00:00,73.26,5.87,2.32,111.42,99.1,4,827.52,Operação Normal
BATCH-2026-303,Planta_PR,2026-07-04 20:00:00,77.96,6.12,3.64,146.44,83.7,5,872.49,Operação Normal
BATCH-2026-304,Planta_SP,2026-07-05 00:00:00,76.69,5.53,2.24,142.26,92.1,1,789.67,Operação Normal
BATCH-2026-305,Planta_MG,2026-07-05 04:00:00,83.15,6.21,3.57,112.96,84.2,0,673.92,Operação Normal
BATCH-2026-306,Planta_PR,2026-07-05 08:00:00,73.16,6.06,3.49,112.45,92.3,5,828.06,Operação Normal
BATCH-2026-307,Planta_MG,2026-07-05 12:00:00,78.98,6.39,3.35,104.8,94.5,1,655.21,Operação Normal
BATCH-2026-308,Planta_SP,2026-07-05 16:00:00,79.64,5.57,2.55,110.56,94.4,4,759.47,Operação Normal
BATCH-2026-309,Planta_MG,2026-07-05 20:00:00,81.1,5.8,3.07,101.51,96.3,4,768.6,Operação Normal
BATCH-2026-310,Planta_PR,2026-07-06 00:00:00,76.55,6.72,2.26,126.43,97.1,5,805.39,Operação Normal
BATCH-2026-311,Planta_MG,2026-07-06 04:00:00,78.88,5.55,3.36,98.16,81.5,2,701.44,Operação Normal
BATCH-2026-312,Planta_MG,2026-07-06 08:00:00,79.41,5.3,2.86,129.06,86.9,3,799.1,Operação Normal
BATCH-2026-313,Planta_SP,2026-07-06 12:00:00,71.41,5.68,2.7,129.42,93.7,3,828.07,Operação Normal
BATCH-2026-314,Planta_SP,2026-07-06 16:00:00,76.69,5.11,2.29,95.08,90.0,4,818.61,Operação Normal
BATCH-2026-315,Planta_SP,2026-07-06 20:00:00,77.87,6.84,1.66,143.25,83.8,4,834.66,Operação Normal
BATCH-2026-316,Planta_SP,2026-07-07 00:00:00,78.34,5.86,2.38,127.7,91.1,2,846.62,Operação Normal
BATCH-2026-317,Planta_MG,2026-07-07 04:00:00,78.29,5.86,3.46,131.25,88.1,1,808.17,Operação Normal
BATCH-2026-318,Planta_MG,2026-07-07 08:00:00,79.75,6.37,2.7,108.62,87.8,3,795.72,Operação Normal
