Machine_ID,Timestamp,Temperature,Vibration,Torque,RPM,Tool_Wear,Machine_Failure
Motor_04,2026-08-01 19:00:00,85.99,2.83,34.96,1864,15.2,Não
Turbina_02,2026-08-01 19:30:00,85.83,3.15,39.22,1915,21.5,Não
Turbina_02,2026-08-01 20:00:00,88.52,4.32,40.38,1690,11.2,Não
Compressor_03,2026-08-01 20:30:00,90.61,3.2,35.74,1774,24.4,Não
Turbina_02,2026-08-01 21:00:00,85.19,3.77,38.87,1908,20.1,Não
Turbina_02,2026-08-01 21:30:00,82.5,2.77,37.63,2016,18.0,Não
Turbina_02,2026-08-01 22:00:00,88.24,3.7,35.15,1708,15.5,Não
Compressor_03,2026-08-01 22:30:00,75.71,2.82,44.66,1917,16.2,Não
Caldeira_01,2026-08-01 23:00:00,89.55,1.87,45.45,1693,20.6,Não
Turbina_02,2026-08-01 23:30:00,81.45,3.19,44.64,2117,23.1,Não
Compressor_03,2026-08-02 00:00:00,83.8,2.87,39.62,1737,16.3,Não
Compressor_03,2026-08-02 00:30:00,89.58,2.06,39.9,1896,15.6,Não
Motor_04,2026-08-02 01:00:00,82.92,3.33,35.22,1824,19.0,Não
Compressor_03,2026-08-02 01:30:00,88.24,2.57,41.87,2190,27.4,Não
Caldeira_01,2026-08-02 02:00:00,90.69,5.36,40.76,1834,14.8,Sim
Turbina_02,2026-08-02 02:30:00,85.55,2.17,52.8,1722,26.9,Não
Compressor_03,2026-08-02 03:00:00,86.56,2.35,44.89,1895,21.8,Não
Caldeira_01,2026-08-02 03:30:00,84.4,3.81,41.42,1892,13.8,Não
Compressor_03,2026-08-02 04:00:00,85.58,3.11,39.81,1776,20.1,Não
Compressor_03,2026-08-02 04:30:00,79.42,3.79,44.51,1635,25.9,Não
Compressor_03,2026-08-02 05:00:00,83.53,3.47,35.88,1720,32.2,Não
Compressor_03,2026-08-02 05:30:00,78.56,2.79,45.13,1932,17.0,Não
Compressor_03,2026-08-02 06:00:00,80.51,2.23,35.11,1537,9.9,Não
Caldeira_01,2026-08-02 06:30:00,74.99,3.95,37.47,1762,17.9,Não
Turbina_02,2026-08-02 07:00:00,86.32,2.3,31.73,1949,30.5,Não
Turbina_02,2026-08-02 07:30:00,93.46,3.59,42.76,1785,16.3,Não
Turbina_02,2026-08-02 08:00:00,82.72,3.84,41.12,2126,33.1,Não
Turbina_02,2026-08-02 08:30:00,89.83,3.11,37.47,1538,32.1,Não
Caldeira_01,2026-08-02 09:00:00,90.63,2.99,35.82,1655,27.4,Não
Motor_04,2026-08-02 09:30:00,79.0,2.51,46.2,1452,23.7,Não
Motor_04,2026-08-02 10:00:00,80.08,3.52,39.4,2099,27.5,Não
Caldeira_01,2026-08-02 10:30:00,89.95,1.07,36.55,1658,30.7,Não
Caldeira_01,2026-08-02 11:00:00,84.54,3.7,48.65,1501,30.3,Não
Compressor_03,2026-08-02 11:30:00,78.55,3.28,37.04,1708,37.1,Não
Compressor_03,2026-08-02 12:00:00,81.82,3.04,45.12,1591,27.5,Não
Compressor_03,2026-08-02 12:30:00,87.1,3.37,34.82,1709,22.7,Não
Turbina_02,2026-08-02 13:00:00,81.03,2.24,38.4,1806,22.3,Não
Compressor_03,2026-08-02 13:30:00,71.13,1.51,42.26,1920,21.7,Não
Motor_04,2026-08-02 14:00:00,83.39,3.53,39.74,1773,31.4,Não
Turbina_02,2026-08-02 14:30:00,83.8,4.12,41.1,1803,29.7,Não
Compressor_03,2026-08-02 15:00:00,85.05,1.98,37.58,1712,31.4,Não
Turbina_02,2026-08-02 15:30:00,91.29,2.46,32.81,1573,29.0,Não
Motor_04,2026-08-02 16:00:00,85.27,3.73,46.6,1523,26.5,Não
Compressor_03,2026-08-02 16:30:00,86.21,3.45,37.85,1745,35.5,Não
Motor_04,2026-08-02 17:00:00,90.28,5.27,41.3,1812,20.5,Sim
Motor_04,2026-08-02 17:30:00,85.05,3.95,43.16,1734,29.2,Não
Motor_04,2026-08-02 18:00:00,95.68,3.78,41.39,1528,37.6,Não
Compressor_03,2026-08-02 18:30:00,78.68,2.67,36.81,1830,29.6,Não
Caldeira_01,2026-08-02 19:00:00,80.33,3.57,45.22,2044,36.4,Não
Compressor_03,2026-08-02 19:30:00,88.07,4.25,42.31,1782,30.9,Não
Motor_04,2026-08-02 20:00:00,91.27,3.08,40.89,1713,33.0,Não
Compressor_03,2026-08-02 20:30:00,84.0,3.12,40.79,1790,38.5,Não
Motor_04,2026-08-02 21:00:00,79.95,3.3,47.57,1634,29.7,Não
Caldeira_01,2026-08-02 21:30:00,93.8,2.73,36.71,1624,40.2,Não
Turbina_02,2026-08-02 22:00:00,81.04,3.39,41.87,1867,37.1,Não
Caldeira_01,2026-08-02 22:30:00,86.7,3.37,37.62,1948,43.5,Não
Caldeira_01,2026-08-02 23:00:00,91.57,4.24,31.29,1777,38.7,Não
Turbina_02,2026-08-02 23:30:00,82.79,3.07,31.17,1503,32.7,Não
Compressor_03,2026-08-03 00:00:00,81.89,3.67,35.43,1853,47.1,Não
Turbina_02,2026-08-03 00:30:00,82.23,3.09,37.04,2110,33.9,Não
Compressor_03,2026-08-03 01:00:00,89.51,3.65,49.78,1763,38.1,Não
Compressor_03,2026-08-03 01:30:00,90.3,3.02,43.14,1773,44.5,Não
Motor_04,2026-08-03 02:00:00,85.17,3.6,43.55,1669,30.7,Não
Motor_04,2026-08-03 02:30:00,94.42,3.71,37.13,1872,47.7,Não
Turbina_02,2026-08-03 03:00:00,85.16,2.45,40.28,1699,35.1,Não
Caldeira_01,2026-08-03 03:30:00,91.46,3.97,50.38,1953,39.0,Não
Turbina_02,2026-08-03 04:00:00,82.84,3.08,34.54,1701,43.1,Não
Compressor_03,2026-08-03 04:30:00,96.67,2.87,42.05,1851,41.9,Sim
Motor_04,2026-08-03 05:00:00,92.85,2.7,47.25,1793,46.4,Não
Turbina_02,2026-08-03 05:30:00,84.36,3.41,44.35,2033,34.9,Não
Turbina_02,2026-08-03 06:00:00,92.17,3.2,48.11,1861,46.9,Não
Motor_04,2026-08-03 06:30:00,91.92,3.46,40.96,2008,47.7,Não
Motor_04,2026-08-03 07:00:00,92.77,3.47,42.72,1816,49.2,Não
Motor_04,2026-08-03 07:30:00,72.59,3.63,40.49,1774,36.5,Não
Compressor_03,2026-08-03 08:00:00,88.6,5.14,42.4,1794,37.5,Sim
Motor_04,2026-08-03 08:30:00,87.71,3.23,35.88,1684,43.6,Não
Caldeira_01,2026-08-03 09:00:00,87.36,2.69,43.57,1879,38.9,Não
Turbina_02,2026-08-03 09:30:00,86.09,1.79,41.32,1696,37.1,Não
Motor_04,2026-08-03 10:00:00,86.24,2.36,40.28,1816,44.6,Não
Motor_04,2026-08-03 10:30:00,91.42,4.06,47.86,1928,48.0,Não
Compressor_03,2026-08-03 11:00:00,87.7,3.7,38.81,2037,61.3,Não
Compressor_03,2026-08-03 11:30:00,86.08,2.26,45.44,1824,50.4,Não
Turbina_02,2026-08-03 12:00:00,90.7,4.92,45.88,1929,56.8,Não
Caldeira_01,2026-08-03 12:30:00,87.09,3.43,43.85,1911,48.3,Não
Turbina_02,2026-08-03 13:00:00,87.57,3.52,35.66,1742,51.7,Não
Motor_04,2026-08-03 13:30:00,94.34,4.77,41.62,2116,48.6,Não
Caldeira_01,2026-08-03 14:00:00,82.83,4.42,48.81,1713,63.1,Não
Caldeira_01,2026-08-03 14:30:00,77.42,3.75,31.82,1813,46.7,Não
Caldeira_01,2026-08-03 15:00:00,85.36,3.78,39.16,2018,47.7,Não
Caldeira_01,2026-08-03 15:30:00,86.07,3.85,45.23,2014,54.9,Não
Turbina_02,2026-08-03 16:00:00,88.61,3.03,39.48,1802,52.3,Não
Compressor_03,2026-08-03 16:30:00,85.54,3.4,43.64,1948,49.6,Não
Compressor_03,2026-08-03 17:00:00,88.78,3.6,46.34,1766,56.9,Não
Motor_04,2026-08-03 17:30:00,97.52,3.11,41.04,1726,52.3,Sim
Compressor_03,2026-08-03 18:00:00,89.01,2.52,42.29,1618,52.6,Não
Compressor_03,2026-08-03 18:30:00,89.89,3.01,40.41,1908,54.4,Não
Compressor_03,2026-08-03 19:00:00,84.35,2.51,41.34,1924,45.0,Não
Compressor_03,2026-08-03 19:30:00,78.07,3.25,49.46,1714,46.1,Não
Motor_04,2026-08-03 20:00:00,73.51,1.95,39.71,1840,59.9,Não
Turbina_02,2026-08-03 20:30:00,82.41,3.44,38.41,2197,51.5,Não
Caldeira_01,2026-08-03 21:00:00,72.1,2.06,44.69,1972,54.6,Não
Compressor_03,2026-08-03 21:30:00,87.57,2.92,36.21,1664,63.8,Não
Turbina_02,2026-08-03 22:00:00,83.09,3.55,37.23,1950,55.7,Não
Compressor_03,2026-08-03 22:30:00,78.43,3.75,37.26,1665,55.4,Não
Compressor_03,2026-08-03 23:00:00,85.65,3.67,38.85,1365,61.4,Não
Caldeira_01,2026-08-03 23:30:00,81.31,3.42,39.05,1796,54.3,Não
Caldeira_01,2026-08-04 00:00:00,87.25,2.42,43.15,2034,63.7,Não
Caldeira_01,2026-08-04 00:30:00,88.54,3.89,38.46,2009,62.5,Não
Compressor_03,2026-08-04 01:00:00,81.49,2.43,43.33,1856,67.6,Não
Compressor_03,2026-08-04 01:30:00,83.81,3.97,43.89,1718,55.4,Não
Compressor_03,2026-08-04 02:00:00,86.07,3.64,37.06,1872,66.1,Não
Caldeira_01,2026-08-04 02:30:00,77.96,4.15,43.79,1759,62.5,Não
Motor_04,2026-08-04 03:00:00,86.07,3.22,44.2,1722,53.5,Não
Turbina_02,2026-08-04 03:30:00,77.84,2.63,32.08,1959,47.5,Não
Motor_04,2026-08-04 04:00:00,87.83,2.3,41.32,1721,56.9,Não
Compressor_03,2026-08-04 04:30:00,82.82,2.37,37.72,1969,62.8,Não
Compressor_03,2026-08-04 05:00:00,77.82,2.05,45.86,1711,63.9,Não
Motor_04,2026-08-04 05:30:00,82.1,3.86,37.68,2108,61.8,Não
Compressor_03,2026-08-04 06:00:00,82.31,3.95,33.97,1553,62.3,Não
Turbina_02,2026-08-04 06:30:00,90.34,3.59,39.87,1656,62.3,Não
Compressor_03,2026-08-04 07:00:00,85.87,3.18,35.96,1776,68.5,Não
Turbina_02,2026-08-04 07:30:00,80.22,4.64,43.82,1502,56.5,Não
Motor_04,2026-08-04 08:00:00,93.25,3.13,36.36,1414,65.4,Não
Motor_04,2026-08-04 08:30:00,88.13,3.35,39.92,1503,60.4,Não
Compressor_03,2026-08-04 09:00:00,83.32,3.17,46.96,1756,60.4,Não
Turbina_02,2026-08-04 09:30:00,77.23,2.96,44.94,1759,71.2,Não
Compressor_03,2026-08-04 10:00:00,82.88,3.64,42.15,1849,60.8,Não
Caldeira_01,2026-08-04 10:30:00,83.9,2.76,39.43,1770,65.4,Não
Caldeira_01,2026-08-04 11:00:00,86.85,2.71,41.72,1844,76.3,Não
Caldeira_01,2026-08-04 11:30:00,88.04,3.68,43.1,1732,71.1,Não
Caldeira_01,2026-08-04 12:00:00,89.03,2.85,35.56,1907,65.0,Não
Compressor_03,2026-08-04 12:30:00,76.94,3.29,43.83,1889,65.9,Não
Caldeira_01,2026-08-04 13:00:00,86.04,2.96,35.04,1750,62.0,Não
Turbina_02,2026-08-04 13:30:00,84.2,3.19,42.58,1879,75.0,Não
Motor_04,2026-08-04 14:00:00,98.39,2.73,35.02,1771,74.0,Sim
Motor_04,2026-08-04 14:30:00,85.32,2.75,48.83,1571,72.7,Não
Caldeira_01,2026-08-04 15:00:00,81.89,2.63,43.44,1935,73.7,Não
Caldeira_01,2026-08-04 15:30:00,85.55,3.79,33.0,1663,66.2,Não
Caldeira_01,2026-08-04 16:00:00,84.96,3.32,40.0,1934,62.8,Não
Compressor_03,2026-08-04 16:30:00,75.05,3.84,37.65,1848,73.7,Não
Motor_04,2026-08-04 17:00:00,87.04,3.92,37.12,1787,75.8,Não
Caldeira_01,2026-08-04 17:30:00,83.45,2.88,40.66,1518,79.8,Não
Turbina_02,2026-08-04 18:00:00,84.87,3.82,35.82,2030,71.1,Não
Caldeira_01,2026-08-04 18:30:00,80.63,3.19,43.43,1745,70.8,Não
Motor_04,2026-08-04 19:00:00,79.53,3.09,43.17,1895,71.7,Não
Caldeira_01,2026-08-04 19:30:00,89.39,4.08,41.58,1782,76.7,Não
Motor_04,2026-08-04 20:00:00,90.54,3.59,39.91,1759,72.3,Não
Caldeira_01,2026-08-04 20:30:00,87.09,2.95,42.97,1828,73.9,Não
Turbina_02,2026-08-04 21:00:00,75.95,3.54,43.56,1803,78.7,Não
Caldeira_01,2026-08-04 21:30:00,87.42,2.31,42.05,1759,71.8,Não
Turbina_02,2026-08-04 22:00:00,76.02,3.37,34.1,1791,82.3,Não
Turbina_02,2026-08-04 22:30:00,81.69,2.15,36.45,1864,78.9,Não
Caldeira_01,2026-08-04 23:00:00,89.33,2.51,38.79,1874,66.8,Não
Turbina_02,2026-08-04 23:30:00,88.29,3.61,33.36,1806,74.0,Não
Compressor_03,2026-08-05 00:00:00,87.28,1.33,41.01,1893,66.8,Não
Caldeira_01,2026-08-05 00:30:00,91.56,4.46,46.35,1736,76.3,Não
Caldeira_01,2026-08-05 01:00:00,87.8,3.78,45.63,2133,75.2,Não
Turbina_02,2026-08-05 01:30:00,74.9,1.91,43.33,2022,82.3,Não
Turbina_02,2026-08-05 02:00:00,83.15,4.88,43.27,1914,74.1,Não
Caldeira_01,2026-08-05 02:30:00,84.79,5.07,49.97,1508,80.9,Sim
Compressor_03,2026-08-05 03:00:00,84.21,3.07,43.8,1890,82.2,Não
Turbina_02,2026-08-05 03:30:00,81.91,2.55,44.17,1749,81.0,Não
Turbina_02,2026-08-05 04:00:00,79.85,4.38,33.52,1653,85.8,Não
Motor_04,2026-08-05 04:30:00,97.0,2.96,46.0,1745,90.9,Sim
Compressor_03,2026-08-05 05:00:00,83.06,3.31,41.79,1669,81.5,Não
Compressor_03,2026-08-05 05:30:00,96.76,4.05,39.64,1876,83.4,Sim
Caldeira_01,2026-08-05 06:00:00,79.29,3.09,38.53,2042,77.3,Não
Compressor_03,2026-08-05 06:30:00,88.29,3.03,37.53,1923,77.0,Não
Caldeira_01,2026-08-05 07:00:00,86.15,2.31,45.66,2214,87.7,Não
Motor_04,2026-08-05 07:30:00,80.39,2.76,39.87,1566,87.4,Não
Compressor_03,2026-08-05 08:00:00,82.66,3.02,37.7,1724,78.2,Não
Turbina_02,2026-08-05 08:30:00,84.92,2.33,36.53,1658,77.2,Não
Motor_04,2026-08-05 09:00:00,80.78,2.4,40.77,1984,80.9,Não
Caldeira_01,2026-08-05 09:30:00,83.72,3.22,38.38,1766,83.8,Não
Motor_04,2026-08-05 10:00:00,73.18,1.91,37.36,1828,82.9,Não
Caldeira_01,2026-08-05 10:30:00,88.56,2.58,33.78,1895,86.1,Não
Motor_04,2026-08-05 11:00:00,91.14,4.56,44.32,1581,90.3,Não
Caldeira_01,2026-08-05 11:30:00,87.27,2.96,39.38,1706,88.5,Não
Compressor_03,2026-08-05 12:00:00,96.32,2.87,35.12,1949,89.2,Sim
Turbina_02,2026-08-05 12:30:00,88.41,2.96,38.78,1717,74.7,Não
Caldeira_01,2026-08-05 13:00:00,90.71,2.97,42.47,1542,79.3,Não
Motor_04,2026-08-05 13:30:00,91.19,3.6,40.13,1664,83.8,Não
Caldeira_01,2026-08-05 14:00:00,71.24,3.55,40.86,1757,85.0,Não
Caldeira_01,2026-08-05 14:30:00,87.12,2.93,40.19,1825,92.7,Não
Caldeira_01,2026-08-05 15:00:00,78.09,3.05,34.25,1789,84.6,Não
Motor_04,2026-08-05 15:30:00,79.1,4.12,44.27,1707,92.7,Não
Turbina_02,2026-08-05 16:00:00,79.97,2.14,32.31,1940,85.8,Não
Compressor_03,2026-08-05 16:30:00,83.44,3.16,42.08,1780,84.1,Não
Turbina_02,2026-08-05 17:00:00,88.25,3.29,42.77,1831,84.8,Não
Caldeira_01,2026-08-05 17:30:00,87.17,2.66,39.01,1715,102.2,Não
Motor_04,2026-08-05 18:00:00,84.94,3.12,41.59,2026,87.3,Não
Turbina_02,2026-08-05 18:30:00,88.61,2.56,38.75,1741,95.2,Não
Caldeira_01,2026-08-05 19:00:00,88.92,3.65,41.64,1811,84.4,Não
Compressor_03,2026-08-05 19:30:00,87.21,2.26,44.47,1955,99.6,Não
Compressor_03,2026-08-05 20:00:00,76.38,3.94,36.44,1842,94.7,Não
Compressor_03,2026-08-05 20:30:00,81.3,3.15,43.03,1838,94.7,Não
Caldeira_01,2026-08-05 21:00:00,85.13,2.89,47.62,1503,95.8,Não
Motor_04,2026-08-05 21:30:00,88.67,2.5,41.19,1902,96.8,Não
Turbina_02,2026-08-05 22:00:00,78.36,3.92,37.74,1808,98.6,Não
Compressor_03,2026-08-05 22:30:00,84.94,2.74,50.18,1881,92.0,Não
Caldeira_01,2026-08-05 23:00:00,77.17,2.38,40.4,1827,92.1,Não
Caldeira_01,2026-08-05 23:30:00,90.13,3.94,41.04,1716,96.0,Não
Turbina_02,2026-08-06 00:00:00,86.21,2.57,41.14,1934,99.6,Não
Compressor_03,2026-08-06 00:30:00,78.27,3.13,42.02,1829,96.2,Não
Caldeira_01,2026-08-06 01:00:00,78.24,3.77,38.48,1606,100.8,Não
Turbina_02,2026-08-06 01:30:00,86.94,3.31,40.85,1996,100.5,Não
Motor_04,2026-08-06 02:00:00,91.87,4.41,44.28,1585,96.7,Não
Motor_04,2026-08-06 02:30:00,79.52,2.62,38.32,1935,89.4,Não
Motor_04,2026-08-06 03:00:00,88.93,3.05,38.11,2023,96.0,Não
Compressor_03,2026-08-06 03:30:00,82.29,3.11,38.69,1634,107.7,Não
Turbina_02,2026-08-06 04:00:00,89.12,3.63,35.06,1781,101.1,Não
Turbina_02,2026-08-06 04:30:00,88.42,4.1,36.93,1767,96.6,Não
Caldeira_01,2026-08-06 05:00:00,85.78,3.25,36.74,1774,101.4,Não
Caldeira_01,2026-08-06 05:30:00,75.83,3.1,40.0,2074,104.0,Não
Caldeira_01,2026-08-06 06:00:00,88.41,2.16,43.76,1635,97.8,Não
Turbina_02,2026-08-06 06:30:00,87.51,3.28,46.54,1754,107.5,Não
Caldeira_01,2026-08-06 07:00:00,87.05,2.74,40.26,2025,104.2,Não
Turbina_02,2026-08-06 07:30:00,85.98,3.63,42.05,1751,96.7,Não
Turbina_02,2026-08-06 08:00:00,80.61,2.91,41.1,1659,106.9,Não
Motor_04,2026-08-06 08:30:00,90.41,3.03,30.58,1839,100.9,Não
Caldeira_01,2026-08-06 09:00:00,89.49,2.18,34.83,1920,102.5,Não
Motor_04,2026-08-06 09:30:00,79.62,1.93,43.43,1741,98.7,Não
Compressor_03,2026-08-06 10:00:00,91.57,4.5,43.86,1883,107.3,Não
Compressor_03,2026-08-06 10:30:00,85.66,3.29,43.76,1593,103.8,Não
Compressor_03,2026-08-06 11:00:00,85.65,3.48,39.2,1601,108.3,Não
Turbina_02,2026-08-06 11:30:00,84.12,2.56,31.02,1733,102.6,Não
Turbina_02,2026-08-06 12:00:00,84.61,3.81,35.37,1888,102.4,Não
Turbina_02,2026-08-06 12:30:00,91.85,3.69,36.06,1914,102.4,Não
Caldeira_01,2026-08-06 13:00:00,90.17,2.64,42.83,1622,108.6,Não
Motor_04,2026-08-06 13:30:00,90.06,2.46,38.39,1908,103.6,Não
Turbina_02,2026-08-06 14:00:00,85.92,2.69,47.61,1824,106.4,Não
Motor_04,2026-08-06 14:30:00,89.45,3.18,46.6,1668,105.2,Não
Motor_04,2026-08-06 15:00:00,80.83,3.32,47.53,1599,110.4,Não
Motor_04,2026-08-06 15:30:00,87.92,3.23,35.88,1834,99.9,Não
Caldeira_01,2026-08-06 16:00:00,84.23,4.11,42.21,1993,110.2,Não
Caldeira_01,2026-08-06 16:30:00,74.7,2.7,37.85,1805,118.0,Não
Compressor_03,2026-08-06 17:00:00,77.07,2.44,41.48,1659,116.0,Não
Compressor_03,2026-08-06 17:30:00,81.69,3.2,36.37,1519,107.1,Não
Motor_04,2026-08-06 18:00:00,87.08,2.01,45.52,2029,113.1,Não
Compressor_03,2026-08-06 18:30:00,81.69,3.69,36.46,1956,112.5,Não
Motor_04,2026-08-06 19:00:00,82.04,3.27,31.24,1845,118.7,Não
Caldeira_01,2026-08-06 19:30:00,88.82,2.96,49.15,2021,99.2,Não
Caldeira_01,2026-08-06 20:00:00,82.22,2.92,41.99,1833,117.8,Não
Caldeira_01,2026-08-06 20:30:00,91.65,3.84,35.19,1720,111.3,Não
Turbina_02,2026-08-06 21:00:00,90.83,3.81,39.27,1883,109.3,Não
Motor_04,2026-08-06 21:30:00,85.11,3.03,37.4,1675,109.5,Não
Caldeira_01,2026-08-06 22:00:00,88.77,3.61,40.03,1650,107.3,Não
Motor_04,2026-08-06 22:30:00,88.09,3.8,43.61,1915,111.1,Não
Compressor_03,2026-08-06 23:00:00,83.77,3.43,42.91,1928,109.2,Não
Compressor_03,2026-08-06 23:30:00,89.31,3.06,41.14,1608,115.9,Não
Caldeira_01,2026-08-07 00:00:00,90.04,3.47,40.02,1614,118.3,Não
Motor_04,2026-08-07 00:30:00,80.24,2.47,44.85,1733,114.5,Não
Caldeira_01,2026-08-07 01:00:00,85.77,3.25,31.34,1693,123.7,Não
Compressor_03,2026-08-07 01:30:00,85.71,3.04,36.63,1871,113.9,Não
Caldeira_01,2026-08-07 02:00:00,89.25,2.93,35.6,1807,115.5,Não
Motor_04,2026-08-07 02:30:00,82.78,1.99,44.53,1974,115.0,Não
Compressor_03,2026-08-07 03:00:00,82.01,2.48,36.67,1847,120.8,Não
Turbina_02,2026-08-07 03:30:00,85.84,2.86,34.21,1703,121.7,Não
Compressor_03,2026-08-07 04:00:00,90.91,3.83,42.47,1516,121.1,Não
Turbina_02,2026-08-07 04:30:00,79.0,3.4,35.91,1826,118.4,Não
Caldeira_01,2026-08-07 05:00:00,79.88,3.86,38.42,1543,112.7,Não
Caldeira_01,2026-08-07 05:30:00,82.4,4.07,50.72,1701,118.2,Não
Motor_04,2026-08-07 06:00:00,83.29,3.43,43.54,1691,127.6,Não
Turbina_02,2026-08-07 06:30:00,76.17,3.3,39.05,1723,125.7,Não
Caldeira_01,2026-08-07 07:00:00,92.49,2.52,39.45,1602,122.5,Não
Turbina_02,2026-08-07 07:30:00,84.35,4.59,44.08,1691,119.5,Não
Caldeira_01,2026-08-07 08:00:00,83.6,2.21,42.98,1971,121.7,Não
Compressor_03,2026-08-07 08:30:00,93.11,3.28,40.34,1971,120.3,Não
Caldeira_01,2026-08-07 09:00:00,88.59,3.78,40.47,2029,128.6,Não
Motor_04,2026-08-07 09:30:00,82.32,3.79,33.34,1801,118.8,Não
Compressor_03,2026-08-07 10:00:00,85.82,2.39,32.39,1840,128.0,Não
Motor_04,2026-08-07 10:30:00,84.79,2.91,39.2,1974,121.2,Não
Compressor_03,2026-08-07 11:00:00,92.24,2.64,37.15,1579,130.8,Não
Turbina_02,2026-08-07 11:30:00,84.16,1.81,42.64,1920,126.7,Não
Motor_04,2026-08-07 12:00:00,77.79,3.29,40.89,1995,121.3,Não
Caldeira_01,2026-08-07 12:30:00,75.61,2.7,36.52,1666,123.9,Não
Turbina_02,2026-08-07 13:00:00,92.38,4.25,40.73,2007,129.4,Não
Caldeira_01,2026-08-07 13:30:00,81.06,3.63,38.12,2108,123.7,Não
Compressor_03,2026-08-07 14:00:00,88.35,3.23,49.3,1916,126.7,Não
Compressor_03,2026-08-07 14:30:00,85.36,2.87,41.74,1889,124.4,Não
Caldeira_01,2026-08-07 15:00:00,82.92,3.28,32.98,1632,136.2,Não
Caldeira_01,2026-08-07 15:30:00,83.7,3.02,48.19,1960,137.5,Não
Turbina_02,2026-08-07 16:00:00,92.92,3.25,37.15,1646,135.5,Não
Caldeira_01,2026-08-07 16:30:00,77.76,4.53,35.61,1855,128.0,Não
Motor_04,2026-08-07 17:00:00,83.07,2.45,49.65,1870,127.0,Não
Motor_04,2026-08-07 17:30:00,89.53,3.08,41.56,1305,125.5,Não
Caldeira_01,2026-08-07 18:00:00,78.58,3.69,43.15,1860,137.5,Não
Motor_04,2026-08-07 18:30:00,91.59,2.92,43.3,2193,134.9,Não
Caldeira_01,2026-08-07 19:00:00,89.46,4.31,39.07,1486,135.5,Não
Turbina_02,2026-08-07 19:30:00,86.36,3.67,37.42,1791,129.8,Não
Motor_04,2026-08-07 20:00:00,82.48,2.7,38.16,1507,122.6,Não
Motor_04,2026-08-07 20:30:00,77.94,3.34,47.24,1665,124.2,Não
