idade,renda_mensal,valor_solicitado,numero_parcelas,score_serasa,num_consultas_recentes,atrasos_ultimos_12m,valor_parcela,comprometimento_renda,tipo_vinculo_CLT,tipo_vinculo_ESTUDANTE,tipo_vinculo_PJ,tipo_vinculo_SERVIDOR_PUBLICO,estado_civil_Divorciado,estado_civil_Solteiro,estado_civil_Viuvo,escolaridade_Medio,escolaridade_Pos_Graduacao,escolaridade_Superior
29.7,4637.37,21683.05,24,401.6,2,0,903.4604166666667,0.19482172324365957,False,False,True,False,False,True,False,True,False,False
54.3,2697.38,34875.99,24,505.6,4,1,1453.16625,0.5387324902730334,False,False,False,True,False,False,False,False,False,True
32.6,1793.7,24391.89,12,572.9,2,0,2032.6575,1.1332204318825867,True,False,False,False,False,False,False,False,False,True
44.3,3136.18,25604.31,36,721.4,3,0,711.2308333333334,0.22678252876604918,True,False,False,False,False,True,False,False,False,True
38.7,4344.35,12524.55,24,715.6,3,2,521.8562499999999,0.12012297554266349,True,False,False,False,False,False,False,True,False,False
58.9,1768.06,6943.94,60,490.8,3,1,115.73233333333333,0.06545724278517749,True,False,False,False,False,True,False,False,False,True
29.1,2618.05,2434.37,12,748.6,3,0,202.86416666666665,0.07748674238146681,True,False,False,False,False,True,False,True,False,False
45.6,2240.29,4965.31,12,596.2,2,1,413.77583333333337,0.18469744161977195,True,False,False,False,False,True,False,False,False,True
44.9,8320.14,14796.84,60,623.3,1,0,246.614,0.029640606973391548,True,False,False,False,False,True,False,False,True,False
50.5,4024.13,18693.62,24,198.5,2,2,778.9008333333333,0.19355757179757052,False,False,True,False,True,False,False,True,False,False
34.6,2939.27,30118.3,24,362.9,3,1,1254.9291666666666,0.42695266593308534,False,False,True,False,False,True,False,False,True,False
27.4,5562.95,33984.79,24,505.7,2,0,1416.0329166666668,0.2545471223220046,False,False,False,True,False,False,False,False,False,False
48.9,11489.04,27470.0,24,661.7,1,0,1144.5833333333333,0.09962393135867695,False,False,False,False,False,True,False,True,False,False
39.2,5891.93,28067.78,36,808.3,2,1,779.6605555555556,0.1323268528703306,False,False,False,False,False,True,False,True,False,False
70.9,3958.84,23862.45,12,663.1,2,2,1988.5375000000001,0.5023030723588146,False,False,False,False,False,True,False,False,False,True
39.6,6382.75,14289.98,24,648.2,1,1,595.4158333333334,0.09328515646084866,False,False,True,False,False,True,False,True,False,False
39.0,7315.07,28810.89,60,637.4,1,1,480.18149999999997,0.06564277571418622,False,False,True,False,False,True,False,True,False,False
39.4,2248.31,24883.05,24,803.8,1,2,1036.79375,0.46114359024714746,True,False,False,False,False,False,False,False,False,True
49.7,4542.15,26568.12,24,622.4,3,0,1107.0049999999999,0.2437182826553102,False,False,False,False,False,False,True,False,False,True
52.8,3167.14,22092.61,24,440.4,0,0,920.5254166666667,0.2906487915785784,True,False,False,False,False,False,False,True,False,False
41.6,1713.38,3794.77,36,679.2,0,2,105.41027777777778,0.06152183237960023,True,False,False,False,False,True,False,False,False,True
21.8,8543.78,12787.0,60,828.1,3,2,213.11666666666667,0.024944072344702924,False,False,False,False,False,True,False,True,False,False
48.0,4833.98,15967.55,24,570.5,4,0,665.3145833333333,0.1376328784887411,False,False,False,True,False,False,False,True,False,False
34.0,8657.67,13470.14,12,731.8,4,1,1122.5116666666665,0.12965516881217637,True,False,False,False,False,True,False,False,False,True
49.2,4020.27,26558.14,24,738.8,3,0,1106.5891666666666,0.2752524491922538,False,False,False,False,False,False,False,True,False,False
33.2,8116.42,5994.61,48,608.5,1,0,124.88770833333332,0.015387043570867807,False,False,False,False,False,False,False,False,False,True
38.4,1744.65,28667.92,60,636.9,3,0,477.79866666666663,0.27386505254808474,True,False,False,False,False,False,False,True,False,False
27.2,5423.77,13496.81,24,561.2,4,0,562.3670833333333,0.10368564343555808,True,False,False,False,False,False,False,True,False,False
33.0,3191.02,12073.72,60,412.8,1,0,201.22866666666667,0.06306092285101862,True,False,False,False,False,False,False,False,True,False
42.4,2827.93,6216.84,48,574.0,1,1,129.5175,0.04579940081331787,True,False,False,False,True,False,False,True,False,False
39.8,2416.66,23516.48,12,624.5,1,0,1959.7066666666667,0.8109153371005906,True,False,False,False,True,False,False,False,False,True
41.8,8313.19,31898.64,48,609.5,1,1,664.555,0.07993983046226558,False,False,False,False,False,False,False,True,False,False
38.7,12890.63,32014.77,36,639.6,2,0,889.2991666666667,0.06898802975314523,True,False,False,False,False,False,False,False,True,False
33.1,4227.18,15247.46,12,640.9,1,1,1270.6216666666667,0.30058376119796865,False,False,True,False,False,False,False,False,False,False
40.1,4269.03,31032.31,36,524.9,2,0,862.0086111111111,0.20192142221813786,True,False,False,False,True,False,False,True,False,False
43.4,9970.48,32678.54,60,782.7,1,1,544.6423333333333,0.05462548771845272,True,False,False,False,False,True,False,False,False,True
55.9,5850.64,20900.86,12,773.0,6,0,1741.7383333333335,0.29770047898286833,False,False,False,False,False,True,False,False,False,True
48.3,3821.18,8343.66,48,765.5,1,1,173.82625,0.045490201860445716,True,False,False,False,False,False,False,False,False,True
37.7,4264.07,32743.05,24,585.0,3,0,1364.29375,0.12949295926816135,True,False,False,False,True,False,False,False,False,False
44.6,1899.84,26863.84,12,476.1,2,2,2238.653333333333,1.1783378187373437,True,False,False,False,False,True,False,True,False,False
32.1,2345.23,11216.49,48,697.8,1,1,233.676875,0.09963921406583057,True,False,False,False,False,False,False,True,False,False
44.3,4264.07,21047.67,24,490.7,2,1,876.9862499999999,0.12949295926816135,False,False,False,True,False,True,False,False,True,False
30.6,4364.06,18502.06,36,703.9,3,1,513.9461111111111,0.11776788356104918,False,False,True,False,False,False,False,False,False,True
50.9,6881.1,13178.57,48,474.2,8,1,274.55354166666666,0.03989965866906019,False,False,False,False,False,True,False,False,False,True
38.7,4264.07,7502.6,48,610.3,1,0,156.30416666666667,0.12949295926816135,True,False,False,False,False,False,False,False,False,True
26.3,2551.22,34931.01,24,643.6,4,1,1455.45875,0.5704951922198196,False,False,False,False,False,True,False,True,False,False
35.8,18182.85,12207.15,12,634.2,4,2,1017.2624999999999,0.05594626251883161,False,False,True,False,False,True,False,False,False,True
51.1,6264.18,12835.81,12,659.0,1,2,1069.6508333333334,0.17075672021330265,False,False,True,False,False,True,False,False,False,True
25.1,3490.77,26603.74,24,594.6,1,1,1108.4891666666667,0.3175486106191988,False,True,False,False,False,True,False,False,False,True
34.4,9224.51,34541.25,12,837.5,2,1,2878.4375,0.3120423195247852,True,False,False,False,False,True,False,True,False,False
43.9,6105.52,25887.74,24,832.1,2,2,1078.6558333333335,0.1766689539247507,True,False,False,False,False,False,False,False,False,True
57.6,3178.41,22847.29,36,623.3,1,0,634.6469444444444,0.19967434737736822,True,False,False,False,True,False,False,True,False,False
39.8,12785.86,31563.61,48,747.1,1,3,657.5752083333333,0.051429877053169246,False,False,False,False,False,False,False,True,False,False
47.2,4592.58,4600.62,24,767.4,0,1,191.6925,0.04173961032417593,False,False,True,False,False,True,False,True,False,False
45.3,10349.07,4590.25,12,623.3,1,1,382.5208333333333,0.036961855796097114,False,False,False,False,False,False,False,False,False,True
29.5,6252.17,34711.79,36,786.0,3,2,964.2163888888889,0.15422107641773627,False,False,True,False,False,False,False,False,True,False
43.2,2748.18,13682.16,36,713.0,4,0,380.06,0.13829516211348905,True,False,False,False,False,True,False,False,True,False
50.8,6416.83,12375.53,36,844.1,8,0,343.76472222222225,0.05357235920018119,True,False,False,False,False,True,False,True,False,False
63.8,2925.6,33867.73,24,849.9,3,2,1411.1554166666667,0.4823473516007633,True,False,False,False,True,False,False,True,False,False
32.5,4515.12,23224.33,24,613.1,1,3,967.6804166666667,0.21431997699362743,True,False,False,False,False,False,False,False,False,True
43.7,2850.39,20010.65,12,668.5,2,1,1667.5541666666668,0.585026666812752,True,False,False,False,True,False,False,False,False,True
44.3,21376.08,14201.83,24,445.8,1,3,591.7429166666667,0.027682480435601002,False,False,True,False,False,True,False,False,False,True
45.7,4082.99,11426.74,36,713.9,1,1,317.40944444444443,0.07773946144052515,False,False,False,True,True,False,False,True,False,False
37.9,1822.43,12133.72,24,554.4,3,0,505.57166666666666,0.27741623211454175,True,False,False,False,False,True,False,True,False,False
26.3,11016.32,13517.62,24,640.7,1,1,563.2341666666667,0.051127251764236534,False,False,False,False,False,True,False,False,False,True
49.4,9168.83,13712.29,24,593.7,3,0,571.3454166666667,0.06231388476430775,True,False,False,False,False,False,False,True,False,False
40.4,6575.37,14073.77,36,567.6,3,1,390.9380555555556,0.059454913557869214,False,False,False,False,False,False,False,True,False,False
34.6,1673.64,4170.63,60,454.7,0,0,69.51050000000001,0.041532527655095915,False,False,False,False,False,False,False,True,False,False
38.7,4264.07,24618.42,12,703.7,1,1,2051.535,0.12949295926816135,False,False,False,True,False,True,False,False,False,True
32.9,9367.23,19732.76,60,702.2,1,0,328.8793333333333,0.03510956098891964,False,False,False,False,False,False,False,True,False,False
42.3,6662.08,32204.17,36,562.0,3,1,894.5602777777777,0.1342764236447196,False,False,False,False,True,False,False,True,False,False
39.3,1647.29,25898.35,24,584.7,3,0,1079.0979166666666,0.6550746438792928,False,False,False,False,False,True,False,False,False,True
56.4,9004.57,10008.92,24,542.5,5,0,417.03833333333336,0.04631407528290553,False,False,True,False,False,True,False,False,False,True
29.6,2269.03,16089.89,24,623.3,1,1,670.4120833333333,0.2954619729041544,False,False,True,False,False,False,False,False,False,True
48.9,6479.14,16145.3,24,484.3,2,2,672.7208333333333,0.10382872299333647,True,False,False,False,False,False,False,False,False,False
39.6,2913.09,21819.69,24,907.1,2,2,909.15375,0.31209257073385105,True,False,False,False,False,True,False,True,False,False
33.7,18772.47,13036.72,60,548.5,5,1,217.27866666666665,0.011574324878448249,False,False,False,False,False,True,False,False,False,True
31.1,2275.62,28049.64,48,621.9,1,1,584.3675,0.2567948503845332,True,False,False,False,False,True,False,False,False,True
57.7,1933.3,29950.95,60,545.9,3,1,499.1825,0.25820229525576843,False,False,False,False,False,True,False,True,False,False
46.7,7001.46,12939.25,24,608.7,2,0,539.1354166666666,0.07700328444304956,False,False,False,False,False,True,False,True,False,False
28.1,2847.42,3180.56,48,794.5,1,0,66.26166666666667,0.023270773694768924,False,True,False,False,False,True,False,False,False,False
27.0,15356.36,19622.08,36,563.0,2,0,545.0577777777778,0.03549394370950136,False,True,False,False,False,True,False,True,False,False
23.9,12022.32,5786.29,48,521.3,3,1,120.54770833333333,0.010026992147361193,True,False,False,False,False,True,False,True,False,False
50.9,5345.3,13315.79,48,623.3,1,1,277.4122916666667,0.051898357650212924,False,False,False,False,False,False,False,True,False,False
35.6,1710.46,28615.99,48,787.0,1,1,596.1664583333334,0.34854159398519546,True,False,False,False,False,False,False,False,False,True
36.5,4013.95,24844.43,24,410.2,1,1,1035.1845833333334,0.25789673034152544,False,False,True,False,False,True,False,False,False,True
48.9,3797.99,31951.82,60,623.3,2,0,532.5303333333334,0.14021372671628837,True,False,False,False,False,True,False,True,False,False
29.5,2725.95,31431.65,24,624.1,3,1,1309.6520833333334,0.48043877493312265,False,True,False,False,False,False,False,True,False,False
44.9,1548.51,5521.59,60,551.2,3,1,92.0265,0.059429063684257356,True,False,False,False,True,False,False,False,True,False
35.5,11364.04,31030.36,36,623.3,2,1,861.9544444444444,0.07584929687733864,False,True,False,False,False,False,False,True,False,False
45.6,4882.41,32456.62,36,771.9,2,0,901.5727777777778,0.18465732618342265,True,False,False,False,False,True,False,False,False,True
34.7,6580.35,16664.71,36,508.0,4,0,462.9086111111111,0.07034711077794342,True,False,False,False,False,True,False,False,True,False
33.2,2977.28,11732.56,48,556.0,2,2,244.4283333333333,0.08209786533760836,False,False,False,False,True,False,False,False,False,True
45.6,2684.62,25516.5,12,786.2,0,1,2126.375,0.7920580909325785,True,False,False,False,True,False,False,True,False,False
35.3,2263.83,27233.44,12,457.6,2,0,2269.4533333333334,1.002483986566347,True,False,False,False,False,False,False,False,False,True
25.3,8988.18,34072.89,48,483.3,1,0,709.851875,0.0789761524813965,True,False,False,False,True,False,False,False,False,True
38.1,1449.12,25098.66,12,540.3,0,0,2091.555,1.4433276647667022,False,False,False,False,False,True,False,True,False,False
50.1,4395.15,26633.17,36,623.3,4,0,739.8102777777777,0.16832423832964413,True,False,False,False,False,True,False,True,False,False
40.4,3238.91,8160.91,60,682.5,2,0,136.01516666666666,0.041994117232873246,False,False,False,False,False,True,False,False,False,True
42.7,3755.09,28512.98,36,623.3,3,0,792.0272222222222,0.21092096863537557,False,False,False,True,False,True,False,True,False,False
42.9,10346.94,31268.82,48,212.4,2,0,651.43375,0.06295907286312757,False,False,False,False,False,False,False,False,True,False
25.6,6143.01,17827.25,24,292.1,1,0,742.8020833333334,0.12091826028675694,True,False,False,False,False,False,False,False,False,True
38.3,4157.09,31234.13,12,913.6,3,1,2602.8441666666668,0.6261216765587105,False,False,False,False,False,True,False,True,False,False
31.7,22885.6,21558.38,48,583.0,3,2,449.1329166666667,0.019625131806481604,True,False,False,False,False,False,False,True,False,False
33.3,4264.07,9552.32,36,575.4,2,1,265.34222222222223,0.12949295926816135,True,False,False,False,False,False,False,True,False,False
23.4,4087.99,34042.47,24,461.4,1,0,1418.43625,0.3469764472345176,False,False,True,False,False,False,False,True,False,False
42.1,4762.26,29359.27,36,662.0,4,1,815.5352777777778,0.17124963275110586,True,False,False,False,False,True,False,True,False,False
46.8,4264.07,11283.25,48,866.2,0,1,235.06770833333334,0.12949295926816135,False,False,False,False,False,False,False,False,False,True
33.9,4593.63,12571.95,36,543.8,2,1,349.22083333333336,0.07602284741546553,False,False,False,False,False,True,False,True,False,False
36.9,8285.53,24061.33,48,686.3,1,0,501.27770833333335,0.06050037930323462,True,False,False,False,False,False,False,True,False,False
55.4,5806.74,20063.47,24,359.9,0,1,835.9779166666667,0.14396682393683866,False,False,False,False,False,True,False,True,False,False
44.2,10100.12,31396.79,36,616.9,2,2,872.1330555555555,0.08634878146913776,False,False,True,False,False,True,False,True,False,False
39.7,4264.07,31679.1,36,682.1,1,0,879.9749999999999,0.12949295926816135,True,False,False,False,False,False,False,False,False,True
22.1,3941.06,17949.5,12,773.2,3,0,1495.7916666666667,0.3795404441625507,True,False,False,False,False,False,False,True,False,False
38.7,4264.07,34194.03,36,905.1,2,0,949.8341666666666,0.12949295926816135,True,False,False,False,False,True,False,False,False,True
58.9,2424.43,33801.68,24,616.8,3,0,1408.4033333333334,0.580921423808532,True,False,False,False,False,False,False,True,False,False
53.6,2678.61,16649.81,24,455.7,1,1,693.7420833333334,0.25899331397381486,False,False,False,False,False,False,False,True,False,False
41.3,1838.11,14809.97,12,857.4,1,0,1234.1641666666667,0.67143106775566,False,False,True,False,False,True,False,False,False,True
36.9,1552.57,34096.72,24,582.8,0,0,1420.6966666666667,0.9150612581178653,False,False,False,True,False,False,True,True,False,False
38.0,2571.77,22689.28,24,329.2,2,0,945.3866666666667,0.36760155962261437,True,False,False,False,False,False,False,True,False,False
30.3,3597.84,23349.87,60,529.5,2,1,389.1645,0.10816614938917196,True,False,False,False,False,True,False,True,False,False
43.7,15072.32,32866.3,12,278.2,4,0,2738.8583333333336,0.18171444950188087,False,False,False,False,False,True,False,False,False,True
32.3,12054.84,23243.44,24,681.8,1,0,968.4766666666666,0.08033923850198545,True,False,False,False,False,False,False,True,False,False
38.7,6446.1,18120.95,48,659.4,2,3,377.51979166666666,0.05856561193295334,True,False,False,False,False,False,False,True,False,False
40.2,4510.57,24496.05,24,654.8,1,0,1020.6687499999999,0.2262837618609538,True,False,False,False,False,True,False,False,True,False
37.9,2049.1,25991.41,36,762.3,3,1,721.9836111111111,0.3523418123018364,False,False,False,False,False,True,False,False,True,False
41.0,2772.94,3178.46,36,497.1,3,2,88.29055555555556,0.03184005252084612,False,True,False,False,False,False,True,False,True,False
63.4,2048.94,28147.58,24,460.8,1,0,1172.8158333333333,0.5724012550925457,False,False,False,False,False,True,False,True,False,False
56.3,2212.33,5550.1,48,852.3,2,2,115.62708333333335,0.05226484421884841,True,False,False,False,False,True,False,False,False,False
30.1,1909.76,26351.49,36,624.5,1,0,731.9858333333334,0.3832868158828676,True,False,False,False,False,True,False,False,True,False
49.9,4231.83,21382.7,24,735.1,5,0,890.9458333333333,0.21053440975369742,False,False,True,False,False,False,False,False,False,True
62.4,1876.42,20105.07,36,554.4,2,0,558.4741666666666,0.29762748408692713,True,False,False,False,False,True,False,False,False,True
36.6,9727.41,16040.12,24,887.2,2,2,668.3383333333334,0.06870670945773504,False,False,False,False,True,False,False,False,False,False
37.3,4157.46,34893.17,48,854.7,4,1,726.9410416666666,0.17485220300812146,False,False,False,False,False,True,False,True,False,False
38.2,5064.77,18154.8,12,990.0,0,0,1512.8999999999999,0.29871050353972534,True,False,False,False,False,False,False,False,False,True
30.5,6524.21,26213.29,36,522.1,2,3,728.1469444444444,0.11160691383759495,False,False,True,False,False,True,False,False,False,True
37.6,10955.04,19062.6,60,650.1,3,0,317.71,0.029001263318982617,False,False,False,True,False,True,False,True,False,False
46.2,3650.71,23854.17,24,609.1,2,0,993.9237499999999,0.2722549167908299,False,False,False,False,False,True,False,False,False,True
48.5,20942.02,3062.09,12,714.8,3,0,255.17416666666668,0.012184792419490515,False,False,False,False,True,False,False,False,False,True
25.1,2201.04,7231.87,36,741.8,4,0,200.8852777777778,0.09126834444857627,True,False,False,False,False,False,False,True,False,False
40.8,1680.77,28120.58,60,572.2,0,0,468.6763333333334,0.2788462017675657,True,False,False,False,False,True,False,False,False,True
46.2,4264.07,12314.97,12,764.4,1,1,1026.2475,0.12949295926816135,False,False,True,False,False,True,False,False,False,False
41.5,1494.91,30230.43,36,667.5,1,1,839.7341666666666,0.5617289074588955,True,False,False,False,False,False,False,False,False,True
47.1,4264.07,6194.94,48,632.6,2,0,129.06125,0.12949295926816135,False,False,False,False,False,True,False,False,True,False
37.4,14293.52,22054.85,12,623.3,1,4,1837.9041666666665,0.12858303380698638,True,False,False,False,False,False,False,True,False,False
23.0,4466.82,21680.53,48,592.3,1,1,451.6777083333333,0.10111840354483712,False,False,False,False,False,False,False,False,False,True
30.8,5151.43,30754.79,36,593.6,2,1,854.2997222222223,0.1658373928334168,False,False,True,False,True,False,False,False,False,False
44.0,2618.13,23832.03,36,616.1,4,1,662.0008333333333,0.252852543916768,False,False,False,False,False,True,False,False,True,False
41.3,2441.79,26124.18,36,737.3,0,0,725.6716666666666,0.29718840018788784,True,False,False,False,True,False,False,True,False,False
40.9,4264.07,21516.44,48,581.5,0,1,448.25916666666666,0.12949295926816135,False,False,False,True,False,True,False,False,False,False
37.1,14749.36,17158.43,48,776.0,2,1,357.46729166666665,0.02423612220627237,False,False,False,True,False,True,False,True,False,False
40.6,3863.8,22711.62,24,660.9,2,0,946.3175,0.24491886162607052,True,False,False,False,False,True,False,False,False,True
28.0,1891.81,29346.93,24,641.8,5,0,1222.78875,0.646359171130509,True,False,False,False,False,True,False,False,False,True
27.5,1889.54,4516.3,24,729.7,0,2,188.17916666666667,0.09958993494224379,True,False,False,False,False,False,False,False,False,True
45.5,8343.93,17105.73,48,782.9,2,1,356.369375,0.04271001489380901,False,False,False,True,False,False,False,False,True,False
54.3,6421.82,29559.16,24,461.4,4,0,1231.6316666666667,0.19178856846638198,False,False,True,False,False,True,False,False,True,False
34.3,3517.15,16489.33,36,531.1,2,0,458.0369444444445,0.13022957313226582,True,False,False,False,False,False,True,True,False,False
23.4,2648.3,11803.93,36,745.4,6,1,327.88694444444445,0.12381034747058148,True,False,False,False,False,True,False,True,False,False
26.5,2846.17,9388.97,48,627.3,3,0,195.60354166666664,0.06872517839040354,True,False,False,False,False,False,False,False,False,True
38.7,2854.61,28354.23,36,520.6,1,1,787.6175,0.2759107188866054,False,False,False,False,False,True,False,False,False,True
27.1,2364.77,8038.92,48,753.2,1,3,167.4775,0.07082189781322538,False,False,True,False,False,True,False,True,False,False
30.2,2721.8,21950.57,12,496.6,0,0,1829.2141666666666,0.6720604599698956,False,False,False,True,False,True,False,True,False,False
45.4,18378.71,15009.85,36,668.0,2,0,416.9402777777778,0.022686046928806068,False,False,True,False,False,False,True,True,False,False
29.1,7653.74,21757.87,24,665.1,4,3,906.5779166666666,0.11844900865226368,True,False,False,False,False,False,False,True,False,False
40.1,4528.2,14817.46,36,527.7,0,1,411.5961111111111,0.0908961861671634,True,False,False,False,True,False,False,False,False,True
28.8,2808.45,31727.62,12,569.3,2,0,2643.9683333333332,0.9414332902202284,False,False,False,True,False,False,False,True,False,False
49.5,1549.63,22022.67,48,623.3,0,0,458.80562499999996,0.2960743029234442,False,False,False,False,False,False,False,True,False,False
38.9,3920.13,32834.4,24,575.4,3,0,1368.1000000000001,0.3489935273855879,False,False,False,False,False,True,False,False,False,True
32.0,4615.71,12342.55,36,578.7,2,2,342.8486111111111,0.0742786289364637,False,False,False,True,True,False,False,False,False,False
56.4,3130.91,6286.46,36,643.5,3,0,174.6238888888889,0.05577416416669507,False,False,True,False,False,False,False,False,False,True
52.1,2238.94,33834.62,24,888.5,0,0,1409.7758333333334,0.6296621736342696,False,False,False,False,False,False,False,False,False,True
40.1,14566.8,15964.7,60,623.3,3,0,266.0783333333333,0.018266079931808808,False,False,False,False,False,False,False,True,False,False
36.8,12707.22,2134.0,24,606.8,3,3,88.91666666666667,0.006997334318339757,False,False,False,False,False,False,True,True,False,False
47.8,1732.39,23601.02,48,603.3,5,1,491.6879166666667,0.2838205680178603,False,False,True,False,False,True,False,True,False,False
50.4,10607.11,25890.94,24,459.7,3,0,1078.7891666666667,0.10170434412857256,False,False,False,False,False,False,False,False,False,True
28.6,3719.39,12463.72,48,877.4,0,1,259.6608333333333,0.06981274688462512,False,False,False,False,False,False,False,False,False,False
39.8,4734.81,18480.05,36,504.6,2,1,513.3347222222222,0.10841717431914913,True,False,False,False,False,False,False,True,False,False
50.5,2561.88,2685.34,24,847.3,2,0,111.88916666666667,0.04367463200068713,False,False,False,False,False,False,False,True,False,False
66.4,5099.01,28047.66,36,639.5,2,3,779.1016666666667,0.15279469252633743,False,False,False,False,False,True,False,True,False,False
40.0,2732.66,15339.78,48,536.0,4,1,319.57875,0.11694786355804285,True,False,False,False,False,True,False,False,False,True
35.0,1822.33,7564.02,12,795.2,4,0,630.335,0.34589508845327094,False,False,False,False,False,False,False,False,False,True
47.7,2138.11,26583.85,48,766.4,2,2,553.8302083333333,0.25902792921928897,True,False,False,False,False,False,False,True,False,False
27.1,4264.07,26788.07,36,633.8,2,0,744.1130555555555,0.12949295926816135,True,False,False,False,False,False,False,False,False,True
38.7,2183.76,5349.63,36,545.9,1,0,148.60083333333333,0.06804815211051204,False,True,False,False,False,False,False,True,False,False
49.0,3012.7,19304.39,36,795.7,1,2,536.2330555555556,0.1779908566321396,True,False,False,False,True,False,False,False,False,True
64.4,1694.3,11483.54,48,501.4,1,0,239.24041666666668,0.14120310172616163,False,False,True,False,False,False,False,False,True,False
38.7,1420.21,27690.97,12,851.9,1,1,2307.5808333333334,1.6248166236578867,True,False,False,False,False,False,False,False,False,True
48.4,3533.28,25112.71,36,688.6,2,0,697.5752777777777,0.19742994492468138,False,False,False,False,False,False,True,False,False,True
55.6,4264.07,29291.33,60,596.1,2,1,488.1888333333334,0.12949295926816135,False,True,False,False,False,False,False,True,False,False
48.8,4805.56,9467.33,48,626.6,1,1,197.23604166666667,0.04104330010575951,False,False,False,False,False,False,False,False,True,False
38.9,2740.99,7994.23,48,682.6,1,0,166.54645833333333,0.060761424786562185,True,False,False,False,False,True,False,True,False,False
41.3,3229.72,12275.42,24,432.6,3,1,511.47583333333336,0.15836537896464076,False,False,False,False,True,False,False,True,False,False
36.0,1417.26,29619.0,36,791.1,1,0,822.75,0.5805215656935103,False,False,False,False,False,False,False,False,True,False
31.0,4264.07,20697.86,12,536.8,1,0,1724.8216666666667,0.12949295926816135,True,False,False,False,False,False,False,True,False,False
35.1,1526.98,8031.54,60,606.9,1,0,133.859,0.08766257522912825,True,False,False,False,True,False,False,True,False,False
19.0,2276.71,15483.96,24,669.6,0,0,645.165,0.2833760106321138,False,False,True,False,False,True,False,False,False,True
28.0,1414.77,18676.07,36,546.2,2,0,518.7797222222222,0.36668837942233606,False,False,False,False,False,True,False,False,False,True
19.3,1618.09,27732.11,24,623.3,3,1,1155.5045833333334,0.7141163817786215,False,False,True,False,True,False,False,False,False,True
48.7,6833.74,19904.82,60,252.3,2,1,331.747,0.04854545234594022,False,False,False,False,False,False,False,False,False,True
43.4,4419.48,15701.52,36,656.1,1,0,436.15333333333336,0.09868883496394261,True,False,False,False,False,True,False,False,False,True
36.6,2469.25,9591.79,36,538.8,3,2,266.43861111111113,0.10790264656559062,False,False,False,False,False,True,False,True,False,False
48.9,9179.28,12653.65,24,584.9,4,1,527.2354166666667,0.05743755676831855,True,False,False,False,False,True,False,False,False,True
25.3,4264.07,6391.86,24,630.7,1,0,266.3275,0.12949295926816135,False,False,False,False,False,False,False,False,True,False
37.4,4264.07,28734.18,36,550.2,1,0,798.1716666666666,0.12949295926816135,True,False,False,False,False,False,False,True,False,False
37.5,3415.53,20608.44,60,809.3,0,0,343.474,0.10056243071920774,True,False,False,False,False,True,False,False,False,True
