id_cliente,renda_mensal_rs,score_credito,valor_emprestimo_rs,prazo_meses,tipo_contrato,status_pagamento
5221,1505.61,859,33474.77,36,Consignado,Inadimplente
5222,2665.45,797,27735.89,12,CDC,Adimplente
5223,8962.3,359,32494.99,24,Consignado,Inadimplente
5224,4651.88,696,11787.6,60,CDC,Adimplente
5225,4776.5,556,27161.27,60,Consignado,Adimplente
5226,3307.57,876,16224.1,24,CDC,Adimplente
5227,5449.65,538,31119.72,60,CDC,Inadimplente
5228,2237.23,337,16283.69,24,Imobiliário,Adimplente
5229,7477.51,324,20862.67,12,Cartão Crédito,Inadimplente
5230,1934.27,709,2536.35,12,CDC,Adimplente
5231,5234.91,760,10921.05,12,Consignado,Adimplente
5232,2960.4,870,29258.49,24,Imobiliário,Adimplente
5233,6317.38,716,14573.85,24,Consignado,Adimplente
5234,4292.95,656,37765.29,48,Consignado,Adimplente
5235,,682,13553.33,60,CDC,Inadimplente
5236,2149.72,457,30439.05,60,CDC,Inadimplente
5237,5045.01,868,15857.49,48,Cartão Crédito,Adimplente
5238,14379.0,732,29625.64,48,CDC,Adimplente
5239,7612.48,347,6582.55,12,CDC,Adimplente
5240,1716.59,627,19561.8,48,Cartão Crédito,Inadimplente
5241,3151.9,732,14845.44,24,Consignado,Adimplente
5242,10593.25,730,35598.79,36,Cartão Crédito,Adimplente
5243,3947.39,355,30547.15,24,Cartão Crédito,Inadimplente
5244,5297.64,876,10209.09,48,Cartão Crédito,Adimplente
5245,10030.38,567,22561.83,60,Imobiliário,Adimplente
5246,,368,15732.19,24,Consignado,Adimplente
5247,3938.78,900,36403.09,60,Imobiliário,Adimplente
5248,3514.68,748,40258.29,24,Imobiliário,Adimplente
5249,,556,7700.26,60,CDC,Inadimplente
5250,5943.14,789,34920.44,24,Cartão Crédito,Adimplente
5251,2683.89,942,15120.45,60,Cartão Crédito,Adimplente
5252,2506.36,348,21965.0,36,Imobiliário,Inadimplente
5253,3041.56,615,25387.05,12,CDC,Adimplente
5254,2182.71,712,46799.27,24,CDC,Inadimplente
5255,5657.43,733,12953.8,36,CDC,Adimplente
5256,4852.09,301,35017.0,12,Consignado,Inadimplente
5257,3808.17,444,10941.95,24,Imobiliário,Adimplente
5258,3231.91,665,10112.88,36,Consignado,Adimplente
5259,9891.54,719,25341.56,36,CDC,Adimplente
5260,1603.45,872,25260.75,36,CDC,Inadimplente
5261,6630.31,860,1000.0,48,CDC,Adimplente
5262,9626.53,743,38915.16,60,Cartão Crédito,Adimplente
5263,3569.31,733,1000.0,12,Imobiliário,Adimplente
5264,4300.15,942,23248.75,60,Cartão Crédito,Adimplente
5265,11617.51,854,40931.39,60,Consignado,Adimplente
5266,2335.13,356,51510.21,60,Cartão Crédito,Adimplente
5267,4069.88,861,20643.4,36,Imobiliário,Adimplente
5268,3753.39,477,7804.61,60,Cartão Crédito,Inadimplente
5269,2546.27,592,40486.58,48,CDC,Adimplente
5270,7474.55,345,35381.88,24,Consignado,Adimplente
5271,9545.1,469,19132.09,36,Consignado,Inadimplente
5272,6830.33,570,17611.15,12,CDC,Adimplente
5273,2260.76,716,16391.29,24,CDC,Inadimplente
5274,1817.6,438,20864.96,24,CDC,Inadimplente
5275,4754.98,546,28792.82,24,Imobiliário,Inadimplente
5276,1705.76,447,18207.83,60,Cartão Crédito,Inadimplente
5277,5410.42,529,19725.04,60,Consignado,Inadimplente
5278,4145.74,936,32695.35,36,Cartão Crédito,Adimplente
5279,5304.63,673,7211.03,60,CDC,Adimplente
5280,4622.05,379,20488.77,60,CDC,Adimplente
5281,3422.89,905,4888.71,60,Cartão Crédito,Adimplente
5282,2284.84,364,26300.95,36,Consignado,Adimplente
5283,2776.99,387,1727.14,36,Imobiliário,Inadimplente
5284,4101.86,387,35680.12,48,Cartão Crédito,Inadimplente
5285,5193.11,503,9224.35,48,CDC,Inadimplente
5286,6791.23,681,3729.06,48,CDC,Adimplente
5287,6601.07,900,20636.64,48,Imobiliário,Adimplente
5288,14101.6,775,45533.29,24,Cartão Crédito,Adimplente
5289,2678.28,872,33534.31,24,Imobiliário,Adimplente
5290,1758.18,905,1932.23,48,Imobiliário,Inadimplente
5291,2984.43,838,8882.5,48,Consignado,Adimplente
5292,6259.39,513,20252.8,12,Consignado,Inadimplente
5293,3517.58,373,51860.24,24,CDC,Inadimplente
5294,7459.05,360,13732.55,12,Cartão Crédito,Inadimplente
5295,4289.54,842,13829.38,12,Consignado,Adimplente
5296,10797.01,518,43329.15,60,CDC,Inadimplente
5297,11838.61,311,27338.89,36,Cartão Crédito,Adimplente
5298,1751.38,714,37636.0,24,CDC,Adimplente
5299,3633.48,331,16274.81,48,Consignado,Adimplente
5300,4792.84,459,23780.37,48,CDC,Inadimplente
5301,2534.4,536,40787.58,36,Cartão Crédito,Inadimplente
5302,3329.42,480,23261.91,24,Cartão Crédito,Inadimplente
5303,5462.75,857,38476.64,48,CDC,Adimplente
5304,,640,29647.21,48,Cartão Crédito,Inadimplente
5305,4724.4,757,12524.45,60,CDC,Adimplente
5306,5684.26,379,24804.19,12,Cartão Crédito,Adimplente
5307,1832.0,946,36776.61,48,CDC,Adimplente
5308,3908.76,772,33032.99,24,CDC,Adimplente
5309,2568.47,411,24516.97,36,CDC,Inadimplente
5310,6010.64,591,2299.43,60,Imobiliário,Adimplente
5311,2235.6,930,3448.1,24,Cartão Crédito,Inadimplente
5312,9297.4,682,6000.33,60,Consignado,Adimplente
5313,3473.2,316,18874.69,12,CDC,Adimplente
5314,2272.28,792,20474.59,48,Imobiliário,Inadimplente
5315,3517.02,630,7295.06,24,Consignado,Adimplente
5316,3339.27,785,37270.15,36,CDC,Adimplente
5317,3460.78,705,9834.77,12,Consignado,Adimplente
5318,4582.91,416,8553.29,12,Imobiliário,Inadimplente
5319,4077.46,854,26058.83,60,Consignado,Adimplente
5320,2067.9,414,36686.86,12,CDC,Inadimplente
5321,1737.4,848,49658.26,24,Consignado,Inadimplente
5322,6075.1,924,31990.54,60,Consignado,Adimplente
5323,4371.18,846,43957.96,12,CDC,Adimplente
5324,3056.54,943,10455.32,36,Imobiliário,Adimplente
5325,7282.44,635,50916.87,24,Imobiliário,Adimplente
5326,3218.91,635,2662.19,36,Consignado,Adimplente
5327,7063.12,446,18953.93,36,Cartão Crédito,Inadimplente
5328,2777.26,421,31727.83,60,Consignado,Inadimplente
5329,1764.72,380,5737.4,48,Cartão Crédito,Inadimplente
5330,10941.95,674,13875.4,60,Consignado,Adimplente
5331,3256.25,869,11968.93,24,Imobiliário,Adimplente
5332,7007.43,362,21277.35,24,Consignado,Inadimplente
5333,2645.61,803,42058.99,60,Consignado,Adimplente
5334,5138.22,748,25201.9,48,Cartão Crédito,Adimplente
5335,8731.07,727,19443.23,60,Imobiliário,Adimplente
5336,1648.88,726,1000.0,24,Cartão Crédito,Inadimplente
5337,7714.96,720,30601.06,48,Consignado,Adimplente
5338,4464.76,621,34480.18,24,CDC,Adimplente
5339,4773.01,465,4599.76,48,Consignado,Adimplente
5340,4092.0,896,24196.33,48,Consignado,Adimplente
5341,8763.38,948,27316.1,60,Cartão Crédito,Adimplente
5342,1655.42,760,36575.22,60,CDC,Adimplente
5343,,758,16302.78,60,CDC,Adimplente
5344,8799.46,488,14495.68,48,Cartão Crédito,Inadimplente
5345,6385.03,763,19522.03,48,Imobiliário,Adimplente
5346,1562.31,678,40413.24,24,CDC,Inadimplente
5347,4047.13,301,37526.15,36,CDC,Adimplente
5348,4139.4,917,24743.86,60,Cartão Crédito,Adimplente
5349,3293.04,663,37237.32,24,Imobiliário,Adimplente
5350,2735.35,371,1000.0,24,Imobiliário,Inadimplente
5351,5506.94,726,34499.85,12,Consignado,Adimplente
5352,2315.25,937,11574.81,60,Consignado,Inadimplente
5353,,469,46204.29,24,Cartão Crédito,Adimplente
5354,7186.59,504,12229.06,12,Imobiliário,Inadimplente
5355,3378.07,636,14766.85,60,Cartão Crédito,Adimplente
5356,2667.05,771,31749.08,48,Consignado,Adimplente
5357,2668.67,494,32907.45,12,Cartão Crédito,Inadimplente
5358,3804.2,574,19644.02,48,Cartão Crédito,Adimplente
5359,5950.12,306,29456.85,36,CDC,Inadimplente
5360,3055.82,865,30944.56,36,CDC,Adimplente
5361,4796.02,915,29717.38,36,CDC,Adimplente
5362,3187.18,872,20145.34,36,Consignado,Adimplente
5363,2771.05,898,31062.53,24,Cartão Crédito,Adimplente
5364,,477,41876.44,36,CDC,Inadimplente
5365,1513.73,541,10294.14,24,CDC,Inadimplente
5366,2402.11,502,14919.28,24,CDC,Inadimplente
5367,3325.46,842,25327.07,60,Consignado,Adimplente
5368,8169.47,761,12325.31,24,Consignado,Adimplente
5369,7106.61,379,3359.16,24,Cartão Crédito,Inadimplente
5370,2587.92,822,38117.48,36,Cartão Crédito,Adimplente
5371,2481.5,716,1000.0,24,Cartão Crédito,Inadimplente
5372,2402.63,683,20171.41,48,CDC,Inadimplente
5373,2950.26,690,34107.33,36,Imobiliário,Adimplente
5374,3913.43,425,28200.4,12,Consignado,Inadimplente
5375,3521.05,793,20353.01,36,CDC,Adimplente
5376,2361.87,346,11830.73,24,CDC,Adimplente
5377,1989.23,775,29126.41,48,Cartão Crédito,Inadimplente
5378,1544.3,918,13139.27,36,Cartão Crédito,Inadimplente
5379,2085.17,763,28191.19,48,CDC,Inadimplente
5380,5776.96,422,26691.01,12,Consignado,Inadimplente
5381,2477.33,773,26812.39,12,Consignado,Inadimplente
5382,3712.85,433,17316.17,60,CDC,Inadimplente
5383,,918,49420.11,60,Imobiliário,Adimplente
5384,9126.36,861,29298.48,36,Imobiliário,Adimplente
5385,9189.22,906,21655.49,60,Consignado,Adimplente
5386,6292.81,322,28171.25,48,Cartão Crédito,Inadimplente
5387,1625.26,865,15706.46,60,Imobiliário,Inadimplente
5388,4495.41,534,20364.35,48,Imobiliário,Inadimplente
5389,6905.78,358,53703.04,60,Cartão Crédito,Inadimplente
5390,1561.04,463,15791.43,60,Imobiliário,Inadimplente
5391,4292.32,515,24066.73,60,CDC,Inadimplente
5392,8325.94,482,19526.74,24,Imobiliário,Inadimplente
5393,,868,12524.39,24,Cartão Crédito,Adimplente
5394,1514.4,389,30053.02,60,CDC,Inadimplente
5395,1538.76,610,25437.67,48,Imobiliário,Adimplente
5396,3386.3,856,35932.33,36,Consignado,Adimplente
5397,2089.5,556,34726.94,12,CDC,Inadimplente
5398,5321.95,832,35808.49,24,CDC,Adimplente
5399,5818.1,832,13981.56,60,Consignado,Adimplente
5400,2185.54,351,32691.53,12,Consignado,Inadimplente
5401,9179.1,637,32983.26,24,Imobiliário,Adimplente
5402,3541.31,470,12747.24,36,Imobiliário,Inadimplente
5403,2039.48,366,21176.61,48,Cartão Crédito,Inadimplente
5404,6557.47,924,7526.65,60,Cartão Crédito,Adimplente
5405,6961.84,599,33035.47,36,CDC,Adimplente
5406,5068.94,531,32980.27,24,Consignado,Inadimplente
5407,8221.73,367,42164.35,60,Consignado,Inadimplente
5408,6179.57,805,22254.42,12,Cartão Crédito,Adimplente
5409,8985.85,327,30417.64,48,CDC,Inadimplente
5410,3491.37,927,36852.82,24,CDC,Adimplente
5411,6318.55,350,15953.3,48,Cartão Crédito,Inadimplente
5412,30551.13,559,14128.42,60,Cartão Crédito,Adimplente
5413,6017.57,890,16325.38,36,Cartão Crédito,Adimplente
5414,1924.36,919,20808.45,48,Imobiliário,Inadimplente
5415,4056.65,885,14553.35,12,CDC,Adimplente
5416,4598.03,483,16842.07,24,CDC,Inadimplente
5417,2169.95,322,35570.98,12,CDC,Adimplente
5418,13028.69,428,23843.84,48,Cartão Crédito,Inadimplente
5419,,590,28680.38,36,Cartão Crédito,Inadimplente
5420,2184.17,800,18391.4,36,Cartão Crédito,Inadimplente
5421,10134.75,485,17603.61,12,Cartão Crédito,Inadimplente
5422,3690.55,778,28426.67,60,Consignado,Adimplente
5423,1728.46,870,26512.75,60,Cartão Crédito,Inadimplente
5424,4691.19,791,34335.84,36,Imobiliário,Adimplente
5425,4723.03,812,40619.12,12,Consignado,Adimplente
5426,1733.36,942,16703.05,12,Consignado,Inadimplente
5427,14080.36,366,35334.21,12,Cartão Crédito,Adimplente
5428,4248.65,766,12042.33,48,CDC,Adimplente
5429,4371.81,584,49885.34,60,Cartão Crédito,Adimplente
5430,4069.73,900,15564.35,60,CDC,Adimplente
5431,4802.2,716,33287.57,48,Cartão Crédito,Adimplente
5432,2574.26,399,11953.12,24,Cartão Crédito,Inadimplente
5433,2685.14,488,23174.91,48,CDC,Adimplente
5434,4006.3,687,43548.8,12,CDC,Adimplente
5435,7252.04,540,15187.55,48,CDC,Inadimplente
5436,1679.03,716,51450.23,12,CDC,Inadimplente
5437,4736.93,475,24936.69,36,Imobiliário,Inadimplente
5438,7253.71,686,36708.55,12,CDC,Adimplente
5439,2097.42,770,29835.33,60,Cartão Crédito,Inadimplente
5440,1552.98,532,30484.48,48,Cartão Crédito,Inadimplente
5441,2812.51,751,7886.64,12,Imobiliário,Adimplente
5442,4604.78,576,19325.77,24,CDC,Adimplente
5443,2020.9,528,39351.72,36,Cartão Crédito,Inadimplente
5444,3443.69,470,20868.15,24,Imobiliário,Adimplente
5445,4312.88,512,26665.98,24,Cartão Crédito,Inadimplente
5446,,581,6430.93,24,Imobiliário,Adimplente
5447,2622.7,340,18549.08,36,Imobiliário,Inadimplente
5448,3288.06,421,38476.47,36,Consignado,Inadimplente
5449,6773.12,526,9608.45,36,Consignado,Inadimplente
5450,11418.52,593,33604.95,36,CDC,Adimplente
