Part_ID,Machine_ID,Shift,Operator,Temperature,Pressure,Humidity,Production_Time,Defect,Defect_Type
PART-1057,Prensa_01,Manhã,Roberto Lima,69.01,5.38,50.9,36.2,Não,Nenhum
PART-1058,Fresadora_03,Noite,Roberto Lima,75.95,5.34,48.2,35.8,Não,Nenhum
PART-1059,Prensa_01,Manhã,Roberto Lima,71.75,5.57,52.2,32.1,Não,Nenhum
PART-1060,Fresadora_03,Tarde,Roberto Lima,72.33,5.56,43.7,41.1,Não,Nenhum
PART-1061,Fresadora_03,Manhã,Fernanda Alves,74.86,5.5,50.6,39.5,Não,Nenhum
PART-1062,Prensa_01,Manhã,Fernanda Alves,68.57,5.67,62.5,34.9,Não,Nenhum
PART-1063,Prensa_01,Noite,Ana Souza,73.84,5.98,50.1,60.9,Sim,Solda Fria
PART-1064,Fresadora_03,Noite,Roberto Lima,73.08,5.88,58.8,49.2,Não,Nenhum
PART-1065,Torno_CNC_02,Tarde,Roberto Lima,74.22,4.91,47.6,48.3,Não,Nenhum
PART-1066,Injetora_04,Tarde,Carlos Silva,73.51,4.48,65.6,57.7,Não,Nenhum
PART-1067,Prensa_01,Manhã,Fernanda Alves,81.09,5.87,66.0,47.1,Sim,Solda Fria
PART-1068,Injetora_04,Manhã,Roberto Lima,70.27,4.95,58.5,39.0,Não,Nenhum
PART-1069,Torno_CNC_02,Manhã,Ana Souza,70.64,5.41,66.9,31.4,Sim,Porosidade
PART-1070,Torno_CNC_02,Tarde,Ana Souza,70.32,5.03,57.1,38.6,Não,Nenhum
PART-1071,Torno_CNC_02,Tarde,Fernanda Alves,70.56,4.78,59.6,57.0,Sim,Porosidade
PART-1072,Prensa_01,Tarde,Ana Souza,70.27,5.72,62.6,35.0,Não,Nenhum
PART-1073,Torno_CNC_02,Manhã,Ana Souza,76.66,5.8,56.1,47.8,Não,Nenhum
PART-1074,Prensa_01,Noite,Fernanda Alves,77.47,5.27,45.7,53.3,Não,Nenhum
PART-1075,Torno_CNC_02,Tarde,Roberto Lima,70.5,4.46,59.7,47.3,Não,Nenhum
PART-1076,Injetora_04,Tarde,Roberto Lima,69.59,5.28,52.2,48.2,Não,Nenhum
PART-1077,Injetora_04,Tarde,Ana Souza,74.15,5.66,52.6,50.2,Não,Nenhum
PART-1078,Fresadora_03,Tarde,Ana Souza,70.57,,56.8,48.0,Sim,Risco Superficial
PART-1079,Injetora_04,Manhã,Roberto Lima,74.72,5.57,58.4,57.9,Não,Nenhum
PART-1080,Fresadora_03,Manhã,Fernanda Alves,73.21,5.49,55.9,36.7,Não,Nenhum
PART-1081,Injetora_04,Noite,Ana Souza,67.19,5.73,58.8,46.9,Sim,Risco Superficial
PART-1082,Prensa_01,Manhã,Carlos Silva,77.92,5.55,50.8,30.5,Não,Nenhum
PART-1083,Injetora_04,Manhã,Fernanda Alves,78.79,5.11,54.7,28.4,Não,Nenhum
PART-1084,Fresadora_03,Manhã,Ana Souza,70.36,5.98,60.1,44.3,Não,Nenhum
PART-1085,Fresadora_03,Manhã,Ana Souza,71.14,5.44,65.6,49.3,Não,Nenhum
PART-1086,Torno_CNC_02,Noite,Carlos Silva,73.5,5.49,67.8,58.0,Não,Nenhum
PART-1087,Prensa_01,Tarde,Carlos Silva,73.67,5.13,57.6,64.4,Sim,Risco Superficial
PART-1088,Injetora_04,Tarde,Roberto Lima,74.8,5.32,60.0,55.6,Não,Nenhum
PART-1089,Torno_CNC_02,Manhã,Fernanda Alves,79.54,5.15,66.9,50.8,Sim,Risco Superficial
PART-1090,Injetora_04,Tarde,Fernanda Alves,71.88,5.43,51.0,46.3,Sim,Porosidade
PART-1091,Injetora_04,Tarde,Roberto Lima,69.71,6.18,58.8,32.8,Não,Nenhum
PART-1092,Torno_CNC_02,Manhã,Fernanda Alves,67.67,4.95,59.6,43.8,Não,Nenhum
PART-1093,Torno_CNC_02,Tarde,Fernanda Alves,69.94,4.85,63.7,55.3,Não,Nenhum
PART-1094,Torno_CNC_02,Manhã,Fernanda Alves,72.38,6.09,48.2,52.2,Não,Nenhum
PART-1095,Torno_CNC_02,Tarde,Fernanda Alves,78.78,5.42,49.4,34.7,Não,Nenhum
PART-1096,Torno_CNC_02,Tarde,Fernanda Alves,70.69,5.23,55.1,49.9,Não,Nenhum
PART-1097,Injetora_04,Manhã,Carlos Silva,73.28,5.92,57.3,49.2,Não,Nenhum
PART-1098,Torno_CNC_02,Manhã,Fernanda Alves,72.44,5.26,61.7,47.8,Não,Nenhum
PART-1099,Prensa_01,Tarde,Carlos Silva,76.66,6.23,58.1,44.8,Não,Nenhum
PART-1100,Fresadora_03,Tarde,Fernanda Alves,81.34,5.77,54.1,50.3,Sim,Solda Fria
PART-1101,Torno_CNC_02,Noite,Roberto Lima,70.64,5.3,57.5,50.6,Não,Nenhum
PART-1102,Torno_CNC_02,Tarde,Ana Souza,70.79,6.36,56.8,39.9,Não,Nenhum
PART-1103,Injetora_04,Manhã,Carlos Silva,76.15,5.26,65.5,48.6,Não,Nenhum
PART-1104,Torno_CNC_02,Manhã,Fernanda Alves,74.89,5.8,56.0,43.5,Não,Nenhum
PART-1105,Torno_CNC_02,Tarde,Roberto Lima,78.96,5.62,52.7,33.1,Não,Nenhum
PART-1106,Torno_CNC_02,Manhã,Ana Souza,74.54,6.02,57.7,40.5,Sim,Risco Superficial
PART-1107,Injetora_04,Tarde,Carlos Silva,71.24,6.12,56.2,32.5,Não,Nenhum
PART-1108,Torno_CNC_02,Noite,Ana Souza,74.57,5.51,45.6,52.8,Não,Nenhum
PART-1109,Fresadora_03,Tarde,Roberto Lima,76.38,5.2,54.9,47.8,Não,Nenhum
PART-1110,Injetora_04,Manhã,Carlos Silva,75.37,5.68,54.4,42.2,Não,Nenhum
PART-1111,Fresadora_03,Tarde,Ana Souza,74.28,,51.7,56.4,Não,Nenhum
PART-1112,Injetora_04,Tarde,Fernanda Alves,76.23,6.31,61.2,45.5,Não,Nenhum
PART-1113,Torno_CNC_02,Tarde,Carlos Silva,76.59,5.55,50.3,33.6,Não,Nenhum
PART-1114,Fresadora_03,Noite,Ana Souza,77.34,5.35,57.7,41.5,Não,Nenhum
PART-1115,Injetora_04,Manhã,Roberto Lima,74.77,5.57,54.1,58.1,Não,Nenhum
PART-1116,Prensa_01,Noite,Roberto Lima,71.92,4.96,55.6,39.6,Não,Nenhum
PART-1117,Torno_CNC_02,Noite,Carlos Silva,73.01,5.11,57.5,47.2,Não,Nenhum
PART-1118,Injetora_04,Manhã,Ana Souza,76.72,5.98,47.2,51.0,Não,Nenhum
PART-1119,Prensa_01,Manhã,Carlos Silva,69.64,5.24,56.1,49.7,Não,Nenhum
PART-1120,Injetora_04,Manhã,Carlos Silva,73.79,5.08,68.7,64.6,Sim,Desalinhamento
PART-1121,Prensa_01,Manhã,Ana Souza,71.12,5.71,45.7,35.6,Não,Nenhum
PART-1122,Torno_CNC_02,Manhã,Ana Souza,72.6,5.97,54.7,36.4,Não,Nenhum
PART-1123,Fresadora_03,Tarde,Fernanda Alves,76.97,5.79,61.7,35.7,Não,Nenhum
PART-1124,Prensa_01,Manhã,Ana Souza,73.17,5.9,56.8,42.6,Não,Nenhum
PART-1125,Injetora_04,Manhã,Roberto Lima,72.66,5.2,59.1,53.8,Não,Nenhum
PART-1126,Torno_CNC_02,Noite,Carlos Silva,67.74,4.93,40.7,36.7,Não,Nenhum
PART-1127,Prensa_01,Manhã,Carlos Silva,75.11,6.1,58.6,53.9,Não,Nenhum
PART-1128,Injetora_04,Noite,Roberto Lima,74.76,5.37,50.4,45.3,Não,Nenhum
PART-1129,Injetora_04,Manhã,Ana Souza,80.07,5.4,56.9,36.1,Sim,Solda Fria
PART-1130,Injetora_04,Manhã,Roberto Lima,71.42,,54.8,31.0,Não,Nenhum
PART-1131,Prensa_01,Tarde,Roberto Lima,73.27,5.72,68.7,32.8,Não,Nenhum
PART-1132,Prensa_01,Tarde,Fernanda Alves,73.37,5.68,58.3,39.7,Não,Nenhum
PART-1133,Prensa_01,Noite,Roberto Lima,78.02,6.37,54.3,43.6,Não,Nenhum
PART-1134,Fresadora_03,Tarde,Carlos Silva,72.17,5.24,45.9,55.8,Não,Nenhum
PART-1135,Prensa_01,Noite,Roberto Lima,73.48,5.87,55.7,51.4,Não,Nenhum
PART-1136,Prensa_01,Manhã,Carlos Silva,74.63,5.52,59.9,38.3,Não,Nenhum
PART-1137,Prensa_01,Manhã,Carlos Silva,73.15,5.61,54.5,48.3,Não,Nenhum
PART-1138,Fresadora_03,Noite,Carlos Silva,70.94,6.11,52.0,58.2,Não,Nenhum
PART-1139,Prensa_01,Noite,Ana Souza,73.18,5.7,51.6,60.0,Não,Nenhum
PART-1140,Injetora_04,Noite,Fernanda Alves,76.26,5.72,58.2,42.5,Não,Nenhum
PART-1141,Prensa_01,Tarde,Carlos Silva,68.91,5.93,59.6,52.7,Não,Nenhum
PART-1142,Injetora_04,Manhã,Carlos Silva,72.97,5.35,63.2,56.1,Não,Nenhum
PART-1143,Injetora_04,Noite,Ana Souza,70.05,,49.0,32.9,Não,Nenhum
PART-1144,Injetora_04,Manhã,Carlos Silva,76.68,5.08,58.2,40.9,Sim,Risco Superficial
PART-1145,Fresadora_03,Noite,Roberto Lima,67.17,4.71,54.3,62.8,Sim,Risco Superficial
PART-1146,Fresadora_03,Noite,Roberto Lima,70.54,6.32,54.4,42.6,Não,Nenhum
PART-1147,Fresadora_03,Tarde,Fernanda Alves,73.82,5.06,57.4,21.6,Sim,Risco Superficial
PART-1148,Prensa_01,Noite,Carlos Silva,77.98,5.41,57.4,44.0,Sim,Porosidade
PART-1149,Injetora_04,Noite,Ana Souza,72.27,5.39,58.2,54.0,Não,Nenhum
PART-1150,Fresadora_03,Manhã,Roberto Lima,70.56,5.62,48.7,45.1,Não,Nenhum
PART-1151,Fresadora_03,Noite,Ana Souza,79.08,5.83,50.5,50.7,Não,Nenhum
PART-1152,Prensa_01,Tarde,Ana Souza,67.43,5.84,63.9,52.5,Não,Nenhum
PART-1153,Fresadora_03,Noite,Roberto Lima,64.8,5.27,53.7,42.2,Sim,Risco Superficial
PART-1154,Prensa_01,Manhã,Ana Souza,74.04,5.43,56.8,40.8,Não,Nenhum
PART-1155,Torno_CNC_02,Noite,Roberto Lima,70.74,5.61,61.3,46.2,Não,Nenhum
PART-1156,Fresadora_03,Manhã,Ana Souza,68.93,5.4,57.8,46.4,Não,Nenhum
PART-1157,Torno_CNC_02,Manhã,Roberto Lima,74.98,6.14,58.3,45.4,Não,Nenhum
PART-1158,Prensa_01,Noite,Carlos Silva,73.35,,60.4,45.8,Não,Nenhum
PART-1159,Injetora_04,Manhã,Fernanda Alves,70.53,5.79,42.3,39.0,Não,Nenhum
PART-1160,Fresadora_03,Manhã,Roberto Lima,68.02,5.77,52.1,51.0,Não,Nenhum
PART-1161,Prensa_01,Noite,Roberto Lima,75.55,5.97,57.8,49.8,Não,Nenhum
PART-1162,Injetora_04,Noite,Fernanda Alves,74.78,5.57,63.3,34.3,Não,Nenhum
PART-1163,Injetora_04,Tarde,Roberto Lima,72.15,4.98,55.4,41.9,Não,Nenhum
PART-1164,Torno_CNC_02,Tarde,Roberto Lima,78.96,5.66,49.9,45.7,Sim,Porosidade
PART-1165,Prensa_01,Tarde,Ana Souza,68.75,5.24,50.1,40.7,Não,Nenhum
PART-1166,Injetora_04,Manhã,Fernanda Alves,67.16,5.29,60.3,50.1,Não,Nenhum
PART-1167,Fresadora_03,Manhã,Carlos Silva,70.08,5.73,53.7,44.5,Não,Nenhum
PART-1168,Fresadora_03,Tarde,Roberto Lima,72.34,6.0,55.0,46.4,Não,Nenhum
PART-1169,Torno_CNC_02,Noite,Fernanda Alves,73.35,5.51,58.7,41.8,Não,Nenhum
PART-1170,Injetora_04,Noite,Ana Souza,71.66,5.62,37.6,29.1,Não,Nenhum
PART-1171,Prensa_01,Noite,Carlos Silva,73.73,6.18,67.0,28.6,Não,Nenhum
PART-1172,Fresadora_03,Manhã,Fernanda Alves,68.12,5.6,50.6,49.7,Não,Nenhum
PART-1173,Injetora_04,Tarde,Carlos Silva,77.55,6.54,56.5,47.1,Não,Nenhum
PART-1174,Injetora_04,Manhã,Carlos Silva,72.21,5.73,44.8,48.5,Não,Nenhum
PART-1175,Torno_CNC_02,Tarde,Carlos Silva,76.41,4.8,52.5,46.1,Não,Nenhum
PART-1176,Fresadora_03,Tarde,Roberto Lima,73.7,5.8,62.5,46.7,Não,Nenhum
PART-1177,Fresadora_03,Noite,Roberto Lima,74.1,5.65,43.5,52.8,Não,Nenhum
PART-1178,Prensa_01,Manhã,Ana Souza,74.49,6.02,61.8,48.6,Não,Nenhum
PART-1179,Fresadora_03,Manhã,Ana Souza,74.07,5.77,53.4,53.3,Sim,Porosidade
PART-1180,Prensa_01,Manhã,Fernanda Alves,74.75,5.44,57.9,46.4,Não,Nenhum
PART-1181,Fresadora_03,Noite,Ana Souza,77.15,5.01,58.9,42.6,Não,Nenhum
PART-1182,Torno_CNC_02,Tarde,Carlos Silva,73.19,5.42,57.6,46.6,Não,Nenhum
PART-1183,Fresadora_03,Manhã,Carlos Silva,74.98,5.16,49.8,38.3,Não,Nenhum
PART-1184,Prensa_01,Manhã,Roberto Lima,72.19,5.27,52.8,42.0,Não,Nenhum
PART-1185,Prensa_01,Tarde,Carlos Silva,77.54,5.74,46.2,46.4,Não,Nenhum
PART-1186,Torno_CNC_02,Manhã,Fernanda Alves,70.13,6.17,58.0,46.3,Não,Nenhum
PART-1187,Fresadora_03,Noite,Carlos Silva,78.8,5.66,65.2,44.1,Sim,Porosidade
PART-1188,Fresadora_03,Tarde,Carlos Silva,72.36,5.02,44.1,33.9,Não,Nenhum
PART-1189,Torno_CNC_02,Manhã,Fernanda Alves,67.49,5.68,50.4,50.1,Não,Nenhum
PART-1190,Fresadora_03,Manhã,Ana Souza,72.95,5.98,53.9,51.7,Sim,Porosidade
PART-1191,Fresadora_03,Noite,Ana Souza,70.12,5.26,56.0,58.1,Não,Nenhum
PART-1192,Prensa_01,Manhã,Fernanda Alves,75.44,5.45,60.3,48.5,Não,Nenhum
PART-1193,Fresadora_03,Manhã,Roberto Lima,70.22,5.51,54.1,45.0,Não,Nenhum
PART-1194,Fresadora_03,Noite,Carlos Silva,70.94,5.19,53.1,36.9,Não,Nenhum
PART-1195,Torno_CNC_02,Noite,Fernanda Alves,65.89,5.76,61.6,56.9,Não,Nenhum
PART-1196,Torno_CNC_02,Noite,Carlos Silva,70.92,5.45,59.0,47.0,Não,Nenhum
PART-1197,Injetora_04,Noite,Roberto Lima,64.02,5.67,58.2,46.5,Sim,Solda Fria
PART-1198,Prensa_01,Manhã,Carlos Silva,66.96,5.15,55.7,43.0,Não,Nenhum
PART-1199,Fresadora_03,Manhã,Fernanda Alves,75.16,5.33,60.9,42.5,Não,Nenhum
PART-1200,Fresadora_03,Noite,Carlos Silva,75.25,5.79,51.1,50.5,Não,Nenhum
PART-1201,Injetora_04,Tarde,Ana Souza,73.99,5.35,50.2,36.8,Não,Nenhum
PART-1202,Fresadora_03,Tarde,Roberto Lima,69.12,6.19,59.5,58.0,Não,Nenhum
PART-1203,Prensa_01,Noite,Roberto Lima,72.33,5.34,45.2,56.3,Não,Nenhum
PART-1204,Injetora_04,Manhã,Roberto Lima,72.49,5.59,55.6,42.2,Não,Nenhum
PART-1205,Prensa_01,Tarde,Fernanda Alves,68.45,5.87,53.1,38.1,Não,Nenhum
PART-1206,Injetora_04,Manhã,Roberto Lima,77.76,4.93,46.6,28.9,Sim,Risco Superficial
PART-1207,Injetora_04,Tarde,Ana Souza,75.57,4.8,49.4,35.0,Não,Nenhum
PART-1208,Torno_CNC_02,Manhã,Fernanda Alves,71.73,4.89,54.3,50.8,Não,Nenhum
PART-1209,Prensa_01,Manhã,Ana Souza,72.59,6.01,61.2,47.5,Não,Nenhum
PART-1210,Fresadora_03,Manhã,Carlos Silva,73.23,5.28,51.1,48.9,Não,Nenhum
PART-1211,Fresadora_03,Tarde,Carlos Silva,65.35,6.52,62.3,30.2,Sim,Risco Superficial
PART-1212,Prensa_01,Tarde,Carlos Silva,71.63,5.27,55.4,41.8,Não,Nenhum
PART-1213,Fresadora_03,Tarde,Carlos Silva,70.11,5.57,62.9,55.9,Não,Nenhum
PART-1214,Fresadora_03,Noite,Ana Souza,68.99,6.12,51.4,44.2,Não,Nenhum
PART-1215,Prensa_01,Manhã,Fernanda Alves,71.52,6.3,54.7,34.8,Não,Nenhum
PART-1216,Injetora_04,Manhã,Fernanda Alves,78.79,6.32,57.2,44.1,Não,Nenhum
PART-1217,Prensa_01,Noite,Roberto Lima,74.74,5.98,53.9,38.8,Não,Nenhum
PART-1218,Injetora_04,Manhã,Ana Souza,70.5,5.91,60.7,47.7,Não,Nenhum
PART-1219,Fresadora_03,Noite,Carlos Silva,74.5,5.74,41.8,45.2,Não,Nenhum
PART-1220,Fresadora_03,Manhã,Ana Souza,77.4,5.81,69.5,49.3,Sim,Porosidade
PART-1221,Fresadora_03,Noite,Roberto Lima,75.74,5.28,60.1,35.3,Não,Nenhum
PART-1222,Torno_CNC_02,Manhã,Roberto Lima,72.71,5.17,54.0,41.4,Não,Nenhum
PART-1223,Injetora_04,Noite,Ana Souza,70.24,5.5,51.7,53.7,Não,Nenhum
PART-1224,Torno_CNC_02,Tarde,Ana Souza,74.94,5.43,49.8,34.2,Não,Nenhum
PART-1225,Torno_CNC_02,Noite,Ana Souza,73.88,5.32,58.9,37.0,Não,Nenhum
PART-1226,Prensa_01,Manhã,Fernanda Alves,75.63,,61.0,46.6,Não,Nenhum
PART-1227,Torno_CNC_02,Tarde,Carlos Silva,74.72,5.88,54.0,47.3,Não,Nenhum
PART-1228,Prensa_01,Noite,Ana Souza,76.17,5.54,61.6,41.1,Não,Nenhum
PART-1229,Prensa_01,Tarde,Ana Souza,70.63,6.09,49.6,42.8,Não,Nenhum
PART-1230,Torno_CNC_02,Tarde,Ana Souza,77.11,5.04,48.5,49.3,Não,Nenhum
PART-1231,Injetora_04,Tarde,Roberto Lima,73.19,5.42,65.9,51.8,Não,Nenhum
PART-1232,Injetora_04,Tarde,Roberto Lima,79.76,5.21,58.5,36.4,Sim,Risco Superficial
PART-1233,Injetora_04,Tarde,Fernanda Alves,70.09,4.75,63.4,47.9,Não,Nenhum
PART-1234,Injetora_04,Tarde,Carlos Silva,78.58,5.47,49.9,57.1,Não,Nenhum
PART-1235,Injetora_04,Noite,Fernanda Alves,73.19,5.45,49.5,44.1,Não,Nenhum
PART-1236,Torno_CNC_02,Manhã,Carlos Silva,70.22,6.11,52.8,36.4,Não,Nenhum
PART-1237,Torno_CNC_02,Manhã,Roberto Lima,70.81,5.75,50.1,36.0,Não,Nenhum
PART-1238,Fresadora_03,Noite,Roberto Lima,71.38,5.09,59.2,43.7,Não,Nenhum
PART-1239,Injetora_04,Noite,Roberto Lima,73.98,6.24,50.5,53.3,Não,Nenhum
PART-1240,Torno_CNC_02,Tarde,Fernanda Alves,74.33,5.99,48.0,44.7,Não,Nenhum
PART-1241,Fresadora_03,Tarde,Ana Souza,70.49,5.73,55.9,46.5,Não,Nenhum
PART-1242,Injetora_04,Manhã,Ana Souza,72.41,5.41,47.3,37.0,Não,Nenhum
PART-1243,Prensa_01,Manhã,Roberto Lima,80.0,,44.2,52.9,Sim,Solda Fria
PART-1244,Fresadora_03,Tarde,Ana Souza,78.55,5.35,55.8,35.8,Sim,Risco Superficial
PART-1245,Torno_CNC_02,Manhã,Ana Souza,74.03,5.94,44.5,41.0,Não,Nenhum
PART-1246,Prensa_01,Tarde,Fernanda Alves,72.63,6.25,59.7,50.0,Não,Nenhum
PART-1247,Prensa_01,Manhã,Carlos Silva,72.92,,46.6,28.7,Não,Nenhum
PART-1248,Prensa_01,Noite,Roberto Lima,74.65,5.3,41.6,46.4,Não,Nenhum
PART-1249,Fresadora_03,Noite,Roberto Lima,68.92,5.05,53.2,36.7,Não,Nenhum
PART-1250,Torno_CNC_02,Tarde,Fernanda Alves,71.6,5.56,55.9,45.1,Não,Nenhum
PART-1251,Prensa_01,Tarde,Fernanda Alves,66.66,4.79,57.9,42.2,Não,Nenhum
PART-1252,Injetora_04,Manhã,Ana Souza,73.9,5.63,56.0,61.8,Sim,Solda Fria
PART-1253,Prensa_01,Noite,Roberto Lima,74.77,5.44,48.6,41.9,Não,Nenhum
PART-1254,Prensa_01,Tarde,Carlos Silva,70.81,5.31,59.3,59.7,Não,Nenhum
PART-1255,Fresadora_03,Manhã,Fernanda Alves,78.01,4.86,60.8,49.7,Não,Nenhum
PART-1256,Fresadora_03,Noite,Carlos Silva,68.21,5.71,47.8,38.6,Não,Nenhum
PART-1257,Torno_CNC_02,Noite,Carlos Silva,67.37,5.29,53.9,47.6,Não,Nenhum
PART-1258,Injetora_04,Noite,Roberto Lima,73.29,5.03,53.4,42.6,Não,Nenhum
PART-1259,Fresadora_03,Tarde,Roberto Lima,76.16,4.35,56.3,46.9,Sim,Porosidade
PART-1260,Prensa_01,Tarde,Fernanda Alves,78.39,,53.8,39.3,Não,Nenhum
PART-1261,Torno_CNC_02,Tarde,Roberto Lima,70.89,6.21,54.6,58.5,Não,Nenhum
PART-1262,Prensa_01,Noite,Roberto Lima,76.28,6.16,58.9,52.4,Não,Nenhum
PART-1263,Prensa_01,Noite,Roberto Lima,72.37,5.32,48.3,45.3,Não,Nenhum
PART-1264,Fresadora_03,Manhã,Carlos Silva,71.9,5.26,59.4,58.8,Não,Nenhum
PART-1265,Torno_CNC_02,Manhã,Fernanda Alves,75.59,5.69,61.8,45.6,Não,Nenhum
PART-1266,Injetora_04,Manhã,Ana Souza,74.78,5.1,64.8,53.8,Não,Nenhum
