id_peca,linha_producao,turno,fornecedor_insumo,diametro_mm,espessura_mm,status_qualidade,tipo_defeito
8031,Linha_Sul,Tarde,Fornecedor_A,50.035,7.484,Conforme,Nenhum
8032,Linha_Sul,Noite,Fornecedor_B,50.225,7.401,Conforme,Nenhum
8033,Linha_Norte,Tarde,Fornecedor_C,49.998,7.453,Defeituoso,Risco Superficial
8034,Linha_Norte,Manhã,Fornecedor_A,50.042,7.486,Conforme,Nenhum
8035,Linha_Norte,Manhã,Fornecedor_A,50.29,7.475,Defeituoso,Risco Superficial
8036,Linha_Norte,Tarde,Fornecedor_A,50.181,7.47,Conforme,Nenhum
8037,Linha_Norte,Tarde,Fornecedor_B,50.088,7.591,Conforme,Nenhum
8038,Linha_Norte,Tarde,Fornecedor_A,50.082,7.508,Conforme,Nenhum
8039,Linha_Sul,Noite,Fornecedor_B,49.91,7.476,Conforme,Nenhum
8040,Linha_Sul,Tarde,Fornecedor_B,49.895,7.516,Conforme,Nenhum
8041,Linha_Norte,Tarde,Fornecedor_C,50.021,7.548,Defeituoso,Solda Fria
8042,Linha_Norte,Manhã,Fornecedor_B,50.025,7.592,Conforme,Nenhum
8043,Linha_Norte,Manhã,Fornecedor_A,49.873,7.555,Conforme,Nenhum
8044,Linha_Sul,Tarde,Fornecedor_B,50.105,7.528,Conforme,Nenhum
8045,Linha_Sul,Noite,Fornecedor_B,49.958,7.435,Conforme,Nenhum
8046,Linha_Sul,Tarde,Fornecedor_A,50.169,7.477,Conforme,Nenhum
8047,Linha_Sul,Tarde,Fornecedor_B,49.992,7.483,Conforme,Nenhum
8048,Linha_Norte,Manhã,Fornecedor_C,49.978,7.518,Defeituoso,Solda Fria
8049,Linha_Sul,Noite,Fornecedor_A,49.859,7.49,Conforme,Nenhum
8050,Linha_Norte,Noite,Fornecedor_B,49.876,7.429,Conforme,Nenhum
8051,Linha_Sul,Tarde,Fornecedor_C,50.198,7.454,Defeituoso,Solda Fria
8052,Linha_Sul,Manhã,Fornecedor_B,50.04,7.514,Conforme,Nenhum
8053,Linha_Sul,Tarde,Fornecedor_B,50.058,7.511,Conforme,Nenhum
8054,Linha_Sul,Noite,Fornecedor_A,50.24,7.516,Conforme,Nenhum
8055,Linha_Norte,Tarde,Fornecedor_A,49.802,7.5,Conforme,Nenhum
8056,Linha_Norte,Tarde,Fornecedor_B,50.101,7.56,Conforme,Nenhum
8057,Linha_Norte,Manhã,Fornecedor_B,49.762,7.489,Conforme,Nenhum
8058,Linha_Norte,Manhã,Fornecedor_C,49.934,7.456,Defeituoso,Porosidade
8059,Linha_Norte,Manhã,Fornecedor_A,49.828,7.559,Conforme,Nenhum
8060,Linha_Norte,Noite,Fornecedor_B,50.129,7.506,Conforme,Nenhum
8061,Linha_Norte,Tarde,Fornecedor_A,49.717,7.474,Conforme,Nenhum
8062,Linha_Sul,Noite,Fornecedor_A,49.965,7.47,Conforme,Nenhum
8063,Linha_Norte,Manhã,Fornecedor_B,49.826,7.44,Conforme,Nenhum
8064,Linha_Sul,Noite,Fornecedor_A,49.872,7.447,Defeituoso,Risco Superficial
8065,Linha_Norte,Noite,Fornecedor_A,49.895,7.441,Conforme,Nenhum
8066,Linha_Sul,Manhã,Fornecedor_A,50.198,7.399,Conforme,Nenhum
8067,Linha_Norte,Noite,Fornecedor_A,49.95,7.489,Conforme,Nenhum
8068,Linha_Sul,Manhã,Fornecedor_C,50.259,7.57,Defeituoso,Porosidade
8069,Linha_Norte,Manhã,Fornecedor_C,50.29,7.49,Defeituoso,Porosidade
8070,Linha_Norte,Manhã,Fornecedor_A,50.317,7.634,Defeituoso,Desalinhamento
8071,Linha_Norte,Noite,Fornecedor_C,49.991,7.555,Defeituoso,Solda Fria
8072,Linha_Norte,Noite,Fornecedor_B,50.032,7.502,Conforme,Nenhum
8073,Linha_Sul,Manhã,Fornecedor_C,50.057,7.461,Defeituoso,Porosidade
8074,Linha_Norte,Tarde,Fornecedor_A,49.945,7.431,Conforme,Nenhum
8075,Linha_Norte,Tarde,Fornecedor_B,50.064,7.502,Conforme,Nenhum
8076,Linha_Sul,Noite,Fornecedor_C,49.86,7.489,Defeituoso,Solda Fria
8077,Linha_Norte,Manhã,Fornecedor_A,49.719,7.464,Conforme,Nenhum
8078,Linha_Sul,Tarde,Fornecedor_C,50.107,7.553,Defeituoso,Risco Superficial
8079,Linha_Sul,Tarde,Fornecedor_C,49.948,7.555,Defeituoso,Risco Superficial
8080,Linha_Norte,Manhã,Fornecedor_C,49.853,7.504,Defeituoso,Risco Superficial
8081,Linha_Norte,Manhã,Fornecedor_A,49.872,7.508,Conforme,Nenhum
8082,Linha_Sul,Tarde,Fornecedor_A,50.227,7.51,Conforme,Nenhum
8083,Linha_Norte,Manhã,Fornecedor_A,50.07,7.507,Conforme,Nenhum
8084,Linha_Sul,Noite,Fornecedor_C,49.772,7.494,Defeituoso,Risco Superficial
8085,Linha_Norte,Manhã,Fornecedor_A,49.822,7.47,Conforme,Nenhum
8086,Linha_Norte,Noite,Fornecedor_B,49.956,7.522,Conforme,Nenhum
8087,Linha_Sul,Manhã,Fornecedor_B,50.071,7.465,Conforme,Nenhum
8088,Linha_Norte,Manhã,Fornecedor_A,49.881,7.459,Conforme,Nenhum
8089,Linha_Norte,Manhã,Fornecedor_A,49.974,7.456,Conforme,Nenhum
8090,Linha_Norte,Noite,Fornecedor_B,50.017,7.475,Defeituoso,Risco Superficial
8091,Linha_Sul,Noite,Fornecedor_C,50.02,7.491,Defeituoso,Porosidade
8092,Linha_Norte,Manhã,Fornecedor_A,49.641,7.505,Defeituoso,Desalinhamento
8093,Linha_Sul,Manhã,Fornecedor_C,50.033,7.505,Defeituoso,Risco Superficial
8094,Linha_Norte,Tarde,Fornecedor_B,49.74,7.423,Conforme,Nenhum
8095,Linha_Sul,Tarde,Fornecedor_B,49.957,7.44,Conforme,Nenhum
8096,Linha_Norte,Noite,Fornecedor_B,49.925,7.476,Conforme,Nenhum
8097,Linha_Norte,Manhã,Fornecedor_A,49.838,7.517,Conforme,Nenhum
8098,Linha_Sul,Tarde,Fornecedor_B,50.126,7.569,Conforme,Nenhum
8099,Linha_Norte,Tarde,Fornecedor_C,49.831,7.42,Defeituoso,Risco Superficial
8100,Linha_Sul,Noite,Fornecedor_A,49.922,7.507,Conforme,Nenhum
8101,Linha_Norte,Tarde,Fornecedor_B,50.132,7.497,Conforme,Nenhum
8102,Linha_Sul,Manhã,Fornecedor_A,49.917,7.479,Conforme,Nenhum
8103,Linha_Norte,Manhã,Fornecedor_B,49.886,7.446,Conforme,Nenhum
8104,Linha_Sul,Tarde,Fornecedor_B,49.96,7.487,Conforme,Nenhum
8105,Linha_Norte,Tarde,Fornecedor_B,50.081,7.464,Conforme,Nenhum
8106,Linha_Sul,Noite,Fornecedor_A,50.217,7.511,Conforme,Nenhum
8107,Linha_Sul,Tarde,Fornecedor_C,49.86,7.532,Defeituoso,Solda Fria
8108,Linha_Norte,Tarde,Fornecedor_A,49.872,7.512,Conforme,Nenhum
8109,Linha_Sul,Tarde,Fornecedor_B,49.959,7.572,Conforme,Nenhum
8110,Linha_Sul,Tarde,Fornecedor_B,50.035,7.525,Conforme,Nenhum
8111,Linha_Norte,Manhã,Fornecedor_C,49.884,7.495,Defeituoso,Risco Superficial
8112,Linha_Norte,Manhã,Fornecedor_A,50.103,7.532,Conforme,Nenhum
8113,Linha_Norte,Tarde,Fornecedor_C,49.862,7.455,Defeituoso,Porosidade
8114,Linha_Norte,Manhã,Fornecedor_A,49.715,7.388,Conforme,Nenhum
8115,Linha_Norte,Manhã,Fornecedor_B,50.08,7.54,Conforme,Nenhum
8116,Linha_Norte,Manhã,Fornecedor_B,50.097,7.438,Conforme,Nenhum
8117,Linha_Sul,Manhã,Fornecedor_C,50.157,7.561,Defeituoso,Risco Superficial
8118,Linha_Sul,Manhã,Fornecedor_B,49.701,7.5,Conforme,Nenhum
8119,Linha_Sul,Tarde,Fornecedor_C,49.9,7.456,Defeituoso,Porosidade
8120,Linha_Norte,Tarde,Fornecedor_A,49.962,7.479,Defeituoso,Risco Superficial
8121,Linha_Norte,Tarde,Fornecedor_C,50.264,7.526,Defeituoso,Solda Fria
8122,Linha_Sul,Tarde,Fornecedor_A,49.976,7.461,Conforme,Nenhum
8123,Linha_Sul,Noite,Fornecedor_B,49.798,7.501,Conforme,Nenhum
8124,Linha_Norte,Manhã,Fornecedor_B,50.045,7.53,Conforme,Nenhum
8125,Linha_Sul,Tarde,Fornecedor_B,50.196,7.462,Conforme,Nenhum
8126,Linha_Norte,Manhã,Fornecedor_A,50.164,7.484,Conforme,Nenhum
8127,Linha_Norte,Tarde,Fornecedor_B,50.084,7.507,Conforme,Nenhum
8128,Linha_Sul,Noite,Fornecedor_A,50.039,7.55,Conforme,Nenhum
8129,Linha_Norte,Tarde,Fornecedor_A,49.66,7.492,Defeituoso,Desalinhamento
8130,Linha_Norte,Tarde,Fornecedor_A,50.004,7.407,Conforme,Nenhum
8131,Linha_Norte,Tarde,Fornecedor_B,50.027,7.491,Conforme,Nenhum
8132,Linha_Norte,Tarde,Fornecedor_A,49.976,7.517,Conforme,Nenhum
8133,Linha_Sul,Manhã,Fornecedor_A,50.106,7.479,Conforme,Nenhum
8134,Linha_Norte,Tarde,Fornecedor_A,49.974,7.462,Conforme,Nenhum
8135,Linha_Norte,Tarde,Fornecedor_A,49.945,7.465,Conforme,Nenhum
8136,Linha_Sul,Manhã,Fornecedor_C,50.156,7.503,Defeituoso,Porosidade
8137,Linha_Norte,Manhã,Fornecedor_C,49.938,7.455,Defeituoso,Porosidade
8138,Linha_Norte,Noite,Fornecedor_A,50.01,7.527,Conforme,Nenhum
8139,Linha_Sul,Manhã,Fornecedor_B,50.135,7.479,Conforme,Nenhum
8140,Linha_Sul,Manhã,Fornecedor_B,49.848,7.443,Conforme,Nenhum
8141,Linha_Norte,Tarde,Fornecedor_B,49.832,7.467,Conforme,Nenhum
8142,Linha_Norte,Manhã,Fornecedor_B,50.204,7.58,Conforme,Nenhum
8143,Linha_Sul,Tarde,Fornecedor_A,49.911,7.512,Conforme,Nenhum
8144,Linha_Norte,Tarde,Fornecedor_B,50.104,7.534,Conforme,Nenhum
8145,Linha_Norte,Noite,Fornecedor_A,49.734,7.485,Conforme,Nenhum
8146,Linha_Norte,Manhã,Fornecedor_A,49.625,7.425,Defeituoso,Desalinhamento
8147,Linha_Sul,Tarde,Fornecedor_B,50.055,7.48,Conforme,Nenhum
8148,Linha_Norte,Noite,Fornecedor_B,49.981,7.466,Conforme,Nenhum
8149,Linha_Sul,Manhã,Fornecedor_A,50.056,7.549,Defeituoso,Risco Superficial
8150,Linha_Sul,Manhã,Fornecedor_B,50.281,7.54,Conforme,Nenhum
8151,Linha_Sul,Noite,Fornecedor_C,49.814,7.415,Defeituoso,Risco Superficial
8152,Linha_Sul,Manhã,Fornecedor_C,50.006,7.559,Defeituoso,Solda Fria
8153,Linha_Norte,Manhã,Fornecedor_B,50.222,7.509,Conforme,Nenhum
8154,Linha_Sul,Manhã,Fornecedor_B,49.836,7.51,Conforme,Nenhum
8155,Linha_Norte,Manhã,Fornecedor_B,49.912,7.533,Conforme,Nenhum
8156,Linha_Sul,Manhã,Fornecedor_A,49.735,7.371,Conforme,Nenhum
8157,Linha_Sul,Tarde,Fornecedor_A,50.336,7.552,Defeituoso,Desalinhamento
8158,Linha_Norte,Tarde,Fornecedor_A,49.669,7.457,Defeituoso,Desalinhamento
8159,Linha_Sul,Manhã,Fornecedor_B,50.12,7.415,Conforme,Nenhum
8160,Linha_Sul,Noite,Fornecedor_B,49.802,7.435,Conforme,Nenhum
8161,Linha_Norte,Tarde,Fornecedor_C,49.842,7.466,Defeituoso,Solda Fria
8162,Linha_Sul,Noite,Fornecedor_C,50.16,7.55,Defeituoso,Risco Superficial
8163,Linha_Sul,Noite,Fornecedor_A,49.889,7.482,Conforme,Nenhum
8164,Linha_Sul,Noite,Fornecedor_A,50.098,7.516,Conforme,Nenhum
8165,Linha_Norte,Noite,Fornecedor_A,50.207,7.506,Conforme,Nenhum
8166,Linha_Sul,Tarde,Fornecedor_B,50.03,7.547,Conforme,Nenhum
8167,Linha_Norte,Noite,Fornecedor_B,50.133,7.534,Conforme,Nenhum
8168,Linha_Norte,Manhã,Fornecedor_C,50.012,7.508,Defeituoso,Solda Fria
8169,Linha_Norte,Manhã,Fornecedor_B,50.019,7.456,Conforme,Nenhum
8170,Linha_Sul,Noite,Fornecedor_C,49.905,7.495,Defeituoso,Solda Fria
8171,Linha_Sul,Tarde,Fornecedor_B,50.289,7.64,Conforme,Nenhum
8172,Linha_Sul,Noite,Fornecedor_C,50.111,7.543,Defeituoso,Risco Superficial
8173,Linha_Sul,Noite,Fornecedor_B,50.078,7.478,Conforme,Nenhum
8174,Linha_Norte,Manhã,Fornecedor_B,50.116,7.586,Conforme,Nenhum
8175,Linha_Norte,Noite,Fornecedor_B,49.898,7.459,Conforme,Nenhum
8176,Linha_Sul,Manhã,Fornecedor_B,50.14,7.543,Conforme,Nenhum
8177,Linha_Sul,Manhã,Fornecedor_B,50.233,7.521,Conforme,Nenhum
8178,Linha_Norte,Tarde,Fornecedor_A,49.793,7.487,Conforme,Nenhum
8179,Linha_Sul,Manhã,Fornecedor_A,50.081,7.517,Conforme,Nenhum
8180,Linha_Sul,Tarde,Fornecedor_B,50.009,7.491,Conforme,Nenhum
8181,Linha_Sul,Tarde,Fornecedor_B,49.922,7.477,Conforme,Nenhum
8182,Linha_Sul,Manhã,Fornecedor_A,49.836,7.431,Conforme,Nenhum
8183,Linha_Sul,Noite,Fornecedor_A,50.158,7.471,Conforme,Nenhum
8184,Linha_Sul,Tarde,Fornecedor_A,50.031,7.516,Conforme,Nenhum
8185,Linha_Norte,Manhã,Fornecedor_B,49.969,7.47,Conforme,Nenhum
8186,Linha_Norte,Manhã,Fornecedor_A,50.081,7.472,Conforme,Nenhum
8187,Linha_Norte,Noite,Fornecedor_A,49.981,7.611,Conforme,Nenhum
8188,Linha_Norte,Noite,Fornecedor_A,49.894,7.589,Conforme,Nenhum
8189,Linha_Sul,Manhã,Fornecedor_A,50.019,7.525,Conforme,Nenhum
8190,Linha_Sul,Manhã,Fornecedor_C,49.996,7.528,Defeituoso,Solda Fria
8191,Linha_Norte,Noite,Fornecedor_A,49.734,7.441,Conforme,Nenhum
8192,Linha_Norte,Tarde,Fornecedor_B,49.906,7.443,Conforme,Nenhum
8193,Linha_Norte,Manhã,Fornecedor_B,49.81,7.467,Conforme,Nenhum
8194,Linha_Norte,Tarde,Fornecedor_C,49.752,7.475,Defeituoso,Porosidade
8195,Linha_Norte,Tarde,Fornecedor_A,50.07,7.536,Conforme,Nenhum
8196,Linha_Sul,Noite,Fornecedor_A,49.9,7.417,Conforme,Nenhum
8197,Linha_Sul,Manhã,Fornecedor_A,50.156,7.602,Conforme,Nenhum
8198,Linha_Norte,Tarde,Fornecedor_A,49.726,7.482,Conforme,Nenhum
8199,Linha_Norte,Manhã,Fornecedor_B,49.955,7.434,Defeituoso,Risco Superficial
8200,Linha_Sul,Noite,Fornecedor_A,49.908,7.497,Conforme,Nenhum
8201,Linha_Sul,Noite,Fornecedor_A,49.763,7.44,Defeituoso,Risco Superficial
8202,Linha_Sul,Tarde,Fornecedor_C,50.001,7.461,Defeituoso,Solda Fria
8203,Linha_Norte,Tarde,Fornecedor_B,49.776,7.435,Conforme,Nenhum
8204,Linha_Sul,Tarde,Fornecedor_A,50.033,7.493,Conforme,Nenhum
8205,Linha_Norte,Noite,Fornecedor_A,50.108,7.595,Conforme,Nenhum
8206,Linha_Norte,Manhã,Fornecedor_A,50.04,7.508,Conforme,Nenhum
8207,Linha_Sul,Noite,Fornecedor_C,50.059,7.534,Defeituoso,Porosidade
8208,Linha_Sul,Manhã,Fornecedor_C,50.155,7.553,Defeituoso,Risco Superficial
8209,Linha_Sul,Manhã,Fornecedor_C,49.996,7.494,Defeituoso,Solda Fria
8210,Linha_Norte,Tarde,Fornecedor_C,49.876,7.441,Defeituoso,Risco Superficial
8211,Linha_Sul,Noite,Fornecedor_B,49.909,7.427,Conforme,Nenhum
8212,Linha_Sul,Noite,Fornecedor_A,49.912,7.476,Conforme,Nenhum
8213,Linha_Norte,Tarde,Fornecedor_B,49.843,7.53,Defeituoso,Risco Superficial
8214,Linha_Sul,Tarde,Fornecedor_B,50.118,7.549,Conforme,Nenhum
8215,Linha_Sul,Noite,Fornecedor_C,50.079,7.518,Defeituoso,Solda Fria
8216,Linha_Norte,Manhã,Fornecedor_B,49.75,7.491,Conforme,Nenhum
8217,Linha_Norte,Noite,Fornecedor_B,49.876,7.482,Defeituoso,Risco Superficial
8218,Linha_Norte,Tarde,Fornecedor_C,49.836,7.464,Defeituoso,Porosidade
8219,Linha_Norte,Manhã,Fornecedor_A,50.048,7.475,Conforme,Nenhum
8220,Linha_Norte,Manhã,Fornecedor_C,50.161,7.457,Defeituoso,Risco Superficial
8221,Linha_Sul,Tarde,Fornecedor_A,50.067,7.579,Defeituoso,Risco Superficial
8222,Linha_Sul,Manhã,Fornecedor_B,49.895,7.496,Conforme,Nenhum
8223,Linha_Norte,Manhã,Fornecedor_A,49.952,7.478,Conforme,Nenhum
8224,Linha_Sul,Manhã,Fornecedor_B,49.791,7.552,Conforme,Nenhum
8225,Linha_Sul,Manhã,Fornecedor_B,49.803,7.561,Conforme,Nenhum
8226,Linha_Norte,Tarde,Fornecedor_A,50.127,7.622,Conforme,Nenhum
8227,Linha_Norte,Noite,Fornecedor_C,50.217,7.512,Defeituoso,Risco Superficial
8228,Linha_Norte,Manhã,Fornecedor_B,49.893,7.493,Conforme,Nenhum
8229,Linha_Sul,Tarde,Fornecedor_B,50.007,7.527,Conforme,Nenhum
8230,Linha_Norte,Manhã,Fornecedor_A,50.108,7.577,Conforme,Nenhum
8231,Linha_Sul,Tarde,Fornecedor_C,49.75,7.478,Defeituoso,Solda Fria
8232,Linha_Sul,Noite,Fornecedor_A,49.843,7.445,Conforme,Nenhum
8233,Linha_Sul,Tarde,Fornecedor_A,50.299,7.5,Conforme,Nenhum
8234,Linha_Sul,Noite,Fornecedor_A,49.856,7.533,Conforme,Nenhum
8235,Linha_Norte,Tarde,Fornecedor_B,49.946,7.519,Conforme,Nenhum
8236,Linha_Sul,Tarde,Fornecedor_C,49.91,7.484,Defeituoso,Solda Fria
8237,Linha_Norte,Tarde,Fornecedor_A,49.701,7.461,Conforme,Nenhum
8238,Linha_Sul,Noite,Fornecedor_A,50.012,7.494,Defeituoso,Risco Superficial
8239,Linha_Norte,Noite,Fornecedor_C,49.996,7.549,Defeituoso,Porosidade
8240,Linha_Norte,Tarde,Fornecedor_B,50.027,7.471,Conforme,Nenhum
8241,Linha_Norte,Noite,Fornecedor_C,49.987,7.45,Defeituoso,Solda Fria
8242,Linha_Sul,Manhã,Fornecedor_A,49.931,7.566,Conforme,Nenhum
8243,Linha_Sul,Noite,Fornecedor_B,49.922,7.493,Conforme,Nenhum
8244,Linha_Sul,Manhã,Fornecedor_A,49.925,7.489,Conforme,Nenhum
8245,Linha_Norte,Manhã,Fornecedor_C,49.852,7.512,Defeituoso,Solda Fria
8246,Linha_Sul,Manhã,Fornecedor_B,49.875,7.448,Conforme,Nenhum
8247,Linha_Sul,Noite,Fornecedor_B,49.854,7.515,Conforme,Nenhum
8248,Linha_Sul,Noite,Fornecedor_A,50.086,7.493,Conforme,Nenhum
8249,Linha_Norte,Noite,Fornecedor_A,50.046,7.55,Conforme,Nenhum
8250,Linha_Sul,Noite,Fornecedor_A,50.004,7.439,Defeituoso,Risco Superficial
8251,Linha_Sul,Tarde,Fornecedor_A,50.291,7.547,Conforme,Nenhum
8252,Linha_Norte,Noite,Fornecedor_A,49.861,7.477,Conforme,Nenhum
8253,Linha_Norte,Noite,Fornecedor_B,50.168,7.489,Conforme,Nenhum
8254,Linha_Norte,Tarde,Fornecedor_A,49.961,7.527,Conforme,Nenhum
8255,Linha_Norte,Manhã,Fornecedor_C,50.024,7.496,Defeituoso,Solda Fria
8256,Linha_Norte,Tarde,Fornecedor_A,50.101,7.529,Conforme,Nenhum
8257,Linha_Norte,Noite,Fornecedor_A,49.928,7.543,Conforme,Nenhum
8258,Linha_Sul,Noite,Fornecedor_C,49.841,7.516,Defeituoso,Risco Superficial
8259,Linha_Sul,Noite,Fornecedor_B,49.866,7.443,Defeituoso,Risco Superficial
8260,Linha_Norte,Noite,Fornecedor_B,49.684,7.447,Defeituoso,Desalinhamento
8261,Linha_Sul,Noite,Fornecedor_A,50.091,7.527,Defeituoso,Risco Superficial
8262,Linha_Norte,Noite,Fornecedor_B,50.087,7.54,Conforme,Nenhum
8263,Linha_Sul,Tarde,Fornecedor_B,50.238,7.508,Defeituoso,Risco Superficial
8264,Linha_Norte,Manhã,Fornecedor_A,50.062,7.514,Conforme,Nenhum
8265,Linha_Norte,Tarde,Fornecedor_B,50.098,7.517,Conforme,Nenhum
8266,Linha_Sul,Tarde,Fornecedor_B,49.988,7.512,Conforme,Nenhum
8267,Linha_Sul,Noite,Fornecedor_A,50.07,7.46,Conforme,Nenhum
8268,Linha_Sul,Tarde,Fornecedor_C,50.163,7.46,Defeituoso,Solda Fria
8269,Linha_Sul,Manhã,Fornecedor_C,50.027,7.412,Defeituoso,Porosidade
8270,Linha_Sul,Manhã,Fornecedor_A,49.922,7.496,Conforme,Nenhum
8271,Linha_Sul,Tarde,Fornecedor_B,49.967,7.442,Conforme,Nenhum
8272,Linha_Sul,Tarde,Fornecedor_A,50.113,7.597,Defeituoso,Risco Superficial
8273,Linha_Sul,Manhã,Fornecedor_C,49.926,7.519,Defeituoso,Porosidade
8274,Linha_Norte,Manhã,Fornecedor_B,50.133,7.466,Conforme,Nenhum
8275,Linha_Sul,Tarde,Fornecedor_A,50.286,7.574,Conforme,Nenhum
8276,Linha_Sul,Manhã,Fornecedor_A,50.135,7.559,Conforme,Nenhum
8277,Linha_Norte,Manhã,Fornecedor_A,50.112,7.56,Conforme,Nenhum
8278,Linha_Norte,Manhã,Fornecedor_B,50.052,7.473,Conforme,Nenhum
8279,Linha_Norte,Tarde,Fornecedor_B,49.883,7.517,Conforme,Nenhum
8280,Linha_Norte,Tarde,Fornecedor_A,49.87,7.536,Conforme,Nenhum
8281,Linha_Sul,Manhã,Fornecedor_A,49.868,7.55,Conforme,Nenhum
8282,Linha_Sul,Noite,Fornecedor_A,50.083,7.447,Conforme,Nenhum
8283,Linha_Norte,Manhã,Fornecedor_A,49.942,7.485,Conforme,Nenhum
8284,Linha_Norte,Manhã,Fornecedor_A,49.996,7.466,Conforme,Nenhum
8285,Linha_Sul,Manhã,Fornecedor_B,50.063,7.581,Conforme,Nenhum
8286,Linha_Sul,Manhã,Fornecedor_B,49.874,7.507,Conforme,Nenhum
8287,Linha_Sul,Manhã,Fornecedor_C,49.925,7.528,Defeituoso,Risco Superficial
8288,Linha_Sul,Manhã,Fornecedor_C,50.048,7.524,Defeituoso,Risco Superficial
8289,Linha_Norte,Tarde,Fornecedor_B,49.956,7.511,Conforme,Nenhum
8290,Linha_Sul,Tarde,Fornecedor_B,49.97,7.463,Conforme,Nenhum
8291,Linha_Norte,Tarde,Fornecedor_C,49.845,7.467,Defeituoso,Solda Fria
8292,Linha_Norte,Noite,Fornecedor_A,49.972,7.5,Conforme,Nenhum
8293,Linha_Norte,Manhã,Fornecedor_A,50.248,7.499,Conforme,Nenhum
8294,Linha_Sul,Noite,Fornecedor_A,49.933,7.46,Defeituoso,Risco Superficial
8295,Linha_Norte,Manhã,Fornecedor_B,49.828,7.475,Conforme,Nenhum
8296,Linha_Sul,Tarde,Fornecedor_C,50.144,7.49,Defeituoso,Solda Fria
8297,Linha_Norte,Manhã,Fornecedor_A,50.079,7.51,Conforme,Nenhum
8298,Linha_Sul,Noite,Fornecedor_B,50.032,7.485,Conforme,Nenhum
8299,Linha_Norte,Tarde,Fornecedor_B,49.802,7.453,Conforme,Nenhum
8300,Linha_Norte,Manhã,Fornecedor_A,49.824,7.445,Conforme,Nenhum
8301,Linha_Sul,Tarde,Fornecedor_A,49.769,7.477,Conforme,Nenhum
8302,Linha_Sul,Manhã,Fornecedor_A,50.065,7.542,Conforme,Nenhum
8303,Linha_Norte,Noite,Fornecedor_A,50.153,7.541,Conforme,Nenhum
8304,Linha_Norte,Tarde,Fornecedor_C,50.07,7.446,Defeituoso,Risco Superficial
8305,Linha_Sul,Manhã,Fornecedor_C,50.292,7.564,Defeituoso,Porosidade
8306,Linha_Norte,Manhã,Fornecedor_C,49.934,7.519,Defeituoso,Porosidade
8307,Linha_Sul,Manhã,Fornecedor_B,49.951,7.531,Conforme,Nenhum
8308,Linha_Sul,Tarde,Fornecedor_C,50.016,7.545,Defeituoso,Porosidade
8309,Linha_Norte,Manhã,Fornecedor_B,49.966,7.467,Conforme,Nenhum
8310,Linha_Sul,Tarde,Fornecedor_B,50.075,7.495,Conforme,Nenhum
